Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
193,Stefan Bajcetic,ESP,MF,Liverpool,Premier League,17,2004,5.8,324,6,66,189,74,5,324,16,7,43.8,4,25.0,175,990,450,10,7,0,7,6,204,1,Matches
194,Nedim Bajrami,ALB,"MF,FW",Empoli,Serie A,23,1999,10.4,457,1,66,185,219,27,457,31,11,35.5,18,58.1,267,1928,816,22,21,10,24,17,304,47,Matches
195,Nedim Bajrami,ALB,"FW,MF",Sassuolo,Serie A,23,1999,9.1,451,8,63,150,247,29,451,32,18,56.3,12,37.5,278,1652,739,23,16,12,20,9,295,96,Matches
196,Cédric Bakambu,COD,MF,Marseille,Ligue 1,31,1991,0.7,33,0,6,15,12,3,33,2,0,0.0,2,100.0,22,135,59,1,3,1,2,1,20,4,Matches
197,Tiemoué Bakayoko,FRA,MF,Milan,Serie A,27,1994,0.5,30,3,16,12,2,0,30,3,1,33.3,2,66.7,16,96,56,0,1,0,1,1,15,1,Matches
198,Mitchel Bakker,NED,"DF,MF",Leverkusen,Bundesliga,22,2000,18.4,1139,32,331,570,250,29,1139,39,11,28.2,21,53.8,575,2706,1353,28,17,8,23,15,702,65,Matches
199,Ridle Baku,GER,"DF,FW",Wolfsburg,Bundesliga,24,1998,28.7,1889,80,521,880,498,45,1889,61,23,37.7,27,44.3,1052,4917,2381,50,23,8,59,20,1155,157,Matches
200,Tommaso Baldanzi,ITA,MF,Empoli,Serie A,19,2003,19.7,841,11,109,408,334,46,841,60,23,38.3,30,50.0,548,3500,1772,57,51,14,33,15,600,94,Matches
201,Alejandro Balde,ESP,DF,Barcelona,La Liga,18,2003,27.5,1939,40,419,874,672,78,1939,96,50,52.1,36,37.5,1270,7276,4100,96,69,35,41,24,1348,234,Matches
202,Thierno Balde,FRA,"DF,MF",Troyes,Ligue 1,20,2002,23.9,1138,85,395,425,339,34,1138,67,36,53.7,22,32.8,765,5808,2996,66,51,11,38,15,650,118,Matches
203,Carlos Baleba,CMR,MF,Lille,Ligue 1,18,2004,5.3,384,10,49,256,83,5,384,28,15,53.6,9,32.1,302,1903,1027,16,16,2,12,17,284,12,Matches
204,Mikel Balenziaga,ESP,DF,Athletic Club,La Liga,34,1988,1.3,77,2,14,39,25,0,77,1,1,100.0,0,0.0,29,100,50,0,2,0,0,1,41,6,Matches
205,Leonardo Balerdi,ARG,DF,Marseille,Ligue 1,23,1999,29.3,1997,223,869,1027,113,16,1997,14,9,64.3,4,28.6,1413,8306,4291,15,19,0,23,3,1232,19,Matches
