Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
98,Bruno Amione,ARG,DF,Sampdoria,Serie A,20,2002,23.2,1032,948,81,33,0,0,5,48,0,0,0,0,821,3,23,Matches
99,Nadiem Amiri,GER,"MF,FW",Leverkusen,Bundesliga,25,1996,10.9,507,472,32,14,4,4,16,4,9,2,7,0,423,3,15,Matches
100,Samuel Amo-Ameyaw,ENG,MF,Southampton,Premier League,16,2006,0.0,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
101,Ethan Ampadu,WAL,"DF,MF",Spezia,Serie A,21,2000,29.3,1548,1426,116,46,3,17,11,47,0,0,0,0,1254,6,20,Matches
102,Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,25,1996,22.2,1490,1396,91,80,1,22,26,9,1,0,0,0,1323,3,25,Matches
103,Ayoub Amraoui,MAR,"DF,FW",Nice,Ligue 1,18,2004,3.3,185,174,11,0,0,1,14,11,0,0,0,0,155,0,5,Matches
104,Joachim Andersen,DEN,DF,Crystal Palace,Premier League,26,1996,30.9,1972,1840,123,107,4,44,10,13,1,0,0,0,1561,9,13,Matches
105,Elliot Anderson,SCO,"MF,FW",Newcastle Utd,Premier League,19,2002,4.6,198,193,3,0,1,0,9,2,1,0,0,0,150,2,10,Matches
106,Felipe Anderson,BRA,FW,Lazio,Serie A,29,1993,32.9,1410,1370,34,2,4,8,50,21,3,1,2,0,1093,6,41,Matches
107,Benjamin André,FRA,MF,Lille,Ligue 1,31,1990,32.4,2324,2262,54,49,8,23,14,5,0,0,0,0,1942,8,31,Matches
108,Marcos André,BRA,"FW,MF",Valencia,La Liga,25,1996,5.0,64,58,6,0,1,1,1,0,0,0,0,0,43,0,1,Matches
109,Komnen Andrić,SRB,FW,Clermont Foot,Ligue 1,27,1995,16.1,428,391,35,0,0,4,1,0,0,0,0,0,320,2,16,Matches
110,Robert Andrich,GER,MF,Leverkusen,Bundesliga,27,1994,26.7,1455,1404,49,42,0,4,4,5,0,0,0,0,1218,2,12,Matches
111,Angeliño,ESP,DF,Hoffenheim,Bundesliga,25,1997,29.1,1544,1160,366,42,1,16,179,276,48,18,23,0,1012,18,40,Matches
112,Fabrizio Angileri,ARG,DF,Getafe,La Liga,28,1994,6.5,260,190,70,3,0,2,12,67,0,0,0,0,153,0,13,Matches
113,Jaidon Anthony,ENG,"MF,FW",Bournemouth,Premier League,22,1999,14.0,526,480,45,9,2,5,43,21,14,9,1,1,387,1,18,Matches
114,Janis Antiste,FRA,FW,Sassuolo,Serie A,19,2002,0.6,18,18,0,0,0,0,0,0,0,0,0,0,13,0,0,Matches
115,Waldemar Anton,GER,DF,Stuttgart,Bundesliga,26,1996,32.6,2059,1854,201,64,4,21,31,136,0,0,0,0,1629,4,31,Matches
116,Josep Antoni Gayá,ESP,"DF,MF",Mallorca,La Liga,22,2000,1.1,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
117,José Antonio,ESP,"MF,DF",Cádiz,La Liga,18,2004,0.5,10,9,1,1,0,0,1,0,0,0,0,0,8,0,1,Matches
118,Marcos Antônio,BRA,MF,Lazio,Serie A,22,2000,6.6,420,418,2,2,1,0,0,0,0,0,0,0,380,0,5,Matches
119,Michail Antonio,JAM,FW,West Ham,Premier League,32,1990,20.3,348,335,12,1,1,1,35,8,0,0,0,0,186,1,18,Matches
120,Antony,BRA,FW,Manchester Utd,Premier League,22,2000,20.0,819,804,15,1,3,2,32,13,1,0,0,0,651,0,29,Matches
121,Valentin Antov,BUL,DF,Monza,Serie A,21,2000,3.4,229,213,16,4,0,1,2,12,0,0,0,0,201,0,1,Matches
122,Christopher Antwi-Adjei,GHA,"FW,MF",Bochum,Bundesliga,28,1994,22.0,712,513,195,3,2,2,63,180,4,0,0,0,432,4,32,Matches
123,Anuar,MAR,"MF,FW",Valladolid,La Liga,27,1995,2.3,40,39,1,0,0,0,1,1,0,0,0,0,30,0,4,Matches
124,Houssem Aouar,ALG,MF,Lyon,Ligue 1,24,1998,5.8,370,361,9,4,1,3,6,1,3,0,0,0,299,0,9,Matches
125,Adil Aouchiche,FRA,MF,Lorient,Ligue 1,20,2002,2.8,154,133,21,8,0,4,17,3,8,2,4,0,115,0,4,Matches
126,Dennis Appiah,FRA,"DF,MF",Nantes,Ligue 1,30,1992,8.8,468,393,74,5,0,0,21,69,0,0,0,0,339,1,8,Matches
127,Stredair Appuah,FRA,"DF,MF",Nantes,Ligue 1,18,2004,0.7,27,26,1,1,0,1,2,0,0,0,0,0,19,0,2,Matches
128,Mauro Arambarri,URU,MF,Getafe,La Liga,26,1995,11.0,421,355,66,44,0,6,42,0,22,14,7,1,326,0,7,Matches
129,Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,33,1989,5.5,311,290,20,12,0,0,12,1,7,4,3,0,248,1,3,Matches
130,Ronald Araújo,URU,DF,Barcelona,La Liga,23,1999,20.0,1287,1207,75,41,2,19,5,25,0,0,0,0,1139,5,6,Matches
131,Cameron Archer,ENG,"FW,MF",Aston Villa,Premier League,21,2001,0.5,12,11,1,1,0,0,1,0,0,0,0,0,8,0,1,Matches
132,Taïryk Arconte,FRA,FW,Brest,Ligue 1,18,2003,1.4,17,15,2,0,0,0,1,1,0,0,0,0,10,0,1,Matches
133,Alphonse Areola,FRA,GK,West Ham,Premier League,29,1993,3.4,92,59,32,2,0,0,0,0,0,0,0,0,67,1,0,Matches
134,Adu Ares,ESP,"FW,MF",Athletic Club,La Liga,20,2001,0.9,51,49,2,0,0,1,8,1,1,0,0,0,42,0,1,Matches
135,Joe Aribo,NGA,"MF,FW",Southampton,Premier League,26,1996,13.6,385,376,9,0,0,0,8,2,0,0,0,0,280,0,16,Matches
136,Adam Armstrong,ENG,"FW,MF",Southampton,Premier League,25,1997,14.8,302,267,35,0,0,4,14,3,0,0,0,0,220,0,21,Matches
137,Stuart Armstrong,SCO,"MF,FW",Southampton,Premier League,30,1992,15.6,676,634,40,4,3,3,37,14,2,0,2,0,531,2,24,Matches
138,Marko Arnautović,AUT,FW,Bologna,Serie A,33,1989,17.0,467,420,40,0,3,0,9,4,0,0,0,0,328,7,15,Matches
139,Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,28,1994,30.7,1642,1335,296,177,6,32,154,9,87,57,28,0,1269,11,9,Matches
140,Mohamed El Arouch,FRA,MF,Lyon,Ligue 1,18,2004,0.0,2,1,1,0,0,0,1,0,1,1,0,0,1,0,0,Matches
141,Sergio Arribas,ESP,"MF,FW",Real Madrid,La Liga,20,2001,0.2,11,9,2,0,0,0,1,0,2,1,0,0,9,0,0,Matches
142,Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,27,1994,28.5,1046,805,241,59,0,3,0,0,0,0,0,0,871,0,1,Matches
143,Roberto Arroyo,ESP,MF,Valladolid,La Liga,18,2003,0.2,5,5,0,0,0,1,1,0,0,0,0,0,0,0,2,Matches
144,Tolgay Arslan,GER,MF,Udinese,Serie A,31,1990,13.5,605,556,48,27,0,15,28,6,14,7,1,0,485,1,14,Matches
145,Ricard Artero,ESP,"MF,FW",Girona,La Liga,19,2003,1.5,47,47,0,0,0,0,0,0,0,0,0,0,37,0,3,Matches
146,Arthur,BRA,FW,Fiorentina,Serie A,24,1998,15.9,271,253,16,0,1,1,4,3,0,0,0,0,183,2,14,Matches
147,Santiago Arzamendia,PAR,"DF,MF",Cádiz,La Liga,24,1998,5.4,226,188,35,7,0,3,14,26,2,1,1,0,150,3,16,Matches
148,Takuma Asano,JPN,"FW,MF",Bochum,Bundesliga,27,1994,19.0,342,336,4,1,2,0,28,2,1,0,0,0,237,2,16,Matches
149,Santiago Ascacíbar,ARG,MF,Cremonese,Serie A,25,1997,8.1,435,412,21,11,0,4,5,5,5,0,3,0,358,2,9,Matches
150,Sergio Asenjo,ESP,GK,Valladolid,La Liga,33,1989,10.0,353,234,118,26,0,2,0,0,0,0,0,0,233,1,1,Matches
151,Marco Asensio,ESP,"FW,MF",Real Madrid,La Liga,26,1996,16.0,802,722,76,18,5,7,82,8,48,25,7,0,650,4,28,Matches
152,Kristoffer Askildsen,NOR,MF,Lecce,Serie A,21,2001,8.1,269,234,34,11,0,8,19,5,15,7,6,0,165,1,8,Matches
153,Fisnik Asllani,KVX,FW,Hoffenheim,Bundesliga,19,2002,1.9,63,62,1,0,0,0,3,0,0,0,0,0,37,0,4,Matches
154,Kristjan Asllani,ALB,MF,Inter,Serie A,20,2002,6.6,457,426,30,13,1,5,21,1,16,5,9,0,402,1,4,Matches
155,Iago Aspas,ESP,FW,Celta Vigo,La Liga,34,1987,31.9,1227,1146,75,23,15,15,45,11,23,8,6,0,936,6,33,Matches
156,Lorenz Assignon,TOG,DF,Rennes,Ligue 1,22,2000,2.9,155,127,27,5,0,0,4,22,0,0,0,0,127,1,2,Matches
157,Youcef Atal,ALG,"DF,MF",Nice,Ligue 1,26,1996,8.7,509,432,77,11,1,1,40,66,0,0,0,0,408,0,19,Matches
158,Valentin Atangana Edoa,FRA,MF,Reims,Ligue 1,16,2005,1.9,48,48,0,0,0,1,1,0,0,0,0,0,41,0,1,Matches
159,Pierre-Emerick Aubameyang,GAB,FW,Chelsea,Premier League,33,1989,6.2,111,101,10,0,0,0,3,0,0,0,0,0,82,0,5,Matches
160,Pierre-Emerick Aubameyang,GAB,FW,Barcelona,La Liga,33,1989,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
161,Emil Audero,ITA,GK,Sampdoria,Serie A,25,1997,25.0,919,628,286,86,0,0,0,0,0,0,0,0,617,5,2,Matches
162,Tommaso Augello,ITA,DF,Sampdoria,Serie A,27,1994,34.0,1774,1408,365,49,0,5,170,295,21,6,15,0,1283,1,71,Matches
163,Ludwig Augustinsson,SWE,DF,Aston Villa,Premier League,28,1994,0.9,43,34,9,1,0,0,5,8,0,0,0,0,26,0,0,Matches
164,Ludwig Augustinsson,SWE,DF,Mallorca,La Liga,28,1994,1.5,70,60,10,0,0,0,6,10,0,0,0,0,49,0,0,Matches
165,Serge Aurier,CIV,DF,Nott'ham Forest,Premier League,29,1992,21.6,943,758,183,16,1,0,40,167,0,0,0,0,667,2,28,Matches
166,Mathias Autret,FRA,"MF,FW",Auxerre,Ligue 1,31,1991,14.3,597,530,64,20,4,18,65,10,24,13,7,0,451,3,15,Matches
167,Ezequiel Ávila,ARG,"FW,MF",Osasuna,La Liga,28,1994,19.0,526,478,43,10,2,24,81,8,15,6,7,0,287,5,21,Matches
168,Cédric Avinel,GLP,DF,Ajaccio,Ligue 1,35,1986,19.9,714,693,21,21,0,1,0,0,0,0,0,0,607,0,2,Matches
169,Taiwo Awoniyi,NGA,FW,Nott'ham Forest,Premier League,24,1997,15.6,223,220,3,0,2,1,3,1,0,0,0,0,143,0,9,Matches
170,Yasin Ayari,SWE,MF,Brighton,Premier League,18,2003,0.7,23,22,0,0,1,0,0,0,0,0,0,0,20,1,0,Matches
171,Mehmet Aydin,GER,"DF,FW",Schalke 04,Bundesliga,20,2002,6.3,280,220,56,4,1,1,23,51,1,0,0,0,178,4,13,Matches
172,André Ayew,GHA,"FW,MF",Nott'ham Forest,Premier League,32,1989,3.5,73,68,5,0,0,0,1,0,1,0,0,0,53,0,0,Matches
173,Jordan Ayew,GHA,"FW,MF",Crystal Palace,Premier League,30,1991,30.2,875,860,13,3,5,1,43,9,0,0,0,0,676,2,34,Matches
174,Kaan Ayhan,TUR,DF,Sassuolo,Serie A,27,1994,6.1,332,311,20,15,0,7,0,2,0,0,0,0,288,1,2,Matches
175,Luke Ayling,ENG,DF,Leeds United,Premier League,30,1991,22.8,1132,912,212,22,0,11,62,190,0,0,0,0,786,8,46,Matches
176,Ayman Azhil,MAR,MF,Leverkusen,Bundesliga,21,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
177,Sardar Azmoun,IRN,"FW,MF",Leverkusen,Bundesliga,27,1995,10.3,247,232,13,0,2,0,0,1,0,0,0,0,162,2,10,Matches
178,César Azpilicueta,ESP,DF,Chelsea,Premier League,32,1989,17.0,1065,893,169,30,0,0,26,139,0,0,0,0,872,3,14,Matches
179,Sanoussy Ba,GER,DF,RB Leipzig,Bundesliga,18,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
180,Iddrisu Baba,GHA,"MF,DF",Mallorca,La Liga,26,1996,18.9,584,571,10,9,1,7,0,1,0,0,0,0,476,3,9,Matches
181,Srđan Babić,SRB,DF,Almería,La Liga,26,1996,33.3,1373,1295,71,65,1,12,2,5,0,0,0,0,1172,7,9,Matches
182,Loïc Bade,FRA,DF,Sevilla,La Liga,22,2000,16.1,847,829,15,12,0,0,4,2,0,0,0,0,735,3,9,Matches
183,Loïc Bade,FRA,DF,Rennes,Ligue 1,22,2000,1.0,59,59,0,0,0,0,0,0,0,0,0,0,52,0,0,Matches
