Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Matches
1,Brenden Aaronson,USA,"MF,FW",Leeds United,Premier League,21,2000,26.4,95,3.6,57,17,7,5,8,1,7,0.27,3,1,0,1,1,1,Matches
2,Paxten Aaronson,USA,"MF,DF",Eint Frankfurt,Bundesliga,18,2003,1.9,8,4.16,4,1,0,2,1,0,2,1.04,1,0,0,1,0,0,Matches
3,James Abankwah,IRL,DF,Udinese,Serie A,18,2004,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
4,George Abbott,ENG,MF,Tottenham,Premier League,16,2005,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
5,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,34,1987,37.0,43,1.16,34,0,2,5,0,2,7,0.19,4,0,2,1,0,0,Matches
6,Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,22,1999,23.7,69,2.91,59,4,3,1,0,2,3,0.13,3,0,0,0,0,0,Matches
7,Salis Abdul Samed,GHA,MF,Lens,Ligue 1,22,2000,32.2,50,1.55,43,0,2,2,2,1,1,0.03,1,0,0,0,0,0,Matches
8,Laurent Abergel,FRA,MF,Lorient,Ligue 1,29,1993,26.0,33,1.27,27,2,2,1,0,1,1,0.04,1,0,0,0,0,0,Matches
9,Oliver Abildgaard,DEN,MF,Hellas Verona,Serie A,26,1996,6.6,9,1.37,8,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
10,Matthis Abline,FRA,"FW,MF",Auxerre,Ligue 1,19,2003,9.0,15,1.67,8,0,5,0,2,0,3,0.33,1,0,1,0,1,0,Matches
11,Matthis Abline,FRA,"FW,MF",Rennes,Ligue 1,19,2003,1.2,7,5.94,2,0,0,3,1,1,2,1.7,0,0,0,0,1,1,Matches
12,Abner,BRA,DF,Betis,La Liga,22,2000,6.7,8,1.18,5,1,1,1,0,0,1,0.15,1,0,0,0,0,0,Matches
13,Zakaria Aboukhlal,MAR,"FW,MF",Toulouse,Ligue 1,22,2000,27.5,80,2.91,44,1,10,13,10,2,8,0.29,4,0,1,2,1,0,Matches
14,Tammy Abraham,ENG,FW,Roma,Serie A,24,1997,24.3,70,2.88,46,0,7,10,7,0,9,0.37,4,0,1,3,1,0,Matches
15,Christian Acella,ITA,MF,Cremonese,Serie A,20,2002,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
16,Francesco Acerbi,ITA,DF,Inter,Serie A,34,1988,26.9,37,1.37,34,1,0,2,0,0,1,0.04,1,0,0,0,0,0,Matches
17,Álvaro Aceves,ESP,GK,Valladolid,La Liga,19,2003,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
18,Mohamed Achi,FRA,FW,Nantes,Ligue 1,20,2002,0.4,1,2.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
19,Marcos Acuña,ARG,DF,Sevilla,La Liga,30,1991,21.2,65,3.04,45,14,3,3,0,0,4,0.19,4,0,0,0,0,0,Matches
20,Che Adams,SCO,FW,Southampton,Premier League,26,1996,22.1,57,2.57,44,1,2,5,5,0,7,0.32,5,0,0,0,2,0,Matches
21,Tyler Adams,USA,MF,Leeds United,Premier League,23,1999,24.0,43,1.79,42,0,0,0,1,0,1,0.04,1,0,0,0,0,0,Matches
22,Sargis Adamyan,ARM,"FW,MF",Köln,Bundesliga,29,1993,7.2,22,3.07,16,0,0,6,0,0,3,0.42,1,0,0,2,0,0,Matches
23,Tosin Adarabioyo,ENG,DF,Fulham,Premier League,24,1997,23.2,18,0.78,15,0,0,3,0,0,0,0.0,0,0,0,0,0,0,Matches
24,Martin Adeline,FRA,"MF,FW",Reims,Ligue 1,18,2003,1.2,2,1.68,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
25,Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,20,2002,15.4,59,3.83,40,0,8,5,4,2,12,0.78,9,0,2,1,0,0,Matches
26,Amine Adli,MAR,"FW,MF",Leverkusen,Bundesliga,22,2000,15.9,56,3.5,36,3,4,4,8,1,11,0.69,6,0,3,0,2,0,Matches
27,Yacine Adli,FRA,"MF,FW",Milan,Serie A,22,2000,1.6,3,1.87,2,1,0,0,0,0,1,0.62,1,0,0,0,0,0,Matches
