Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
307,Beto,GNB,FW,Udinese,Serie A,24,1998,23.7,10,60,20,33.3,2.54,0.85,0.15,0.45,13.7,0,1,1,10.9,10.1,0.17,-0.9,-1.1,Matches
308,Owen Bevan,WAL,DF,Bournemouth,Premier League,18,2003,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
309,Matteo Bianchetti,ITA,DF,Cremonese,Serie A,29,1993,23.7,1,7,4,57.1,0.3,0.17,0.14,0.25,10.9,0,0,0,0.8,0.8,0.11,0.2,0.2,Matches
310,Alessandro Bianco,ITA,MF,Fiorentina,Serie A,19,2002,1.7,0,2,1,50.0,1.18,0.59,0.0,0.0,25.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
311,Giulian Biancone,FRA,DF,Nott'ham Forest,Premier League,22,2000,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
312,Ermin Bičakčić,BIH,DF,Hoffenheim,Bundesliga,32,1990,2.9,0,2,1,50.0,0.68,0.34,0.0,0.0,11.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
313,Pedro Bigas,ESP,DF,Elche,La Liga,31,1990,22.4,0,22,8,36.4,0.98,0.36,0.0,0.0,15.5,0,0,0,1.8,1.8,0.08,-1.8,-1.8,Matches
314,Jaka Bijol,SVN,DF,Udinese,Serie A,23,1999,30.3,3,20,7,35.0,0.66,0.23,0.15,0.43,9.5,0,0,0,2.2,2.2,0.11,0.8,0.8,Matches
315,El Bilal Touré,MLI,FW,Almería,La Liga,20,2001,14.0,7,29,14,48.3,2.06,1.0,0.24,0.5,11.5,0,0,0,6.3,6.3,0.22,0.7,0.7,Matches
316,El Bilal Touré,MLI,FW,Reims,Ligue 1,20,2001,1.0,0,1,1,100.0,0.99,0.99,0.0,0.0,26.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
317,Philip Billing,DEN,"MF,FW",Bournemouth,Premier League,26,1996,30.7,7,38,18,47.4,1.24,0.59,0.18,0.39,18.3,5,0,0,4.9,4.9,0.13,2.1,2.1,Matches
318,Jean-Claude Billong,CMR,MF,Clermont Foot,Ligue 1,28,1993,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
319,Cristiano Biraghi,ITA,DF,Fiorentina,Serie A,29,1992,28.3,2,24,5,20.8,0.85,0.18,0.08,0.4,27.4,15,0,1,1.8,1.1,0.04,0.2,0.9,Matches
320,Samuele Birindelli,ITA,DF,Monza,Serie A,23,1999,15.6,0,14,4,28.6,0.9,0.26,0.0,0.0,17.6,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Matches
321,Veljko Birmančević,SRB,"FW,MF",Toulouse,Ligue 1,24,1998,4.9,0,13,3,23.1,2.64,0.61,0.0,0.0,19.3,0,0,0,1.3,1.3,0.1,-1.3,-1.3,Matches
322,Tom Bischof,GER,"MF,FW",Hoffenheim,Bundesliga,17,2005,3.5,0,7,2,28.6,2.0,0.57,0.0,0.0,22.4,0,0,0,1.0,1.0,0.14,-1.0,-1.0,Matches
323,Yves Bissouma,MLI,MF,Tottenham,Premier League,25,1996,11.2,0,6,0,0.0,0.53,0.0,0.0,0.0,26.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
324,Kristijan Bistrović,CRO,MF,Lecce,Serie A,24,1998,5.1,0,8,1,12.5,1.56,0.2,0.0,0.0,24.4,4,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
325,Leonardo Bittencourt,GER,"MF,DF",Werder Bremen,Bundesliga,28,1993,18.1,3,25,9,36.0,1.38,0.5,0.12,0.33,22.3,2,0,0,1.4,1.4,0.05,1.6,1.6,Matches
326,Marco Bizot,NED,GK,Brest,Ligue 1,31,1991,37.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
327,Lautaro Blanco,ARG,"DF,MF",Elche,La Liga,23,1999,9.7,0,1,1,100.0,0.1,0.1,0.0,0.0,21.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
328,Rubén Blanco,ESP,GK,Marseille,Ligue 1,27,1995,5.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
329,Ludovic Blas,FRA,"MF,FW",Nantes,Ligue 1,24,1997,31.3,7,95,32,33.7,3.04,1.02,0.05,0.16,21.5,4,2,4,9.3,6.4,0.07,-2.3,-1.4,Matches
330,Janis Blaswich,GER,GK,RB Leipzig,Bundesliga,31,1991,26.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
331,Miha Blažič,SVN,DF,Angers,Ligue 1,29,1993,22.0,2,8,4,50.0,0.36,0.18,0.25,0.5,10.0,1,0,0,1.6,1.6,0.2,0.4,0.4,Matches
332,Joaquín Blázquez,ARG,GK,Brest,Ligue 1,21,2001,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
