Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
544,Yanis Cimignani,FRA,"MF,DF",Ajaccio,Ligue 1,20,2002,3.1,0,0,0,5,2,0,10,2,5,0,0,0,12,0,12,0.0,Matches
545,Daniel Ciofani,ITA,FW,Cremonese,Serie A,37,1985,11.8,1,0,0,9,15,6,2,2,3,0,0,0,28,35,67,34.3,Matches
546,Tio Cipot,SVN,"FW,MF",Spezia,Serie A,19,2003,1.5,0,0,0,1,2,0,7,0,7,0,0,0,8,1,2,33.3,Matches
547,Pathé Ciss,SEN,"MF,DF",Rayo Vallecano,La Liga,28,1994,14.2,4,0,0,38,13,1,3,22,29,0,0,1,101,34,28,54.8,Matches
548,Souleymane Cissé,FRA,DF,Clermont Foot,Ligue 1,19,2002,0.4,0,0,0,2,1,0,0,1,1,0,0,0,3,1,0,100.0,Matches
549,Patrick Ciurria,ITA,"DF,MF",Monza,Serie A,27,1995,30.6,4,0,0,32,41,8,98,7,18,0,0,0,138,12,13,48.0,Matches
550,Bobby Clark,ENG,MF,Liverpool,Premier League,17,2005,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
551,Alexis Claude-Maurice,FRA,FW,Nice,Ligue 1,24,1998,0.7,0,0,0,0,2,0,1,2,2,0,0,0,1,2,0,100.0,Matches
552,Alexis Claude-Maurice,FRA,"MF,FW",Lens,Ligue 1,24,1998,6.7,0,0,0,7,16,0,7,2,9,0,0,0,25,4,2,66.7,Matches
553,Jonathan Clauss,FRA,DF,Marseille,Ligue 1,29,1992,28.8,1,0,0,25,12,3,110,31,28,0,1,0,180,10,17,37.0,Matches
554,Carlos Clerc,ESP,"DF,MF",Elche,La Liga,30,1992,29.3,5,0,0,32,31,2,89,28,51,0,0,0,151,20,22,47.6,Matches
555,Nathaniel Clyne,ENG,DF,Crystal Palace,Premier League,31,1991,18.2,3,0,0,10,8,0,21,19,16,0,0,0,81,6,18,25.0,Matches
556,Conor Coady,ENG,DF,Everton,Premier League,29,1993,23.3,2,0,0,11,13,2,1,14,9,0,0,0,92,25,24,51.0,Matches
557,Nicolò Cocetta,ITA,DF,Udinese,Serie A,18,2003,0.4,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0.0,Matches
558,Marcus Coco,FRA,"FW,MF",Nantes,Ligue 1,26,1996,7.1,2,0,0,19,11,3,24,14,15,0,0,0,50,17,33,34.0,Matches
559,Alexandre Coeff,FRA,DF,Auxerre,Ligue 1,30,1992,6.5,0,0,0,3,1,0,5,8,5,0,0,0,29,6,7,46.2,Matches
560,Jack Colback,ENG,MF,Nott'ham Forest,Premier League,32,1989,5.5,0,0,0,9,8,0,1,3,13,0,0,0,24,4,8,33.3,Matches
561,Séamus Coleman,IRL,DF,Everton,Premier League,33,1988,18.4,1,0,0,10,21,2,22,22,26,0,0,0,100,18,16,52.9,Matches
562,David Čolina,CRO,"DF,FW",Augsburg,Bundesliga,22,2000,1.8,0,0,0,1,4,0,6,4,1,0,0,0,20,1,4,20.0,Matches
563,Álex Collado,ESP,MF,Elche,La Liga,23,1999,8.1,1,0,0,9,10,1,18,2,14,0,0,0,33,4,8,33.3,Matches
564,Diego Collado,ESP,FW,Villarreal,La Liga,21,2001,0.1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,Matches
565,Omar Colley,GAM,DF,Sampdoria,Serie A,29,1992,15.4,5,0,0,15,18,1,0,22,10,0,0,0,73,27,30,47.4,Matches
566,Nathan Collins,IRL,DF,Wolves,Premier League,21,2001,20.2,2,1,0,17,9,1,0,21,15,0,0,0,96,37,31,54.4,Matches
567,Lorenzo Colombo,ITA,FW,Lecce,Serie A,20,2002,16.8,4,0,0,36,16,8,10,2,9,0,0,0,52,41,118,25.8,Matches
568,Andrea Colpani,ITA,MF,Monza,Serie A,23,1999,10.5,1,0,0,22,26,0,33,3,9,1,0,0,55,6,10,37.5,Matches
569,Levi Colwill,ENG,DF,Brighton,Premier League,19,2003,13.6,1,0,0,8,10,0,1,15,7,0,0,0,74,45,18,71.4,Matches
570,Kingsley Coman,FRA,"FW,MF",Bayern Munich,Bundesliga,26,1996,15.7,2,1,1,9,21,5,74,2,8,1,0,0,71,11,10,52.4,Matches
571,Eray Cömert,SUI,DF,Valencia,La Liga,24,1998,18.6,5,1,0,22,11,1,1,29,23,0,0,0,106,44,31,58.7,Matches
572,Santi Comesaña,ESP,MF,Rayo Vallecano,La Liga,25,1996,27.2,6,0,0,49,28,4,17,32,44,0,0,0,173,32,44,42.1,Matches
573,Andrea Consigli,ITA,GK,Sassuolo,Serie A,35,1987,35.0,0,0,0,0,4,0,0,0,0,0,0,0,32,9,1,90.0,Matches
574,Abdu Conté,POR,DF,Troyes,Ligue 1,24,1998,14.6,0,0,0,12,12,4,37,6,17,0,2,0,71,16,7,69.6,Matches
575,Andrea Conti,ITA,DF,Sampdoria,Serie A,28,1994,0.3,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.0,Matches
576,Lewis Cook,ENG,MF,Bournemouth,Premier League,25,1997,19.1,4,0,0,15,10,0,45,23,22,0,0,0,129,7,10,41.2,Matches
577,Steve Cook,ENG,DF,Nott'ham Forest,Premier League,31,1991,10.6,4,0,0,5,2,0,1,12,4,0,1,0,35,27,10,73.0,Matches
578,Liam Cooper,SCO,DF,Leeds United,Premier League,30,1991,15.8,5,0,0,12,10,0,1,34,23,0,0,0,107,56,32,63.6,Matches
579,Copete,ESP,DF,Mallorca,La Liga,22,1999,24.5,7,1,0,47,24,2,9,44,28,0,1,0,113,39,16,70.9,Matches
580,Diego Coppola,ITA,DF,Hellas Verona,Serie A,18,2003,13.1,5,0,0,10,0,0,3,14,17,0,1,0,70,47,34,58.0,Matches
581,Francis Coquelin,FRA,MF,Villarreal,La Liga,31,1991,8.3,2,0,0,11,7,0,5,9,13,0,0,0,36,6,4,60.0,Matches
582,Sébastien Corchia,FRA,DF,Nantes,Ligue 1,31,1990,8.7,3,0,0,16,18,1,43,14,6,0,0,0,52,12,10,54.5,Matches
583,Alex Cordaz,ITA,GK,Inter,Serie A,39,1983,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
584,Maxwel Cornet,CIV,FW,West Ham,Premier League,25,1996,2.7,0,0,0,2,2,9,6,2,3,0,0,0,15,6,11,35.3,Matches
585,Jesús Corona,MEX,FW,Sevilla,La Liga,29,1993,1.2,0,0,0,2,5,1,3,1,0,0,0,0,5,0,2,0.0,Matches
586,Ángel Correa,ARG,"FW,MF",Atlético Madrid,La Liga,27,1995,16.2,3,1,0,19,20,14,22,10,6,0,0,0,63,5,16,23.8,Matches
587,Joaquín Correa,ARG,FW,Inter,Serie A,27,1994,10.6,1,0,0,12,18,2,2,3,7,0,0,0,41,4,12,25.0,Matches
588,Thierry Correia,POR,DF,Valencia,La Liga,23,1999,22.3,5,0,0,39,44,1,87,24,52,2,0,0,149,24,20,54.5,Matches
589,Alessandro Cortinovis,ITA,MF,Hellas Verona,Serie A,21,2001,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0.0,Matches
590,Danny da Costa,GER,DF,Mainz 05,Bundesliga,29,1993,13.7,0,0,0,8,3,4,52,9,16,0,0,0,81,18,11,62.1,Matches
591,David Pereira da Costa,POR,"MF,FW",Lens,Ligue 1,21,2001,15.6,2,0,0,14,14,0,52,11,7,1,0,0,67,3,11,21.4,Matches
592,Diego Costa,ESP,FW,Wolves,Premier League,33,1988,13.8,5,1,0,29,10,16,6,2,1,0,0,0,25,30,59,33.7,Matches
593,Jaume Costa,ESP,DF,Mallorca,La Liga,34,1988,28.9,10,0,0,44,32,7,75,22,34,0,0,0,122,30,26,53.6,Matches
594,Logan Costa,CPV,DF,Toulouse,Ligue 1,21,2001,4.6,0,0,0,2,4,0,0,4,4,0,0,1,24,5,3,62.5,Matches
595,Nuno da Costa,CPV,"FW,MF",Auxerre,Ligue 1,31,1991,22.3,5,1,1,37,57,5,15,20,23,0,0,0,67,45,68,39.8,Matches
596,Samu Costa,POR,MF,Almería,La Liga,21,2000,22.1,5,0,0,51,44,4,8,37,31,0,0,0,143,48,24,66.7,Matches
597,Benoît Costil,FRA,GK,Auxerre,Ligue 1,35,1987,19.0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,100.0,Matches
598,Vladimír Coufal,CZE,DF,West Ham,Premier League,29,1992,23.7,5,0,0,30,21,1,113,38,31,0,0,0,150,40,22,64.5,Matches
599,Lassana Coulibaly,MLI,MF,Salernitana,Serie A,26,1996,32.1,12,0,0,53,50,1,10,25,50,0,0,0,222,29,38,43.3,Matches
600,Soumaïla Coulibaly,FRA,DF,Dortmund,Bundesliga,18,2003,0.5,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
601,Tanguy Coulibaly,FRA,"FW,DF",Stuttgart,Bundesliga,21,2001,3.6,3,0,0,8,5,3,10,3,9,0,0,0,26,0,5,0.0,Matches
602,Thibaut Courtois,BEL,GK,Real Madrid,La Liga,30,1992,31.0,0,0,0,0,3,0,0,3,0,0,0,0,59,9,0,100.0,Matches
603,Mathieu Coutadeur,FRA,MF,Ajaccio,Ligue 1,36,1986,21.6,2,0,0,6,13,0,5,19,13,0,0,0,150,9,13,40.9,Matches
604,Philippe Coutinho,BRA,"MF,FW",Aston Villa,Premier League,30,1992,8.8,3,0,0,16,14,2,19,4,14,0,0,0,41,3,13,18.8,Matches
605,Yan Couto,BRA,"DF,MF",Girona,La Liga,20,2002,12.9,3,0,0,12,15,2,63,5,18,0,0,0,78,1,7,12.5,Matches
606,Conor Coventry,IRL,"MF,FW",West Ham,Premier League,22,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
607,Nicolas Cozza,FRA,DF,Montpellier,Ligue 1,23,1999,14.2,3,0,0,8,19,3,14,21,21,0,0,0,62,21,23,47.7,Matches
608,Nicolas Cozza,FRA,DF,Wolfsburg,Bundesliga,23,1999,1.1,0,0,0,0,1,0,0,0,3,0,0,0,6,1,0,100.0,Matches
609,Alessio Cragno,ITA,GK,Monza,Serie A,28,1994,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,Matches
610,Matthew Craig,SCO,MF,Tottenham,Premier League,19,2003,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,Matches
611,Aaron Cresswell,ENG,DF,West Ham,Premier League,32,1989,24.8,3,0,0,9,9,2,133,27,11,0,0,0,120,28,27,50.9,Matches
612,Bryan Cristante,ITA,"MF,DF",Roma,Serie A,27,1995,32.6,8,1,0,52,19,2,11,18,62,0,0,0,209,75,41,64.7,Matches
613,Domen Črnigoj,SVN,MF,Salernitana,Serie A,26,1995,3.3,1,0,0,6,2,0,0,9,3,0,0,0,21,5,7,41.7,Matches
614,Juan Cruz Armada,ESP,DF,Osasuna,La Liga,30,1992,22.9,7,0,0,17,9,1,35,13,14,0,0,0,94,18,22,45.0,Matches
615,Juan Cruz,ESP,FW,Betis,La Liga,22,2000,2.0,1,0,0,4,2,1,6,0,0,0,0,0,8,1,2,33.3,Matches
616,Juan Cuadrado,COL,"DF,FW",Juventus,Serie A,34,1988,23.1,6,1,0,33,44,2,83,24,34,1,0,0,115,11,13,45.8,Matches
617,Marc Cucurella,ESP,DF,Chelsea,Premier League,24,1998,18.6,4,0,0,16,21,1,44,16,33,0,0,0,120,16,13,55.2,Matches
618,Jorge Cuenca,ESP,DF,Villarreal,La Liga,22,1999,5.6,1,0,0,4,1,0,1,6,7,0,1,0,28,15,7,68.2,Matches
619,Braian Cufré,ARG,DF,Mallorca,La Liga,25,1996,2.4,0,0,0,5,3,2,1,2,2,0,0,0,13,0,1,0.0,Matches
620,Mickaël Cuisance,FRA,MF,Sampdoria,Serie A,22,1999,6.9,1,0,0,8,5,1,20,5,10,0,0,0,40,5,12,29.4,Matches
621,Matheus Cunha,BRA,FW,Wolves,Premier League,23,1999,10.7,1,0,0,20,21,3,8,9,4,0,0,0,50,7,37,15.9,Matches
622,Matheus Cunha,BRA,"FW,MF",Atlético Madrid,La Liga,23,1999,4.2,2,0,0,7,6,1,3,2,1,0,0,0,16,3,14,17.6,Matches
623,Curro,ESP,MF,Almería,La Liga,26,1996,0.5,1,0,0,1,0,0,1,0,0,0,0,0,3,0,2,0.0,Matches
624,Marco D'Alessandro,ITA,"DF,FW",Monza,Serie A,31,1991,3.2,2,0,0,6,9,1,13,1,4,0,0,0,19,2,2,50.0,Matches
625,Danilo D'Ambrosio,ITA,DF,Inter,Serie A,33,1988,8.1,3,1,0,16,11,0,9,10,17,1,0,0,39,8,9,47.1,Matches
626,Luca D'Andrea,ITA,FW,Sassuolo,Serie A,17,2004,3.5,0,0,0,4,9,1,7,1,0,0,0,0,13,2,3,40.0,Matches
627,Damien Da Silva,FRA,DF,Lyon,Ligue 1,34,1988,3.8,2,0,0,8,2,0,2,5,7,0,0,0,13,12,7,63.2,Matches
628,Moanes Dabbur,ISR,FW,Hoffenheim,Bundesliga,30,1992,10.4,3,1,0,12,17,10,6,5,8,0,0,0,44,7,22,24.1,Matches
629,Andréa Dacourt,FRA,MF,Nice,Ligue 1,17,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
630,Colin Dagba,FRA,"DF,MF",Strasbourg,Ligue 1,23,1998,10.6,3,0,0,14,6,1,35,17,20,0,0,0,51,3,5,37.5,Matches
631,Finn Dahmen,GER,GK,Mainz 05,Bundesliga,24,1998,8.0,0,0,0,0,0,0,0,0,0,0,0,0,18,7,1,87.5,Matches
632,Mahmoud Dahoud,GER,MF,Dortmund,Bundesliga,26,1996,3.7,1,0,0,3,2,0,3,7,9,0,0,0,24,1,3,25.0,Matches
633,Patson Daka,ZAM,FW,Leicester City,Premier League,23,1998,13.2,2,0,0,23,15,7,8,7,8,1,0,0,36,26,45,36.6,Matches
634,Thijs Dallinga,NED,FW,Toulouse,Ligue 1,21,2000,26.1,4,0,0,35,19,22,18,3,6,0,0,0,41,56,68,45.2,Matches
635,Diogo Dalot,POR,DF,Manchester Utd,Premier League,23,1999,23.9,6,0,0,21,3,0,44,37,41,0,0,0,152,39,18,68.4,Matches
636,Muhammed Damar,GER,MF,Hoffenheim,Bundesliga,18,2004,1.8,0,0,0,6,1,0,2,0,3,0,0,0,12,2,2,50.0,Matches
637,Mikkel Damsgaard,DEN,"MF,FW",Brentford,Premier League,22,2000,11.0,4,0,0,13,11,0,29,10,21,0,0,0,70,10,9,52.6,Matches
638,Flavius Daniliuc,AUT,DF,Salernitana,Serie A,21,2001,24.4,9,0,0,33,4,0,0,29,29,0,0,0,132,39,28,58.2,Matches
639,Flavius Daniliuc,AUT,DF,Nice,Ligue 1,21,2001,1.0,0,0,0,2,0,0,2,0,0,0,0,0,5,1,0,100.0,Matches
640,Danilo,BRA,MF,Nott'ham Forest,Premier League,21,2001,10.8,1,0,0,4,3,2,3,9,7,0,0,0,60,4,14,22.2,Matches
641,Danilo,BRA,DF,Juventus,Serie A,31,1991,35.4,5,0,0,33,17,0,18,47,62,0,2,0,196,53,38,58.2,Matches
642,Arnaut Danjuma,NED,"FW,MF",Tottenham,Premier League,25,1997,1.9,0,0,0,0,1,1,2,0,0,0,0,0,1,1,2,33.3,Matches
643,Arnaut Danjuma,NED,FW,Villarreal,La Liga,25,1997,5.3,0,0,0,2,7,3,6,0,3,0,0,0,10,0,3,0.0,Matches
644,Kévin Danois,FRA,MF,Auxerre,Ligue 1,18,2004,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,Matches
645,Kevin Danso,AUT,DF,Lens,Ligue 1,23,1998,35.9,7,1,0,39,57,2,0,33,19,1,2,0,224,82,32,71.9,Matches
646,Dante,BRA,DF,Nice,Ligue 1,38,1983,36.7,6,0,0,38,18,0,2,47,40,0,1,0,261,74,28,72.5,Matches
647,Márton Dárdai,GER,"DF,MF",Hertha BSC,Bundesliga,20,2002,10.5,2,0,0,11,9,0,1,11,8,0,0,0,52,17,17,50.0,Matches
648,Sergi Darder,ESP,MF,Espanyol,La Liga,28,1993,36.9,4,0,0,31,78,2,181,24,38,0,0,0,205,12,13,48.0,Matches
649,Achraf Dari,MAR,DF,Brest,Ligue 1,23,1999,14.6,1,0,0,13,13,2,1,19,14,1,1,0,78,35,24,59.3,Matches
650,Vladimír Darida,CZE,MF,Hertha BSC,Bundesliga,31,1990,0.3,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0.0,Matches
651,Matteo Darmian,ITA,DF,Inter,Serie A,32,1989,22.5,3,0,0,21,20,3,28,21,30,0,0,0,121,15,23,39.5,Matches
652,Josh Dasilva,ENG,MF,Brentford,Premier League,23,1998,15.4,1,0,0,14,23,0,33,5,9,0,0,0,66,6,8,42.9,Matches
653,David Datro Fofana,CIV,FW,Chelsea,Premier League,19,2002,0.8,0,0,0,3,3,1,1,0,1,0,0,0,6,0,0,0.0,Matches
654,Jonathan David,CAN,FW,Lille,Ligue 1,22,2000,35.2,6,0,0,41,59,23,7,8,17,0,0,0,89,16,64,20.0,Matches
655,Alphonso Davies,CAN,DF,Bayern Munich,Bundesliga,21,2000,22.7,0,0,0,9,26,3,25,24,28,0,0,0,199,6,6,50.0,Matches
656,Ben Davies,WAL,DF,Tottenham,Premier League,29,1993,25.4,4,0,0,30,17,1,35,18,11,0,0,0,84,70,53,56.9,Matches
657,Tom Davies,ENG,MF,Everton,Premier League,24,1998,6.0,3,0,0,10,6,1,2,4,9,0,0,0,28,7,13,35.0,Matches
658,Paweł Dawidowicz,POL,DF,Hellas Verona,Serie A,27,1995,18.1,6,1,0,37,13,1,13,23,31,0,0,0,120,43,27,61.4,Matches
659,Craig Dawson,ENG,DF,West Ham,Premier League,32,1990,8.0,2,0,0,6,3,0,2,6,6,1,1,0,45,14,7,66.7,Matches
660,Craig Dawson,ENG,DF,Wolves,Premier League,32,1990,15.7,4,0,0,11,10,0,0,12,6,0,0,0,75,34,36,48.6,Matches
661,Kevin De Bruyne,BEL,MF,Manchester City,Premier League,31,1991,26.9,1,0,0,20,29,5,226,9,12,2,0,0,97,13,13,50.0,Matches
662,Charles De Ketelaere,BEL,"MF,FW",Milan,Serie A,21,2001,12.4,2,0,0,19,15,2,10,4,12,0,0,0,56,19,30,38.8,Matches
663,Manuel De Luca,ITA,"FW,MF",Sampdoria,Serie A,24,1998,0.5,0,0,0,3,2,0,0,0,0,0,0,0,1,0,3,0.0,Matches
664,Tommaso De Nipoti,ITA,MF,Atalanta,Serie A,19,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
665,Rodrigo De Paul,ARG,MF,Atlético Madrid,La Liga,28,1994,21.4,5,0,0,33,49,0,47,8,21,0,0,0,127,6,8,42.9,Matches
666,Mattia De Sciglio,ITA,DF,Juventus,Serie A,29,1992,11.6,0,0,0,4,11,0,26,4,7,0,0,0,40,10,11,47.6,Matches
667,Lorenzo De Silvestri,ITA,DF,Bologna,Serie A,34,1988,7.5,1,0,0,6,6,2,7,3,2,0,0,1,39,14,12,53.8,Matches
668,Thibault De Smet,BEL,DF,Reims,Ligue 1,24,1998,19.5,2,0,0,25,9,3,48,20,17,0,0,0,104,31,7,81.6,Matches
669,Koni De Winter,BEL,DF,Empoli,Serie A,20,2002,11.4,3,0,0,13,2,0,0,6,9,0,0,0,58,16,11,59.3,Matches
670,Grégoire Defrel,MTQ,FW,Sassuolo,Serie A,31,1991,13.0,3,0,0,14,14,6,1,2,7,0,0,0,29,6,24,20.0,Matches
671,Duccio Degl'Innocenti,ITA,MF,Empoli,Serie A,19,2003,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,Matches
672,Brecht Dejaegere,BEL,MF,Toulouse,Ligue 1,31,1991,20.1,5,0,0,40,37,1,19,14,23,0,1,0,86,8,16,33.3,Matches
673,Romain Del Castillo,FRA,"MF,FW",Brest,Ligue 1,26,1996,15.8,2,0,0,19,24,1,101,11,24,1,0,0,86,18,24,42.9,Matches
674,Alberto Del Moral,ESP,MF,Villarreal,La Liga,22,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
675,Thomas Delaine,FRA,"DF,MF",Strasbourg,Ligue 1,30,1992,11.9,3,0,0,15,12,0,66,16,14,0,2,0,53,11,11,50.0,Matches
676,Thomas Delaney,DEN,MF,Sevilla,La Liga,30,1991,3.4,3,0,0,4,5,1,4,4,2,0,0,0,8,9,2,81.8,Matches
677,Thomas Delaney,DEN,MF,Hoffenheim,Bundesliga,30,1991,3.3,0,0,0,3,6,0,3,1,3,0,0,0,25,11,4,73.3,Matches
678,Sacha Delaye,FRA,"FW,MF",Montpellier,Ligue 1,20,2002,0.2,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,50.0,Matches
679,Fran Delgado,ESP,DF,Betis,La Liga,21,2001,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,Matches
680,Andy Delort,ALG,FW,Nice,Ligue 1,30,1991,8.7,0,0,0,8,9,7,15,1,0,0,0,0,12,28,25,52.8,Matches
681,Andy Delort,ALG,FW,Nantes,Ligue 1,30,1991,5.2,0,0,0,9,4,4,17,0,4,0,0,0,9,12,21,36.4,Matches
682,Karamoko Dembele,SCO,"FW,MF",Brest,Ligue 1,19,2003,2.0,0,0,0,5,9,0,14,1,0,0,0,0,13,0,4,0.0,Matches
683,Moussa Dembélé,FRA,"FW,MF",Lyon,Ligue 1,26,1996,9.7,1,0,0,17,3,8,2,2,4,0,0,0,22,29,22,56.9,Matches
684,Ousmane Dembélé,FRA,FW,Barcelona,La Liga,25,1997,15.7,4,0,0,16,19,5,106,0,12,0,0,0,60,4,12,25.0,Matches
685,Siriki Dembélé,CIV,"FW,MF",Bournemouth,Premier League,25,1996,1.2,0,0,0,1,2,0,3,1,1,0,0,0,9,0,4,0.0,Matches
686,Siriki Dembélé,CIV,"MF,FW",Auxerre,Ligue 1,25,1996,4.1,1,0,0,8,9,0,6,1,6,0,0,0,24,2,8,20.0,Matches
687,Merih Demiral,TUR,DF,Atalanta,Serie A,24,1998,17.1,5,0,0,13,13,1,2,24,29,0,0,0,123,52,29,64.2,Matches
688,Kerem Demirbay,GER,MF,Leverkusen,Bundesliga,29,1993,17.2,5,0,0,31,22,0,90,16,18,0,0,0,100,9,11,45.0,Matches
689,Ermedin Demirović,BIH,"FW,MF",Augsburg,Bundesliga,24,1998,26.3,7,1,0,49,31,11,19,14,14,1,0,0,83,66,106,38.4,Matches
690,Diego Demme,GER,MF,Napoli,Serie A,30,1991,1.6,0,0,0,2,3,0,0,0,0,0,0,0,5,2,1,66.7,Matches
691,Sepp van den Berg,NED,DF,Schalke 04,Bundesliga,20,2001,7.7,2,0,0,4,0,0,0,13,4,0,0,0,45,14,15,48.3,Matches
692,Branco van den Boomen,NED,MF,Toulouse,Ligue 1,27,1995,32.1,6,0,0,33,19,2,282,10,36,0,0,0,182,6,12,33.3,Matches
693,Leander Dendoncker,BEL,MF,Aston Villa,Premier League,27,1995,7.7,0,0,0,1,1,0,2,10,9,0,0,0,36,10,8,55.6,Matches
694,Leander Dendoncker,BEL,MF,Wolves,Premier League,27,1995,2.4,0,0,0,0,0,0,1,9,2,0,0,0,16,2,5,28.6,Matches
695,Emmanuel Dennis,NGA,"FW,MF",Nott'ham Forest,Premier League,24,1997,8.0,3,0,0,15,29,4,11,2,11,0,0,0,38,13,16,44.8,Matches
696,Fabio Depaoli,ITA,DF,Hellas Verona,Serie A,25,1997,24.1,7,0,0,43,31,4,60,18,28,0,0,0,113,24,39,38.1,Matches
697,Fabio Depaoli,ITA,"DF,MF",Sampdoria,Serie A,25,1997,1.5,1,0,0,1,7,0,8,1,3,0,0,0,6,0,2,0.0,Matches
698,Kastriot Dermaku,ALB,DF,Lecce,Serie A,30,1992,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
699,Halil Dervişoğlu,TUR,MF,Brentford,Premier League,22,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
700,Rémy Descamps,FRA,GK,Nantes,Ligue 1,26,1996,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
701,Mikkel Desler,DEN,DF,Toulouse,Ligue 1,27,1995,25.1,5,1,1,28,32,6,42,36,38,0,0,0,165,23,9,71.9,Matches
702,Cyriel Dessers,NGA,FW,Cremonese,Serie A,27,1994,17.6,3,0,0,34,14,24,8,3,4,0,0,0,30,16,48,25.0,Matches
703,Sergiño Dest,USA,DF,Milan,Serie A,21,2000,3.7,0,0,0,6,4,0,4,4,6,0,1,0,29,3,1,75.0,Matches
704,Mattia Destro,ITA,"FW,MF",Empoli,Serie A,31,1991,6.4,3,0,0,12,5,7,2,1,1,0,1,0,9,8,20,28.6,Matches
705,Gerard Deulofeu,ESP,FW,Udinese,Serie A,28,1994,13.5,1,0,0,8,11,8,59,2,5,0,0,0,44,1,4,20.0,Matches
706,Kiernan Dewsbury-Hall,ENG,MF,Leicester City,Premier League,23,1998,25.6,5,1,1,37,35,1,46,28,29,0,0,0,149,15,13,53.6,Matches
707,Samuel Di Carmine,ITA,"FW,MF",Cremonese,Serie A,33,1988,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0,Matches
708,Federico Di Francesco,ITA,"FW,MF",Lecce,Serie A,28,1994,22.6,5,0,0,43,32,13,45,8,16,1,0,0,86,7,21,25.0,Matches
709,Michele Di Gregorio,ITA,GK,Monza,Serie A,25,1997,37.0,0,0,0,0,3,0,0,4,0,0,0,0,31,4,1,80.0,Matches
710,Giovanni Di Lorenzo,ITA,DF,Napoli,Serie A,28,1993,36.2,2,0,0,31,36,4,88,30,29,0,0,0,171,41,34,54.7,Matches
711,Ángel Di María,ARG,"FW,MF",Juventus,Serie A,34,1988,15.1,1,1,0,6,24,4,97,7,5,0,0,0,52,1,6,14.3,Matches
712,Boulaye Dia,SEN,"FW,MF",Salernitana,Serie A,25,1996,28.0,4,0,0,28,43,13,6,7,5,0,0,0,97,20,58,25.6,Matches
713,Moussa Diaby,FRA,"FW,MF",Leverkusen,Bundesliga,23,1999,30.0,4,0,0,18,24,10,95,5,8,1,0,0,87,2,20,9.1,Matches
714,Mouctar Diakhaby,GUI,DF,Valencia,La Liga,25,1996,27.2,7,1,1,23,13,4,1,20,16,0,0,0,149,48,40,54.5,Matches
715,Mamadou Diakhon,FRA,FW,Reims,Ligue 1,16,2005,0.2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0,Matches
716,Bafodé Diakité,FRA,DF,Lille,Ligue 1,21,2001,29.5,6,0,0,45,13,0,19,17,35,0,0,1,159,41,41,50.0,Matches
717,Ibrahim Diakité,GUI,DF,Reims,Ligue 1,18,2003,1.5,1,0,0,3,2,0,7,5,3,0,0,0,10,1,2,33.3,Matches
718,Abdou Diallo,SEN,"DF,MF",RB Leipzig,Bundesliga,26,1996,5.3,2,0,0,3,2,1,1,8,5,0,1,0,40,12,11,52.2,Matches
719,Baila Diallo,FRA,"DF,MF",Clermont Foot,Ligue 1,21,2001,1.0,0,0,0,3,1,0,5,0,0,0,0,0,3,4,4,50.0,Matches
720,Habib Diallo,SEN,FW,Strasbourg,Ligue 1,27,1995,32.0,4,1,1,37,64,19,7,12,10,1,0,0,76,135,158,46.1,Matches
721,Ibrahima Diallo,FRA,MF,Southampton,Premier League,23,1999,9.1,4,0,0,18,7,0,4,6,15,0,0,0,82,15,9,62.5,Matches
