Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Live,TOAtt,TOSucc,TOSuccp,TOTkld,TOTkldp,Carries,CaTotDist,CaPrgDist,CaPrgC,CaFTC,CaCPA,CaMis,CaDis,Rec,PrgR
35,Kevin Agudelo,COL,"MF,FW",Spezia,Serie A,23,1998,23.7,1084,11,168,500,457,54,1084,109,50,45.87,50,45.87,662,4963,2740,81,71,19,59,55,699,100
36,Nayef Aguerd,MAR,DF,West Ham,Premier League,26,1996,17.7,949,161,563,358,35,23,949,6,4,66.67,0,0,523,2127,1137,2,1,0,8,7,564,4
37,Ruben Aguilar,FRA,DF,Monaco,Ligue 1,29,1993,13,975,44,210,463,305,24,975,14,7,50,6,42.86,637,3256,1501,29,23,3,14,4,573,78
38,Naouirou Ahamada,FRA,"MF,FW","Crystal Palace,Stuttgart","Premier League,Bundesliga",20,2002,16.5,737,18,151,422,176,26,737,46,21,45.65,21,45.65,440,3167,1581,44,29,7,39,12,492,65
40,Amar Ahmed,SWE,FW,Troyes,Ligue 1,18,2004,0.2,18,0,3,8,7,0,18,1,1,100,0,0,12,74,21,0,1,0,4,2,12,2
41,Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,28,1994,14.4,799,26,131,483,194,27,799,34,14,41.18,14,41.18,538,2906,1220,25,18,9,34,15,477,37
42,Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,26,1995,34.7,2082,301,1114,938,46,15,2082,13,8,61.54,2,15.38,1306,6192,3226,15,6,0,12,9,1321,2
43,Ola Aina,NGA,DF,Torino,Serie A,25,1996,9.7,679,20,146,294,250,13,679,49,23,46.94,20,40.82,361,2268,1112,35,26,4,15,8,390,43
44,Rayan Aït Nouri,ALG,DF,Wolves,Premier League,21,2001,12,740,40,240,279,233,28,740,50,28,56,18,36,395,2260,1244,30,13,10,28,12,454,76
45,Emanuel Aiwum,AUT,DF,Cremonese,Serie A,21,2000,18.4,997,105,506,452,51,5,997,10,3,30,5,50,500,3147,1569,19,11,0,6,5,521,7
46,Kristoffer Ajer,NOR,DF,Brentford,Premier League,24,1998,8.5,412,45,184,167,64,9,412,7,1,14.29,4,57.14,213,1123,613,10,5,0,3,8,231,12
47,Ludovic Ajorque,FRA,FW,"Strasbourg,Mainz 05","Ligue 1,Bundesliga",28,1994,22.1,891,16,66,463,372,126,890,17,10,58.82,6,35.29,478,1890,469,7,18,2,65,23,677,140
49,Manuel Akanji,SUI,DF,Manchester City,Premier League,27,1995,25.4,2231,121,815,1248,176,34,2231,12,6,50,3,25,1544,8443,5039,24,40,1,12,3,1734,17
50,Nathan Aké,NED,DF,Manchester City,Premier League,27,1995,20.8,1959,86,615,1097,256,32,1959,5,3,60,1,20,1223,5455,3314,25,19,4,16,0,1492,30
51,Sergio Akieme,ESP,DF,Almería,La Liga,24,1997,25.5,1283,78,434,563,307,35,1283,51,27,52.94,18,35.29,660,4200,2232,60,34,11,29,25,710,84
52,Babatunde Akinsola,NGA,FW,Valladolid,La Liga,19,2003,0.1,4,0,1,2,1,0,4,0,0,#DIV/0!,0,#DIV/0!,4,29,14,1,1,0,2,1,5,3
53,Maghnes Akliouche,FRA,"MF,FW",Monaco,Ligue 1,20,2002,4.5,210,4,23,85,105,17,210,13,6,46.15,7,53.85,172,897,351,9,5,2,8,7,161,42
54,Paul Akouokou,CIV,"MF,DF",Betis,La Liga,24,1997,5,233,33,102,117,16,1,233,5,3,60,2,40,116,369,122,1,2,0,5,0,136,1
55,Jean-Daniel Akpa-Akpro,CIV,"MF,FW",Empoli,Serie A,29,1992,15.1,630,24,163,338,143,24,630,55,31,56.36,19,34.55,325,1788,748,19,23,8,25,15,351,37
56,Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,27,1995,21.7,1306,143,613,609,93,16,1306,22,7,31.82,13,59.09,691,3422,1537,17,13,3,16,7,742,23
57,David Alaba,AUT,DF,Real Madrid,La Liga,30,1992,20.4,1293,137,531,530,240,22,1293,4,3,75,1,25,779,3566,2070,16,24,2,7,5,938,60
58,Ángel Alarcón,ESP,FW,Barcelona,La Liga,18,2004,0.3,0,0,0,0,0,0,0,0,0,#DIV/0!,0,#DIV/0!,0,0,0,0,0,0,0,0,0,0
59,Tomás Alarcón,CHI,MF,Cádiz,La Liga,23,1999,2.5,113,3,20,68,25,1,113,0,0,#DIV/0!,0,#DIV/0!,62,267,81,2,0,0,3,4,74,6
60,Lucas Alario,ARG,"FW,MF",Eint Frankfurt,Bundesliga,29,1992,3.7,131,13,22,51,61,24,131,8,5,62.5,3,37.5,53,234,116,2,6,1,4,8,91,17
61,Jordi Alba,ESP,DF,Barcelona,La Liga,33,1989,15.8,1558,34,299,765,506,39,1558,8,4,50,4,50,957,3881,2079,42,27,6,7,7,1121,157
62,Luis Alberto,ESP,MF,Lazio,Serie A,29,1992,27.1,2217,29,269,1285,681,43,2215,41,19,46.34,20,48.78,1244,5632,3214,73,76,10,33,31,1632,94
63,Raúl Albiol,ESP,DF,Villarreal,La Liga,36,1985,23.5,1687,223,856,796,44,9,1687,7,4,57.14,3,42.86,1047,6928,4616,12,10,0,11,5,1152,3
64,Marc Albrighton,ENG,"FW,MF",Leicester City,Premier League,32,1989,2.6,173,6,33,61,79,5,173,2,2,100,0,0,83,391,147,4,4,0,4,2,116,18
65,Thiago Alcántara,ESP,MF,Liverpool,Premier League,31,1991,13.9,1251,45,272,796,188,8,1251,30,21,70,4,13.33,718,3639,1721,13,21,0,13,22,910,24
66,Carlos Alcaraz,ARG,"MF,FW",Southampton,Premier League,19,2002,11.4,430,14,73,234,130,23,430,28,13,46.43,11,39.29,258,1292,675,20,17,2,30,24,296,32
67,Rubén Alcaraz,ESP,MF,Cádiz,La Liga,31,1991,22.7,1286,64,309,768,224,22,1283,24,12,50,10,41.67,715,3713,1587,30,27,3,34,31,775,20
68,Omar Alderete,PAR,DF,Getafe,La Liga,25,1996,22.7,1114,118,458,591,81,25,1114,22,17,77.27,5,22.73,529,2843,1937,28,15,2,15,8,533,8
69,Iván Alejo,ESP,"MF,FW",Cádiz,La Liga,27,1995,14.6,590,23,131,185,283,22,590,47,12,25.53,25,53.19,356,2612,1275,52,32,2,38,23,378,103
70,Doğan Alemdar,TUR,GK,Rennes,Ligue 1,19,2002,4.5,154,117,154,0,0,0,154,0,0,#DIV/0!,0,#DIV/0!,102,490,229,0,0,0,1,0,67,0
71,Carles Aleñá,ESP,"MF,FW",Getafe,La Liga,24,1998,23.5,1024,17,149,579,312,28,1024,43,24,55.81,13,30.23,608,2796,1235,24,23,2,47,24,728,78
72,Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,23,1998,32.5,3180,89,737,1631,837,44,3180,45,30,66.67,13,28.89,1778,6848,3312,43,39,8,35,21,2042,139
73,Alejandro Alfaro,ESP,MF,Elche,La Liga,20,2002,0.2,2,0,0,1,1,0,2,1,0,0,1,100,1,6,0,0,1,0,0,0,2,0
74,Ángel Algobia,ESP,MF,Getafe,La Liga,23,1999,12.6,626,14,147,390,92,9,626,6,4,66.67,2,33.33,330,1542,716,10,4,3,12,7,387,11
75,Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,La Liga,18,2004,6.5,281,4,33,106,151,29,281,39,16,41.03,18,46.15,192,1299,704,30,6,14,29,9,204,63
76,Faride Alidou,GER,"DF,MF",Eint Frankfurt,Bundesliga,21,2001,2,139,3,23,65,52,5,139,10,2,20,8,80,63,413,223,8,4,4,5,5,71,24
77,Alisson,BRA,GK,Liverpool,Premier League,29,1992,37,1536,1124,1498,39,0,0,1536,2,2,100,0,0,985,4654,2962,0,0,0,1,0,901,0
78,Jim Allevinah,GAB,"DF,FW",Clermont Foot,Ligue 1,27,1995,24.9,1134,39,257,502,396,65,1134,88,34,38.64,45,51.14,851,6113,2685,82,62,14,46,40,746,141
79,Dele Alli,ENG,MF,Everton,Premier League,26,1996,0.4,20,0,1,8,11,2,20,1,0,0,1,100,11,30,3,0,0,0,3,1,14,1
80,Domingos André Ribeiro Almeida,POR,MF,Valencia,La Liga,22,2000,28.2,1685,33,244,820,651,24,1685,90,46,51.11,31,34.44,1049,6244,3196,74,71,3,42,49,1114,71
81,Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,28,1994,27.7,1300,25,147,417,760,138,1300,79,34,43.04,33,41.77,841,5389,2341,77,46,25,51,28,924,264
82,Marcos Alonso,ESP,DF,Barcelona,La Liga,31,1990,13,1114,98,402,624,94,11,1114,2,2,100,0,0,727,4516,2674,26,11,0,8,1,816,12
83,Mickaël Alphonse,GLP,DF,Ajaccio,Ligue 1,33,1989,15.1,879,54,255,457,178,13,879,19,10,52.63,8,42.11,473,2988,1528,30,25,0,15,14,403,34
84,Éder Álvarez Balanta,COL,"MF,FW",Schalke 04,Bundesliga,29,1993,2.6,114,4,38,60,17,2,114,4,3,75,1,25,55,234,130,3,1,0,1,2,53,0
85,Carlos Álvarez,ESP,MF,Sevilla,La Liga,18,2003,0.1,6,0,0,3,3,0,6,0,0,#DIV/0!,0,#DIV/0!,2,18,1,0,0,0,1,0,5,1
86,Gastón Álvarez,URU,DF,Getafe,La Liga,22,2000,16.7,732,42,218,376,144,8,732,19,8,42.11,9,47.37,254,933,437,11,8,0,13,3,318,27
87,Julián Álvarez,ARG,"FW,MF",Manchester City,Premier League,22,2000,16.3,654,8,46,255,360,89,653,38,21,55.26,14,36.84,406,2187,908,38,18,17,28,24,506,99
88,Agustín Álvarez Martínez,URU,"FW,MF",Sassuolo,Serie A,21,2001,4.1,155,4,12,76,71,16,155,17,7,41.18,8,47.06,80,294,95,2,1,2,16,12,96,19
89,Yeray Álvarez,ESP,DF,Athletic Club,La Liga,27,1995,25.9,1651,161,698,896,74,16,1651,11,6,54.55,1,9.09,898,6084,4073,32,17,1,8,1,915,8
90,Ibrahim Amadou,FRA,"DF,MF",Angers,Ligue 1,29,1993,4.7,244,54,147,89,9,2,244,2,1,50,1,50,167,851,394,0,3,0,2,3,143,5
91,Selim Amallah,MAR,"MF,FW",Valladolid,La Liga,25,1996,3,138,2,21,77,44,11,138,25,11,44,12,48,80,507,254,11,7,3,6,10,84,9
92,Daniel Amartey,GHA,DF,Leicester City,Premier League,27,1994,17.9,1279,185,658,578,46,9,1279,5,2,40,2,40,779,3720,2275,23,11,0,8,4,909,5
93,Amath,SEN,"MF,FW",Mallorca,La Liga,26,1996,13.6,464,12,70,171,229,40,464,34,14,41.18,15,44.12,261,1666,840,33,23,12,41,22,283,69
94,Jordan Amavi,FRA,DF,Getafe,La Liga,28,1994,2.2,119,8,33,65,23,1,119,1,0,0,1,100,42,255,121,4,5,1,2,0,44,5
95,Lukáš Ambros,CZE,MF,Wolfsburg,Bundesliga,18,2004,0.2,9,1,3,5,1,0,9,1,0,0,1,100,4,28,7,0,0,0,0,0,4,0
96,Kelvin Amian,FRA,DF,Spezia,Serie A,24,1998,26.4,1395,110,506,512,383,47,1395,30,16,53.33,11,36.67,623,3822,2090,53,31,3,25,18,720,72
97,Bruno Amione,ARG,DF,"Hellas Verona,Sampdoria","Serie A,Serie A",20,2002,23.8,1283,148,732,483,83,24,1283,10,2,20,6,60,670,2827,1173,11,16,0,20,1,695,9
99,Nadiem Amiri,GER,"MF,FW",Leverkusen,Bundesliga,25,1996,10.9,624,16,119,339,174,15,623,38,18,47.37,14,36.84,352,2134,1069,30,26,7,14,10,430,30
100,Samuel Amo-Ameyaw,ENG,MF,Southampton,Premier League,16,2006,0,8,0,1,5,3,0,8,4,3,75,1,25,4,70,64,2,0,0,0,0,5,0
101,Ethan Ampadu,WAL,"DF,MF",Spezia,Serie A,21,2000,29.3,1889,229,930,841,140,19,1889,12,9,75,1,8.33,1007,5907,3014,28,21,0,18,7,1090,10
102,Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,25,1996,22.2,1641,45,298,1106,256,6,1641,17,12,70.59,4,23.53,1054,6108,2876,36,28,1,20,16,1196,24
103,Ayoub Amraoui,MAR,"DF,FW",Nice,Ligue 1,18,2004,3.3,210,10,69,93,50,1,210,4,2,50,1,25,165,761,396,6,5,0,3,1,156,18
104,Joachim Andersen,DEN,DF,Crystal Palace,Premier League,26,1996,30.9,2303,355,1232,996,89,39,2303,9,5,55.56,4,44.44,1318,6889,3787,16,8,2,8,3,1498,7
105,Elliot Anderson,SCO,"MF,FW",Newcastle Utd,Premier League,19,2002,4.6,286,7,44,99,151,39,286,29,10,34.48,13,44.83,160,970,522,23,15,12,9,10,182,35
106,Felipe Anderson,BRA,FW,Lazio,Serie A,29,1993,32.9,1832,32,236,830,790,129,1832,105,54,51.43,42,40,967,5271,2369,83,62,31,85,44,1367,224
107,Benjamin André,FRA,MF,Lille,Ligue 1,31,1990,32.4,2743,120,626,1774,363,35,2743,36,19,52.78,14,38.89,2057,10561,4605,41,47,0,38,34,1892,46
108,Marcos André,BRA,"FW,MF",Valencia,La Liga,25,1996,5,125,1,8,50,69,23,125,17,9,52.94,4,23.53,78,353,124,2,3,0,21,5,94,20
109,Komnen Andrić,SRB,FW,Clermont Foot,Ligue 1,27,1995,16.1,597,14,44,346,210,52,595,15,6,40,7,46.67,431,2150,477,8,13,4,47,31,480,88
110,Robert Andrich,GER,MF,Leverkusen,Bundesliga,27,1994,26.7,1724,113,540,1021,171,19,1724,7,5,71.43,1,14.29,743,3500,1660,12,18,1,20,4,1073,8
111,Angeliño,ESP,DF,Hoffenheim,Bundesliga,25,1997,29.1,1798,78,506,771,533,32,1798,28,13,46.43,11,39.29,818,3134,1459,24,26,4,27,15,966,120
112,Fabrizio Angileri,ARG,DF,Getafe,La Liga,28,1994,6.5,324,17,88,157,80,3,324,11,4,36.36,6,54.55,123,554,220,4,7,0,4,4,145,14
113,Jaidon Anthony,ENG,"MF,FW",Bournemouth,Premier League,22,1999,14,717,23,150,271,304,33,717,47,15,31.91,30,63.83,423,2449,1032,31,25,13,25,27,464,72
114,Janis Antiste,FRA,FW,Sassuolo,Serie A,19,2002,0.6,23,0,7,9,7,1,23,1,0,0,1,100,14,49,9,0,0,0,1,0,16,2
