Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Live,TOAtt,TOSucc,TOSuccp,TOTkld,TOTkldp,Carries,CaTotDist,CaPrgDist,CaPrgC,CaFTC,CaCPA,CaMis,CaDis,Rec,PrgR
751,Axel Disasi,FRA,DF,Monaco,Ligue 1,24,1998,37,2293,234,832,1326,161,51,2292,29,21,72.41,8,27.59,1662,11330,6779,64,45,5,18,17,1484,17
752,Tiago Djaló,POR,DF,Lille,Ligue 1,22,2000,22.4,1780,173,763,976,57,18,1780,14,5,35.71,6,42.86,1409,7349,3933,9,15,1,5,8,1272,4
753,Djené,TOG,DF,Getafe,La Liga,30,1991,31.6,1418,117,599,716,120,11,1418,28,18,64.29,3,10.71,754,3584,1725,11,17,0,22,15,745,20
754,Moussa Djenepo,MLI,"DF,FW",Southampton,Premier League,24,1998,7.9,358,16,103,158,102,16,358,42,19,45.24,17,40.48,197,1423,726,27,11,6,15,7,182,39
755,Koffi Djidji,CIV,DF,Torino,Serie A,29,1992,26.9,1678,129,754,844,90,8,1678,5,4,80,1,20,919,3316,1486,11,10,0,7,6,1123,13
756,Alexander Djiku,GHA,DF,Strasbourg,Ligue 1,27,1994,29.7,1873,241,878,932,74,26,1873,6,4,66.67,2,33.33,1173,6156,2955,4,9,1,8,7,1035,4
757,Berat Djimsiti,ALB,DF,Atalanta,Serie A,29,1993,20,1294,140,647,587,64,15,1294,7,4,57.14,2,28.57,700,3099,1396,7,7,1,10,5,817,9
758,Moussa Djitte,SEN,FW,Ajaccio,Ligue 1,22,1999,1.5,50,1,5,25,21,2,50,4,0,0,2,50,36,206,38,0,0,0,8,2,38,12
759,Ouparine Djoco,GNB,GK,Clermont Foot,Ligue 1,24,1998,1,41,26,39,2,0,0,41,0,0,#DIV/0!,0,#DIV/0!,27,159,114,0,0,0,0,0,22,0
760,Marko Dmitrović,SRB,GK,Sevilla,La Liga,30,1992,14.1,540,455,539,1,0,0,540,0,0,#DIV/0!,0,#DIV/0!,268,1454,792,0,1,0,1,0,209,0
761,Alan Do Marcolino,GAB,FW,Rennes,Ligue 1,20,2002,0.2,3,1,1,2,0,0,3,0,0,#DIV/0!,0,#DIV/0!,4,15,2,0,0,0,0,1,4,0
762,Ben Doak,SCO,FW,Liverpool,Premier League,16,2005,0.3,22,0,4,10,10,2,22,4,0,0,4,100,16,182,51,1,3,2,1,0,15,4
763,Ritsu Doan,JPN,"MF,FW",Freiburg,Bundesliga,24,1998,26.9,1038,18,125,430,508,103,1038,129,50,38.76,62,48.06,636,4016,1993,83,50,35,75,52,690,167
764,Dodô,BRA,DF,Fiorentina,Serie A,23,1998,25.9,1719,52,464,813,462,24,1719,62,34,54.84,21,33.87,1028,6650,3625,72,58,7,35,15,1083,104
765,Danilho Doekhi,NED,DF,Union Berlin,Bundesliga,24,1998,24.6,1209,116,563,553,99,27,1209,7,3,42.86,1,14.29,640,2993,1470,15,9,1,8,3,703,21
766,Matt Doherty,IRL,"DF,MF","Tottenham,Atlético Madrid","Premier League,La Liga",30,1992,7.6,511,27,150,187,174,24,511,12,5,41.67,4,33.33,253,968,448,16,5,2,12,3,312,58
768,Josh Doig,SCO,DF,Hellas Verona,Serie A,20,2002,15,705,27,191,276,256,27,705,54,23,42.59,22,40.74,336,2325,1064,41,24,5,33,16,360,61
769,Jeremy Doku,BEL,"MF,FW",Rennes,Ligue 1,20,2002,14.3,744,5,71,292,419,89,744,159,96,60.38,49,30.82,643,5774,3010,101,70,47,44,24,576,156
770,Kasper Dolberg,DEN,FW,"Sevilla,Hoffenheim","La Liga,Bundesliga",24,1997,6.7,194,15,30,79,88,21,194,11,4,36.36,4,36.36,110,646,233,6,9,2,27,8,127,29
772,Carlos Dominguez,ESP,DF,Celta Vigo,La Liga,21,2001,1.2,46,11,32,15,1,0,46,1,1,100,0,0,20,91,30,0,0,0,0,1,18,0
773,Nicolás Domínguez,ARG,MF,Bologna,Serie A,24,1998,25.6,1703,47,308,991,419,37,1703,37,23,62.16,12,32.43,908,3910,1802,39,41,5,50,21,1170,84
774,John Donald,ESP,"MF,DF",Elche,La Liga,21,2000,12.1,542,49,236,273,33,7,542,7,5,71.43,2,28.57,313,1467,609,3,2,0,14,3,318,2
775,Giulio Donati,ITA,DF,Monza,Serie A,32,1990,4.7,349,26,151,159,44,1,349,3,1,33.33,2,66.67,219,1022,462,4,6,0,3,1,259,8
776,Kyliane Dong,FRA,"MF,FW",Troyes,Ligue 1,17,2004,2.4,77,0,7,32,41,8,77,11,5,45.45,4,36.36,61,541,280,12,8,4,9,4,60,18
777,Jordan Dongmo,CMR,MF,Troyes,Ligue 1,21,2001,0.2,13,0,0,9,4,0,13,1,0,0,1,100,11,37,7,0,0,0,1,1,11,0
778,Gianluigi Donnarumma,ITA,GK,Paris S-G,Ligue 1,23,1999,37.9,1021,909,1016,6,0,0,1021,1,1,100,0,0,695,3076,1895,0,0,0,0,0,447,0
779,Niklas Dorsch,GER,MF,Augsburg,Bundesliga,24,1998,5.4,237,24,95,121,27,0,237,8,5,62.5,3,37.5,99,526,223,2,1,0,1,5,100,0
780,Gabriel Dos Santos,BRA,DF,Arsenal,Premier League,24,1997,37.9,2776,307,1153,1419,215,53,2776,3,2,66.67,0,0,1746,8780,5471,18,43,3,19,4,1934,16
781,Jodel Dossou,BEN,"MF,DF",Clermont Foot,Ligue 1,30,1992,2.9,101,1,13,40,51,9,101,21,8,38.1,10,47.62,67,446,214,8,4,2,8,5,64,23
782,Lohann Doucet,FRA,"MF,FW",Nantes,Ligue 1,19,2002,1,92,5,20,59,14,1,92,2,1,50,1,50,63,355,201,2,3,0,0,0,54,1
783,Abdoulaye Doucouré,MLI,MF,Everton,Premier League,29,1993,17,713,18,156,327,242,45,713,33,20,60.61,11,33.33,371,1689,896,23,16,7,27,13,440,66
784,Cheick Doucouré,MLI,MF,Crystal Palace,Premier League,22,2000,30.8,1577,94,444,894,255,15,1577,21,15,71.43,6,28.57,761,3761,1761,18,25,1,28,20,884,17
785,Ckene Doucouré,COM,"FW,MF",Lorient,Ligue 1,20,2002,1.5,86,0,8,35,44,12,86,15,7,46.67,6,40,65,511,194,5,2,1,14,6,71,20
786,Désiré Doué,FRA,"MF,FW",Rennes,Ligue 1,17,2005,12.4,651,10,61,351,254,34,651,79,48,60.76,23,29.11,502,3396,1508,39,33,9,33,32,463,83
787,Guela Doué,FRA,"FW,MF",Rennes,Ligue 1,19,2002,0.1,11,0,2,6,3,0,11,0,0,#DIV/0!,0,#DIV/0!,8,36,9,0,0,0,0,0,8,0
788,Ismaël Doukouré,FRA,"DF,MF",Strasbourg,Ligue 1,19,2003,25.5,1340,85,467,784,108,3,1340,45,29,64.44,12,26.67,953,5737,2683,27,25,2,21,20,830,20
789,Kamory Doumbia,MLI,MF,Reims,Ligue 1,19,2003,12.8,708,14,93,368,254,37,707,36,18,50,16,44.44,536,3098,1318,29,21,3,34,20,486,82
790,Souleyman Doumbia,CIV,"DF,FW",Angers,Ligue 1,25,1996,19.9,1183,52,341,586,276,20,1183,77,27,35.06,38,49.35,786,5076,2556,52,43,11,28,10,703,95
791,Flynn Downes,ENG,MF,West Ham,Premier League,23,1999,8.5,405,14,74,265,68,5,405,2,1,50,0,0,224,1041,364,3,5,1,11,6,276,11
792,Kami Doyle,ENG,MF,Southampton,Premier League,16,2005,0.1,6,0,2,3,1,0,6,1,0,0,1,100,4,12,1,0,0,0,0,1,7,0
793,Bartłomiej Drągowski,POL,GK,Spezia,Serie A,24,1997,32.7,1265,1027,1258,7,0,0,1265,0,0,#DIV/0!,0,#DIV/0!,757,4042,2471,0,0,0,0,0,646,0
794,Cody Drameh,ENG,DF,Leeds United,Premier League,20,2001,0.8,44,1,7,26,11,0,44,1,1,100,0,0,17,48,10,0,1,0,1,1,23,3
795,Dion Drena Beljo,CRO,FW,Augsburg,Bundesliga,20,2002,12.5,371,18,45,190,140,29,371,15,7,46.67,6,40,184,951,291,14,7,4,33,23,275,42
796,Dominick Drexler,GER,"MF,FW",Schalke 04,Bundesliga,32,1990,15.2,628,20,113,304,223,41,628,21,10,47.62,9,42.86,324,1557,696,17,17,2,22,18,374,69
797,Domingos Duarte,POR,DF,Getafe,La Liga,27,1995,29.5,1246,178,677,538,35,22,1246,6,5,83.33,1,16.67,583,2704,1231,6,2,0,6,3,621,0
798,Martin Dúbravka,SVK,GK,Newcastle Utd,Premier League,33,1989,1.7,59,55,59,0,0,0,59,0,0,#DIV/0!,0,#DIV/0!,38,190,103,0,0,0,0,0,23,0
799,Marvin Ducksch,GER,FW,Werder Bremen,Bundesliga,28,1994,31.7,1251,50,116,463,676,149,1250,38,15,39.47,20,52.63,576,2035,851,31,15,24,63,16,762,215
800,Ondrej Duda,SVK,MF,"Hellas Verona,Köln","Serie A,Bundesliga",27,1994,19.5,933,25,123,568,251,25,933,55,29,52.73,19,34.55,531,3007,1151,27,23,3,30,30,543,55
802,Shane Duffy,IRL,"DF,FW",Fulham,Premier League,30,1992,0.2,22,3,13,9,1,1,22,1,1,100,0,0,9,41,18,0,0,0,1,0,12,0
803,Rémy Dugimont,FRA,"FW,MF",Auxerre,Ligue 1,36,1986,1.3,82,5,14,27,42,4,82,1,0,0,1,100,60,333,130,2,2,0,2,1,60,12
804,Denzel Dumfries,NED,DF,Inter,Serie A,26,1996,24.6,1263,42,266,551,467,99,1263,52,18,34.62,23,44.23,674,3940,1928,62,32,23,39,20,785,172
805,Alfred Duncan,GHA,MF,Fiorentina,Serie A,29,1993,12.3,634,10,92,371,179,9,634,23,12,52.17,8,34.78,348,1705,786,18,16,4,17,14,434,30
806,Lewis Dunk,ENG,DF,Brighton,Premier League,30,1991,36,3461,428,1665,1712,97,34,3461,5,4,80,0,0,2294,11410,6327,19,21,0,13,5,2586,5
807,Maxime Dupé,FRA,GK,Toulouse,Ligue 1,29,1993,38,1372,1064,1364,7,1,1,1372,2,2,100,0,0,941,5150,3364,0,0,0,2,0,686,0
808,Jhon Durán,COL,"FW,MF",Aston Villa,Premier League,18,2003,1.5,57,3,3,26,29,6,57,2,1,50,1,50,33,205,123,4,5,1,8,3,41,13
809,Pablo Durán,ESP,"MF,DF",Celta Vigo,La Liga,21,2001,0.4,29,3,8,10,11,0,29,3,1,33.33,2,66.67,14,54,5,0,0,0,0,0,16,3
810,Julien Duranville,BEL,MF,Dortmund,Bundesliga,16,2006,0.3,20,0,2,3,15,0,20,3,3,100,0,0,16,231,76,4,0,0,1,0,17,4
811,Hugo Duro,ESP,FW,Valencia,La Liga,22,1999,15.4,431,11,29,187,217,73,430,13,2,15.38,8,61.54,229,704,357,9,6,6,31,19,319,67
812,Jean-Kevin Duverne,HAI,DF,Brest,Ligue 1,25,1997,27.9,1775,96,486,887,434,18,1775,65,26,40,30,46.15,1099,7192,3960,80,71,10,39,20,979,134
813,Paulo Dybala,ARG,"MF,FW",Roma,Serie A,28,1993,19.3,1089,2,85,542,478,78,1084,64,27,42.19,27,42.19,689,4141,1816,56,43,20,62,32,785,109
814,Edin Džeko,BIH,FW,Inter,Serie A,36,1986,19.2,749,30,67,351,341,113,749,26,8,30.77,14,53.85,400,2047,726,32,12,15,48,16,587,150
815,Malcolm Ebiowei,ENG,"MF,FW",Crystal Palace,Premier League,18,2003,0.4,21,0,1,8,12,2,21,5,2,40,3,60,14,107,30,2,1,0,5,0,15,9
816,Festy Ebosele,IRL,DF,Udinese,Serie A,19,2002,4.6,233,16,64,82,97,13,233,36,19,52.78,13,36.11,129,1242,644,27,18,6,17,9,125,22
817,Enzo Ebosse,CMR,DF,Udinese,Serie A,23,1999,10.3,667,51,292,306,72,0,667,7,4,57.14,1,14.29,338,1593,868,11,7,1,8,3,383,20
818,Tyronne Ebuehi,NGA,DF,Empoli,Serie A,26,1995,21.4,1089,105,452,437,210,28,1089,26,11,42.31,9,34.62,558,2977,1483,31,21,5,16,14,604,42
819,Ederson,BRA,GK,Manchester City,Premier League,28,1993,35,1302,1049,1295,9,0,0,1302,0,0,#DIV/0!,0,#DIV/0!,869,4059,2429,0,0,0,0,0,833,0
820,Éderson,BRA,MF,Atalanta,Serie A,23,1999,24.6,1455,50,339,778,355,46,1455,66,37,56.06,24,36.36,842,4133,2027,37,35,11,48,30,964,62
821,Odsonne Édouard,FRA,FW,Crystal Palace,Premier League,24,1998,20,672,25,68,317,293,95,672,46,16,34.78,28,60.87,354,1637,633,29,21,21,60,51,479,100
822,Samuel Edozie,ENG,"FW,MF",Southampton,Premier League,19,2003,6.3,278,4,48,86,148,32,278,37,12,32.43,16,43.24,183,1551,741,26,21,13,24,12,188,39
823,Maximilian Eggestein,GER,MF,Freiburg,Bundesliga,25,1996,27.2,1098,38,235,598,276,34,1098,16,9,56.25,5,31.25,494,2396,990,20,23,2,21,23,581,46
824,Lilian Egloff,GER,"MF,FW",Stuttgart,Bundesliga,19,2002,2.7,113,1,15,40,58,14,113,5,3,60,1,20,62,325,131,8,3,3,10,5,68,22
825,Íñigo Eguaras,ESP,MF,Almería,La Liga,30,1992,10.7,614,26,174,369,75,3,614,5,4,80,1,20,354,1476,706,8,8,0,7,4,433,7
826,Kingsley Ehizibue,NED,DF,"Udinese,Köln","Serie A,Bundesliga",27,1995,17.8,812,52,279,296,243,31,812,44,14,31.82,20,45.45,415,2389,1051,30,18,7,22,11,425,72
828,Julian Eitschberger,GER,FW,Hertha BSC,Bundesliga,18,2004,0,2,0,1,0,1,0,2,0,0,#DIV/0!,0,#DIV/0!,0,0,0,0,0,0,0,0,0,0
829,Chidera Ejuke,NGA,"FW,MF",Hertha BSC,Bundesliga,24,1998,9.9,434,2,34,226,196,32,434,97,47,48.45,40,41.24,303,2533,1113,38,21,18,32,20,308,67
830,Albin Ekdal,SWE,MF,Spezia,Serie A,33,1989,19.3,999,49,256,551,208,34,999,19,12,63.16,5,26.32,496,2381,929,15,24,2,32,17,566,35
831,Hugo Ekitike,FRA,FW,Paris S-G,Ligue 1,20,2002,12.8,473,5,32,202,250,63,473,39,16,41.03,18,46.15,353,2225,764,23,19,7,28,18,337,84
832,Emmanuel Ekong,SWE,"FW,MF",Empoli,Serie A,20,2002,0.2,6,0,1,4,2,0,6,1,0,0,1,100,3,56,43,1,1,0,0,0,3,1
833,Anthony Elanga,SWE,FW,Manchester Utd,Premier League,20,2002,4.7,197,4,26,71,100,28,197,15,5,33.33,7,46.67,109,656,276,12,3,7,13,7,139,28
834,Alberth Elis,HON,"MF,FW",Brest,Ligue 1,26,1996,2.9,81,5,18,32,37,6,81,11,2,18.18,7,63.64,60,603,275,8,9,3,4,5,49,19
835,Mikael Ellertsson,ISL,"MF,DF",Spezia,Serie A,20,2002,1.9,60,3,11,31,19,0,60,3,1,33.33,1,33.33,21,209,80,3,2,0,2,2,25,4
836,Harvey Elliott,ENG,"MF,FW",Liverpool,Premier League,19,2003,17.9,1194,14,147,566,491,50,1194,42,19,45.24,15,35.71,759,3981,1943,54,40,10,26,23,867,129
837,Elif Elmas,MKD,"FW,MF",Napoli,Serie A,22,1999,18.1,1196,10,130,582,498,47,1195,52,23,44.23,22,42.31,753,3972,1995,42,41,13,33,22,961,103
838,Mohamed Elneny,EGY,MF,Arsenal,Premier League,30,1992,1.3,63,2,11,42,11,0,63,0,0,#DIV/0!,0,#DIV/0!,38,134,37,1,0,0,0,0,49,1
839,Aritz Elustondo,ESP,DF,Real Sociedad,La Liga,28,1994,16.1,952,68,360,488,107,14,952,8,5,62.5,3,37.5,470,2264,1160,21,12,1,13,7,547,19
840,Nico Elvedi,SUI,DF,M'Gladbach,Bundesliga,25,1996,31.4,2492,366,1398,1042,61,27,2492,3,1,33.33,2,66.67,1517,7687,4018,20,19,1,8,3,1748,5
841,Rodrigo Ely,BRA,DF,Almería,La Liga,28,1993,35.1,1857,376,1164,646,54,30,1857,7,5,71.43,1,14.29,964,3809,1958,6,8,1,16,2,1084,4
842,Mohamed Elyounoussi,NOR,"MF,FW",Southampton,Premier League,27,1994,24.1,952,60,204,399,362,54,952,47,24,51.06,20,42.55,484,3141,1463,56,41,12,38,38,533,98
843,Adri Embarba,ESP,"FW,MF","Almería,Espanyol","La Liga,La Liga",30,1992,16.8,880,16,127,332,441,43,879,121,50,41.32,57,47.11,515,3934,1867,63,48,14,51,31,523,117
845,Breel Embolo,SUI,FW,Monaco,Ligue 1,25,1997,20.7,708,20,42,299,378,100,707,73,32,43.84,35,47.95,522,2799,906,24,27,13,66,46,553,159
846,Emerson,BRA,DF,Tottenham,Premier League,23,1999,19.3,1323,101,481,505,346,46,1323,31,15,48.39,9,29.03,672,3662,2047,47,32,6,22,19,775,103
847,Youssef En-Nesyri,MAR,FW,Sevilla,La Liga,25,1997,18.5,439,19,44,186,211,103,439,23,4,17.39,16,69.57,190,927,369,16,5,14,46,9,286,71
848,Wataru Endo,JPN,MF,Stuttgart,Bundesliga,29,1993,32.5,1873,108,507,1013,380,55,1873,55,28,50.91,20,36.36,994,4470,2190,32,38,5,55,52,1217,67
849,Arne Engels,BEL,MF,Augsburg,Bundesliga,18,2003,16,739,21,158,380,205,5,739,9,4,44.44,4,44.44,322,1403,762,9,7,0,7,8,399,25
850,Christian Eriksen,DEN,MF,Manchester Utd,Premier League,30,1992,22.8,1644,43,269,914,465,35,1644,17,8,47.06,9,52.94,967,3499,1756,23,24,3,24,19,1220,66
851,Martin Erlic,CRO,DF,Sassuolo,Serie A,24,1998,25.9,1562,199,855,693,21,10,1562,2,1,50,1,50,912,4147,2132,7,2,1,13,1,964,1
852,Tjark Ernst,GER,GK,Hertha BSC,Bundesliga,19,2003,1,42,38,42,0,0,0,42,0,0,#DIV/0!,0,#DIV/0!,16,66,54,0,0,0,1,0,11,0
853,Gonzalo Escalante,ARG,MF,"Cremonese,Cádiz","Serie A,La Liga",29,1993,18.7,937,61,264,515,171,31,937,15,8,53.33,5,33.33,425,1745,864,6,11,0,21,15,515,20
855,Sergio Escudero,ESP,DF,Valladolid,La Liga,32,1989,16,937,61,320,371,255,16,937,17,7,41.18,9,52.94,363,1672,814,17,16,3,13,8,435,37
856,Alfonso Espino,URU,DF,Cádiz,La Liga,30,1992,34.7,1994,126,672,871,480,33,1994,52,25,48.08,23,44.23,820,3796,2147,53,34,7,52,23,860,129
857,Bernardo Espinosa,COL,DF,Girona,La Liga,33,1989,13.6,1047,164,530,496,29,17,1047,4,3,75,1,25,636,3354,1885,8,3,1,4,4,720,3
858,Salvatore Esposito,ITA,MF,Spezia,Serie A,21,2000,10.8,737,21,175,409,156,7,737,14,6,42.86,4,28.57,354,1296,584,4,3,1,10,4,466,11
859,Maxime Estève,FRA,DF,Montpellier,Ligue 1,20,2002,18.3,944,146,515,408,27,12,944,6,4,66.67,2,33.33,607,3154,1667,9,4,0,4,4,522,1
860,Pervis Estupiñán,ECU,DF,Brighton,Premier League,24,1998,29.7,2211,82,506,1076,649,71,2211,42,19,45.24,18,42.86,1292,6134,3440,91,55,15,38,29,1434,183
861,Jonny Evans,NIR,DF,Leicester City,Premier League,34,1988,11.7,906,137,474,424,9,2,906,0,0,#DIV/0!,0,#DIV/0!,529,2218,1206,6,4,0,5,0,629,0
862,Edu Expósito,ESP,MF,Espanyol,La Liga,25,1996,12.9,689,28,124,329,242,20,689,23,11,47.83,7,30.43,358,1755,901,19,15,2,25,13,428,59
863,Eberechi Eze,ENG,"MF,FW",Crystal Palace,Premier League,24,1998,29.3,1515,20,212,735,602,84,1514,122,71,58.2,41,33.61,889,5017,2398,69,57,28,71,54,999,129
864,Kimberly Ezekwem,GER,DF,Freiburg,Bundesliga,21,2001,0.1,9,1,3,6,0,0,9,0,0,#DIV/0!,0,#DIV/0!,5,51,17,0,0,0,0,0,4,2
865,Nicolás Ezequiel Fernández,ARG,"MF,DF",Elche,La Liga,22,2000,5.7,314,7,61,123,134,13,314,12,3,25,7,58.33,195,1221,690,21,10,4,10,11,195,53
866,Abdessamad Ezzalzouli,MAR,"FW,MF",Osasuna,La Liga,20,2001,16.7,813,4,73,287,473,66,813,117,59,50.43,42,35.9,555,4651,2531,93,60,45,64,38,606,136
867,Łukasz Fabiański,POL,GK,West Ham,Premier League,37,1985,34.6,1005,871,1000,5,0,0,1005,0,0,#DIV/0!,0,#DIV/0!,506,3330,2146,0,0,0,3,0,350,0
868,Fabinho,BRA,MF,Liverpool,Premier League,28,1993,29.7,2092,83,456,1314,325,21,2092,15,7,46.67,4,26.67,1184,4669,1913,15,28,1,17,12,1493,39
869,Fábio,BRA,"DF,MF",Nantes,Ligue 1,32,1990,2.5,149,10,32,64,53,4,149,4,1,25,3,75,87,409,191,4,6,0,4,1,80,18
870,Noah Fadiga,SEN,DF,Brest,Ligue 1,22,1999,14.5,790,39,218,403,175,19,790,40,18,45,21,52.5,488,3212,1755,43,30,8,23,6,423,36
871,Wout Faes,BEL,DF,"Leicester City,Reims","Premier League,Ligue 1",24,1998,34,2327,395,1315,980,46,20,2327,14,10,71.43,4,28.57,1353,6878,3816,12,7,0,16,6,1512,3
873,Nicolò Fagioli,ITA,MF,Juventus,Serie A,21,2001,16.9,749,17,124,411,221,15,749,19,8,42.11,8,42.11,471,2225,921,27,19,5,33,28,536,56
874,Ralf Fährmann,GER,GK,Schalke 04,Bundesliga,33,1988,11.4,485,397,476,10,0,0,485,0,0,#DIV/0!,0,#DIV/0!,270,1391,899,0,0,0,0,0,221,0
875,Romain Faivre,FRA,"MF,FW","Lorient,Lyon","Ligue 1,Ligue 1",24,1998,17.1,904,6,86,454,384,49,904,108,51,47.22,43,39.81,717,5721,2853,91,68,18,34,12,673,82
877,Radamel Falcao,COL,"FW,MF",Rayo Vallecano,La Liga,36,1986,6.8,271,12,21,106,146,38,270,16,2,12.5,13,81.25,150,549,122,2,5,2,29,9,204,53
878,Wladimiro Falcone,ITA,GK,Lecce,Serie A,27,1995,38,1272,1056,1267,5,0,0,1272,0,0,#DIV/0!,0,#DIV/0!,660,4252,2301,0,0,0,1,0,432,0
879,Fali,ESP,"DF,MF",Cádiz,La Liga,28,1993,19,766,109,380,351,39,15,766,5,2,40,2,40,392,2170,1337,9,3,0,8,1,408,10
880,Fallou Fall,SEN,DF,Reims,Ligue 1,18,2004,0.4,20,6,18,2,0,0,20,0,0,#DIV/0!,0,#DIV/0!,12,126,19,0,1,0,0,0,11,0
881,Mamadou Fall,SEN,DF,Villarreal,La Liga,19,2002,0.3,22,2,8,10,4,0,22,1,0,0,1,100,10,39,16,0,0,0,1,0,8,0
882,Davide Faraoni,ITA,DF,Hellas Verona,Serie A,30,1991,16.5,770,55,226,335,213,27,770,16,7,43.75,9,56.25,322,1217,549,11,9,2,12,4,341,33
883,Ansu Fati,ESP,FW,Barcelona,La Liga,19,2002,15.5,805,10,64,278,469,128,805,47,23,48.94,21,44.68,556,2983,1399,47,28,31,35,30,639,178
884,Khalil Fayad,FRA,MF,Montpellier,Ligue 1,18,2004,8,438,11,99,274,73,5,438,16,8,50,4,25,318,1724,659,9,12,1,15,7,278,11
885,Cheikh Faye,SEN,FW,Montpellier,Ligue 1,23,1999,0.4,15,0,1,9,5,1,15,1,0,0,1,100,10,55,5,0,0,0,2,3,12,3
886,Federico Fazio,ARG,DF,Salernitana,Serie A,35,1987,11.9,679,84,318,309,58,17,679,8,4,50,4,50,347,1507,877,13,11,1,11,5,358,4
887,Jacopo Fazzini,ITA,MF,Empoli,Serie A,19,2003,9.2,476,20,135,216,132,15,476,31,13,41.94,15,48.39,255,1355,552,11,14,0,23,24,292,40
888,Zouhair Feddal,MAR,DF,Valladolid,La Liga,33,1989,4.2,249,48,162,85,3,2,249,0,0,#DIV/0!,0,#DIV/0!,124,595,278,0,0,0,0,1,147,0
889,Nabil Fekir,FRA,MF,Betis,La Liga,29,1993,10.7,607,2,37,254,321,43,606,44,17,38.64,19,43.18,406,2332,1072,42,27,13,34,22,489,76
890,Felipe,BRA,DF,"Nott'ham Forest,Atlético Madrid","Premier League,La Liga",33,1989,18,947,172,533,365,64,38,947,20,15,75,4,20,493,2718,1514,5,3,0,12,4,484,5
892,Luiz Felipe,ITA,DF,Betis,La Liga,25,1997,19.6,1129,182,600,507,23,7,1129,9,5,55.56,4,44.44,586,2625,1212,1,1,0,9,0,664,0
893,João Félix,POR,"FW,MF","Chelsea,Atlético Madrid","Premier League,La Liga",22,1999,17.7,819,3,53,381,391,67,819,84,28,33.33,42,50,537,3169,1653,51,56,11,42,20,659,121
895,Ohis Felix Uduokhai,GER,DF,Augsburg,Bundesliga,24,1997,16.1,927,100,493,414,27,12,927,12,5,41.67,5,41.67,470,2443,1165,12,1,0,10,5,486,5
896,Kiko Femenía,ESP,DF,Villarreal,La Liga,31,1991,12.6,877,41,299,377,211,8,877,13,6,46.15,4,30.77,508,2763,1461,36,27,1,8,9,570,47
897,Evan Ferguson,IRL,FW,Brighton,Premier League,17,2004,10.6,344,10,27,165,155,39,344,14,8,57.14,5,35.71,203,884,309,11,4,8,29,20,256,58
898,Lewis Ferguson,SCO,"MF,FW",Bologna,Serie A,22,1999,25.7,1472,44,272,794,415,69,1472,25,9,36,12,48,830,3488,1460,31,37,7,33,16,1129,114
899,Bruno Fernandes,POR,"MF,FW",Manchester Utd,Premier League,27,1994,36.8,2408,68,386,966,1078,149,2406,66,32,48.48,28,42.42,1385,6213,3272,89,68,28,42,42,1689,231
900,Edimilson Fernandes,SUI,DF,Mainz 05,Bundesliga,26,1996,27.1,1485,158,671,666,166,6,1485,25,17,68,4,16,768,3634,1792,15,12,3,15,14,739,23
901,Aitor Fernández,ESP,GK,Osasuna,La Liga,31,1991,21,846,701,835,11,0,0,846,0,0,#DIV/0!,0,#DIV/0!,443,2217,1515,0,0,0,1,0,335,0
902,Álex Fernández,ESP,"MF,FW",Cádiz,La Liga,29,1992,17.5,850,38,174,482,198,25,849,11,5,45.45,4,36.36,482,2226,983,19,21,3,18,24,583,26
903,Álvaro Fernández,ESP,GK,Espanyol,La Liga,24,1998,11,382,296,375,7,0,0,382,0,0,#DIV/0!,0,#DIV/0!,174,1053,714,0,0,0,0,1,124,0
904,Carlos Fernández,ESP,FW,Real Sociedad,La Liga,26,1996,7,231,5,25,92,120,42,231,20,13,65,5,25,141,798,284,9,8,4,19,12,181,54
905,Enzo Fernández,ARG,MF,Chelsea,Premier League,21,2001,17.2,1616,45,351,1000,280,9,1616,32,17,53.13,13,40.63,1097,4757,2023,22,28,1,25,13,1257,18
906,Federico Fernández,ARG,DF,Elche,La Liga,33,1989,1,30,11,24,5,1,0,30,0,0,#DIV/0!,0,#DIV/0!,5,11,6,0,0,0,1,0,2,0
907,Joaquín Fernández,ESP,DF,Valladolid,La Liga,26,1996,24,1228,167,672,517,41,17,1228,2,1,50,1,50,672,3137,1642,6,7,1,9,1,759,3
908,Valery Fernández,ESP,"MF,DF",Girona,La Liga,22,1999,10.7,461,20,86,179,199,28,461,27,13,48.15,10,37.04,274,1617,637,18,7,9,18,10,305,84
909,Fernando,ESP,GK,"Almería,Sevilla","La Liga,La Liga",32,1990,54,2434,1353,1772,538,131,5,2434,6,4,66.67,1,16.67,1287,6237,3394,6,17,0,13,12,1192,13
911,Alex Ferrari,ITA,DF,"Sampdoria,Cremonese","Serie A,Serie A",28,1994,20.8,1164,105,577,533,66,6,1164,14,7,50,7,50,590,2808,1342,9,4,0,18,4,582,8
913,Salvador Ferrer,ESP,DF,Spezia,Serie A,24,1998,1.5,113,12,50,50,13,0,113,0,0,#DIV/0!,0,#DIV/0!,55,211,88,0,0,0,2,1,71,2
914,Jordan Ferri,FRA,MF,Montpellier,Ligue 1,30,1992,30.4,2237,59,542,1401,321,10,2237,55,20,36.36,22,40,1785,9143,4174,37,47,2,43,44,1610,42
