Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,SCAPL,SCAPD,SCATO,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPL,GCAPD,GCATO,GCASh,GCAFld,GCADef,Matches
1,Brenden Aaronson,USA,"MF,FW",Leeds United,Premier League,21,2000,26.4,95,3.6,57,17,7,5,8,1,7,0.27,3,1,0,1,1,1,0
2,Paxten Aaronson,USA,"MF,DF",Eint Frankfurt,Bundesliga,18,2003,1.9,8,4.21,4,1,0,2,1,0,2,1.05,1,0,0,1,0,0,0
3,James Abankwah,IRL,DF,Udinese,Serie A,18,2004,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,George Abbott,ENG,MF,Tottenham,Premier League,16,2005,0,0,#DIV/0!,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0
5,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,34,1987,37,43,1.16,34,0,2,5,0,2,7,0.19,4,0,2,1,0,0,0
6,Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,22,1999,23.7,69,2.91,59,4,3,1,0,2,3,0.13,3,0,0,0,0,0,0
7,Salis Abdul Samed,GHA,MF,Lens,Ligue 1,22,2000,32.2,50,1.55,43,0,2,2,2,1,1,0.03,1,0,0,0,0,0,0
8,Laurent Abergel,FRA,MF,Lorient,Ligue 1,29,1993,26,33,1.27,27,2,2,1,0,1,1,0.04,1,0,0,0,0,0,0
9,Oliver Abildgaard,DEN,MF,Hellas Verona,Serie A,26,1996,6.6,9,1.36,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,Matthis Abline,FRA,"FW,MF","Auxerre,Rennes","Ligue 1,Ligue 1",19,2003,10.2,22,2.16,10,0,5,3,3,1,5,0.49,1,0,1,0,2,1,0
12,Abner,BRA,DF,Betis,La Liga,22,2000,6.7,8,1.19,5,1,1,1,0,0,1,0.15,1,0,0,0,0,0,0
13,Zakaria Aboukhlal,MAR,"FW,MF",Toulouse,Ligue 1,22,2000,27.5,80,2.91,44,1,10,13,10,2,8,0.29,4,0,1,2,1,0,0
14,Tammy Abraham,ENG,FW,Roma,Serie A,24,1997,24.3,70,2.88,46,0,7,10,7,0,9,0.37,4,0,1,3,1,0,0
15,Christian Acella,ITA,MF,Cremonese,Serie A,20,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Francesco Acerbi,ITA,DF,Inter,Serie A,34,1988,26.9,37,1.38,34,1,0,2,0,0,1,0.04,1,0,0,0,0,0,0
17,Álvaro Aceves,ESP,GK,Valladolid,La Liga,19,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Mohamed Achi,FRA,FW,Nantes,Ligue 1,20,2002,0.4,1,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Marcos Acuña,ARG,DF,Sevilla,La Liga,30,1991,21.2,65,3.07,45,14,3,3,0,0,4,0.19,4,0,0,0,0,0,0
20,Che Adams,SCO,FW,Southampton,Premier League,26,1996,22.1,57,2.58,44,1,2,5,5,0,7,0.32,5,0,0,0,2,0,0
21,Tyler Adams,USA,MF,Leeds United,Premier League,23,1999,24,43,1.79,42,0,0,0,1,0,1,0.04,1,0,0,0,0,0,0
22,Sargis Adamyan,ARM,"FW,MF",Köln,Bundesliga,29,1993,7.2,22,3.06,16,0,0,6,0,0,3,0.42,1,0,0,2,0,0,0
23,Tosin Adarabioyo,ENG,DF,Fulham,Premier League,24,1997,23.2,18,0.78,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0
24,Martin Adeline,FRA,"MF,FW",Reims,Ligue 1,18,2003,1.2,2,1.67,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,20,2002,15.4,59,3.83,40,0,8,5,4,2,12,0.78,9,0,2,1,0,0,0
26,Amine Adli,MAR,"FW,MF",Leverkusen,Bundesliga,22,2000,15.9,56,3.52,36,3,4,4,8,1,11,0.69,6,0,3,0,2,0,0
27,Yacine Adli,FRA,"MF,FW",Milan,Serie A,22,2000,1.6,3,1.88,2,1,0,0,0,0,1,0.63,1,0,0,0,0,0,0
28,Michel Aebischer,SUI,"FW,MF",Bologna,Serie A,25,1997,17.1,35,2.05,25,3,2,2,2,1,3,0.18,1,0,0,1,1,0,0
29,Felix Afena-Gyan,GHA,"FW,MF",Cremonese,Serie A,19,2003,9.1,15,1.65,10,0,1,4,0,0,1,0.11,0,0,0,1,0,0,0
30,Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,25,1997,26.5,31,1.17,26,1,0,4,0,0,3,0.11,2,0,0,1,0,0,0
31,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,21,2000,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Lucien Agoume,FRA,MF,Troyes,Ligue 1,20,2002,12.2,27,2.21,23,3,0,1,0,0,1,0.08,1,0,0,0,0,0,0
33,Felix Agu,GER,"DF,FW",Werder Bremen,Bundesliga,22,1999,0.5,4,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Álvaro Aguado,ESP,MF,Valladolid,La Liga,26,1996,21,76,3.62,56,13,3,0,4,0,4,0.19,2,2,0,0,0,0,0
35,Kevin Agudelo,COL,"MF,FW",Spezia,Serie A,23,1998,23.7,59,2.49,41,1,9,4,4,0,3,0.13,2,0,0,0,1,0,0
36,Nayef Aguerd,MAR,DF,West Ham,Premier League,26,1996,17.7,14,0.79,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0
37,Ruben Aguilar,FRA,DF,Monaco,Ligue 1,29,1993,13,18,1.38,14,1,0,1,1,1,2,0.15,2,0,0,0,0,0,0
38,Naouirou Ahamada,FRA,"MF,FW","Crystal Palace,Stuttgart","Premier League,Bundesliga",20,2002,16.5,40,2.42,32,0,3,3,1,1,7,0.42,7,0,0,0,0,0,0
40,Amar Ahmed,SWE,FW,Troyes,Ligue 1,18,2004,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,28,1994,14.4,28,1.94,21,1,0,1,2,3,2,0.14,2,0,0,0,0,0,0
42,Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,26,1995,34.7,10,0.29,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0
43,Ola Aina,NGA,DF,Torino,Serie A,25,1996,9.7,27,2.78,21,2,3,0,1,0,3,0.31,2,0,1,0,0,0,0
44,Rayan Aït Nouri,ALG,DF,Wolves,Premier League,21,2001,12,23,1.92,14,2,4,1,2,0,0,0,0,0,0,0,0,0,0
45,Emanuel Aiwum,AUT,DF,Cremonese,Serie A,21,2000,18.4,11,0.6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Kristoffer Ajer,NOR,DF,Brentford,Premier League,24,1998,8.5,4,0.47,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Ludovic Ajorque,FRA,FW,"Strasbourg,Mainz 05","Ligue 1,Bundesliga",28,1994,22.1,56,2.53,46,0,0,7,3,0,5,0.23,3,0,0,2,0,0,0
49,Manuel Akanji,SUI,DF,Manchester City,Premier League,27,1995,25.4,23,0.91,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,Nathan Aké,NED,DF,Manchester City,Premier League,27,1995,20.8,24,1.15,20,1,0,2,0,1,2,0.1,2,0,0,0,0,0,0
51,Sergio Akieme,ESP,DF,Almería,La Liga,24,1997,25.5,36,1.41,29,1,1,3,0,2,3,0.12,2,0,1,0,0,0,0
52,Babatunde Akinsola,NGA,FW,Valladolid,La Liga,19,2003,0.1,1,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,Maghnes Akliouche,FRA,"MF,FW",Monaco,Ligue 1,20,2002,4.5,9,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Paul Akouokou,CIV,"MF,DF",Betis,La Liga,24,1997,5,2,0.4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
55,Jean-Daniel Akpa-Akpro,CIV,"MF,FW",Empoli,Serie A,29,1992,15.1,28,1.85,18,0,3,2,2,3,5,0.33,3,0,1,1,0,0,0
56,Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,27,1995,21.7,17,0.78,14,0,3,0,0,0,1,0.05,1,0,0,0,0,0,0
57,David Alaba,AUT,DF,Real Madrid,La Liga,30,1992,20.4,27,1.32,23,3,0,1,0,0,4,0.2,3,0,0,1,0,0,0
58,Ángel Alarcón,ESP,FW,Barcelona,La Liga,18,2004,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Tomás Alarcón,CHI,MF,Cádiz,La Liga,23,1999,2.5,4,1.6,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
60,Lucas Alario,ARG,"FW,MF",Eint Frankfurt,Bundesliga,29,1992,3.7,8,2.16,6,0,1,1,0,0,2,0.54,1,0,0,1,0,0,0
61,Jordi Alba,ESP,DF,Barcelona,La Liga,33,1989,15.8,59,3.73,52,5,1,1,0,0,6,0.38,5,1,0,0,0,0,0
62,Luis Alberto,ESP,MF,Lazio,Serie A,29,1992,27.1,115,4.24,80,30,0,4,0,1,15,0.55,13,2,0,0,0,0,0
63,Raúl Albiol,ESP,DF,Villarreal,La Liga,36,1985,23.5,12,0.51,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Marc Albrighton,ENG,"FW,MF",Leicester City,Premier League,32,1989,2.6,7,2.69,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
