,Player,Position,90s,TCmp,LFTP,LPrgP,LPPA,LxA,Def_3rd,Mid_3rd,Att_3rd,Live,TOSucc,CaPrgC,PrgR,CaFTC,CaCPA,Att_Pen,SSh,npxG,SDist,PTTB
53,Elif Elmas,attacking midfield,18.1,879,60,73,31,2.3,130,582,498,1195,23,42,103,41,13,47,32,4.0,1.7,3
54,Christian Eriksen,attacking midfield,22.8,1203,149,164,27,3.4,269,914,465,1644,8,23,66,24,3,35,39,5.0,-4.0,9
55,Eberechi Eze,attacking midfield,29.3,923,88,131,35,3.1,212,735,602,1514,71,69,129,57,28,84,70,7.3,2.5,11
56,Nabil Fekir,attacking midfield,10.7,378,34,41,14,2.4,37,254,321,606,17,42,76,27,13,43,24,2.4,-0.6,2
57,Bruno Fernandes,attacking midfield,36.8,1498,148,263,89,10.7,386,966,1078,2406,32,89,231,68,28,149,90,9.3,-1.7,35
58,Álex Fernández,attacking midfield,17.5,602,57,69,6,1.9,174,482,198,849,5,19,26,21,3,25,16,2.7,0.1,2
59,Pablo Fornals,attacking midfield,16.7,557,60,89,12,2.0,144,424,360,917,10,33,101,24,12,36,27,2.2,0.8,7
60,Philipp Förster,attacking midfield,14.5,394,51,63,16,2.9,80,351,271,694,6,19,47,18,3,23,17,1.4,1.6,2
61,Angelo Fulgini,attacking midfield,15.3,568,44,72,10,3.8,88,457,386,920,21,23,113,39,7,33,20,1.9,-0.8999999999999999,5
62,Angelo Fulgini,attacking midfield,15.3,568,44,72,10,3.8,88,457,386,920,21,23,113,39,7,33,20,1.9,-0.8999999999999999,1
63,Gianluca Gaetano,attacking midfield,0.8,48,3,4,0,0.1,3,39,38,79,2,4,9,2,2,8,7,1.1,-0.1,0
64,Borja García,attacking midfield,7.5,217,25,39,7,0.3,69,186,92,347,6,7,32,9,0,10,8,0.7,0.3,3
65,Denis Genreau,attacking midfield,7.3,243,24,27,6,0.6,106,208,126,435,8,9,34,14,2,16,7,0.6,-0.6,0
66,Ismaël Gharbi,attacking midfield,0.6,32,1,1,0,0.1,3,25,20,47,5,3,8,1,0,2,3,0.2,-0.2,0
67,Saman Ghoddos,attacking midfield,1.5,59,5,8,1,0.3,23,38,40,98,0,1,6,2,0,3,1,0.0,0.0,1
68,Morgan Gibbs-White,attacking midfield,35.0,734,80,143,41,6.4,187,679,729,1564,49,73,169,65,20,80,60,6.7,-2.1,0
69,Morgan Gibbs-White,attacking midfield,35.0,734,80,143,41,6.4,187,679,729,1564,49,73,169,65,20,80,60,6.7,-2.1,16
70,Aleksandr Golovin,attacking midfield,27.4,769,74,132,55,5.6,184,574,660,1382,27,89,210,61,28,85,49,5.3,2.7,8
71,Angel Gomes,attacking midfield,31.3,1517,159,166,38,3.4,315,1185,527,2014,30,39,115,57,10,49,55,4.6,-2.8,8
72,Papu Gómez,attacking midfield,11.8,450,46,82,25,2.0,69,313,264,637,15,34,67,36,6,27,22,1.4,-0.4,2
73,Mario Götze,attacking midfield,30.4,1130,90,149,44,6.7,214,920,704,1820,25,57,212,49,15,78,26,3.2,-0.2,12
74,Rafik Guitane,attacking midfield,0.0,0,0,0,0,0.0,2,1,0,3,0,0,0,0,0,0,0,0.0,0.0,0
75,Genki Haraguchi,attacking midfield,13.8,362,45,47,5,0.7,100,338,164,595,14,22,46,18,5,19,11,0.6,-0.6,0
76,Genki Haraguchi,attacking midfield,13.8,362,45,47,5,0.7,100,338,164,595,14,22,46,18,5,19,11,0.6,-0.6,0
77,Amine Harit,attacking midfield,5.7,221,21,38,16,1.6,33,139,176,341,13,19,54,13,9,30,6,0.5,-0.5,2
78,Luke Harris,attacking midfield,0.1,13,1,1,0,0.0,0,8,6,14,0,0,0,0,0,0,0,0.0,0.0,0
79,Luiz Henrique,attacking midfield,20.1,415,13,26,14,2.1,160,368,375,880,56,61,137,41,24,60,42,3.2,-2.2,1
80,Omari Hutchinson,attacking midfield,0.3,8,0,0,0,0.0,0,4,11,15,0,1,1,0,1,2,0,0.0,0.0,0
81,Arijon Ibrahimović,attacking midfield,0.2,7,0,0,0,0.0,3,6,4,13,0,0,2,1,0,2,2,0.5,-0.5,0
82,Isco,attacking midfield,8.9,346,45,37,8,1.1,70,275,172,509,11,16,36,23,1,20,4,0.4,-0.4,3
83,Lee Jae-sung,attacking midfield,21.0,564,44,69,26,3.6,178,484,375,1028,25,29,103,24,9,77,35,4.3,2.7,2
84,Fredrik Jensen,attacking midfield,10.3,160,22,24,11,1.6,67,166,178,410,4,3,62,9,2,35,11,1.8,0.2,0
85,Joelinton,attacking midfield,29.6,1035,78,130,21,1.9,312,852,562,1703,53,64,150,45,13,96,51,7.1,-1.1,3
