,Player,Position,90s,TCmp,LFTP,LPrgP,LPPA,LxA,Def_3rd,Mid_3rd,Att_3rd,Live,TOSucc,CaPrgC,PrgR,CaFTC,CaCPA,Att_Pen,SSh,npxG,SDist,PTTB
131,Lucas Paquetá,attacking midfield,25.7,1017,112,155,33,3.3,261,931,452,1620,34,28,73,36,8,57,57,4.800000000000001,-1.0,13
132,Lucas Paquetá,attacking midfield,25.7,1017,112,155,33,3.3,261,931,452,1620,34,28,73,36,8,57,57,4.800000000000001,-1.0,5
133,Mario Pašalić,attacking midfield,19.7,567,55,82,25,1.6,135,491,279,899,8,24,83,22,3,57,32,5.7,-0.7,0
134,Javier Pastore,attacking midfield,0.1,6,1,1,0,0.0,0,3,7,10,0,2,2,1,0,2,0,0.0,0.0,0
135,Dimitri Payet,attacking midfield,9.3,386,37,71,28,3.4,53,239,321,604,18,22,84,17,7,39,27,3.0,0.8,7
136,Lorenzo Pellegrini,attacking midfield,28.3,816,62,106,23,6.2,186,743,548,1458,32,58,113,39,5,52,62,8.0,-3.7,12
137,Andreas Pereira,attacking midfield,29.9,701,86,121,22,4.1,106,608,613,1311,17,53,133,44,10,66,61,7.3,-3.5,1
138,Roberto Pereyra,attacking midfield,31.3,1038,86,143,49,5.7,323,722,583,1601,39,66,186,43,16,102,41,4.7,1.1,1
139,Matteo Pessina,attacking midfield,32.6,1719,150,193,36,2.7,587,1333,484,2375,34,77,88,45,6,51,25,5.1,-0.8,2
140,Julien Ponceau,attacking midfield,18.4,691,75,101,12,2.0,168,534,328,1014,10,53,103,53,7,43,14,1.8,-0.8,2
141,José Pozo,attacking midfield,1.0,34,5,6,2,0.2,6,30,33,66,2,5,7,2,1,3,1,0.0,0.0,1
142,Bobby Reid,attacking midfield,27.5,636,36,63,38,1.6,228,488,490,1191,18,46,186,33,11,77,31,3.9,0.1,1
143,Jeff Reine-Adélaïde,attacking midfield,6.3,391,40,52,8,0.7999999999999999,64,306,180,536,22,30,33,40,3,12,14,1.1,-1.1,0
144,Jeff Reine-Adélaïde,attacking midfield,6.3,391,40,52,8,0.7999999999999999,64,306,180,536,22,30,33,40,3,12,14,1.1,-1.1,2
145,Reinier,attacking midfield,7.2,198,11,25,8,0.7,46,157,128,329,9,13,27,18,1,20,10,1.3,0.7,1
146,Marco Reus,attacking midfield,15.0,450,27,45,9,1.4,106,329,308,730,9,33,78,25,11,61,36,5.1,0.7,0
147,Gio Reyna,attacking midfield,6.9,248,14,25,12,1.9,36,168,220,419,8,23,57,19,7,46,24,4.3,2.5,0
148,Renaud Ripart,attacking midfield,14.7,317,27,47,10,0.7,85,336,278,689,11,28,104,17,8,55,39,3.5,0.5,1
149,Rodri,attacking midfield,32.3,2723,265,260,33,3.5,706,1993,592,3272,25,76,37,72,3,62,50,4.6,-2.6,2
150,Rodri,attacking midfield,32.3,2723,265,260,33,3.5,706,1993,592,3272,25,76,37,72,3,62,50,4.6,-2.6,6
151,Rodri,attacking midfield,32.3,2723,265,260,33,3.5,706,1993,592,3272,25,76,37,72,3,62,15,1.4,0.6,2
152,Rodri,attacking midfield,32.3,2723,265,260,33,3.5,706,1993,592,3272,25,76,37,72,3,62,15,1.4,0.6,6
153,Rodri,attacking midfield,32.3,2723,265,260,33,3.5,119,473,438,1015,29,57,104,36,19,53,50,4.6,-2.6,2
154,Rodri,attacking midfield,32.3,2723,265,260,33,3.5,119,473,438,1015,29,57,104,36,19,53,50,4.6,-2.6,6
155,Rodri,attacking midfield,32.3,2723,265,260,33,3.5,119,473,438,1015,29,57,104,36,19,53,15,1.4,0.6,2
156,Rodri,attacking midfield,32.3,2723,265,260,33,3.5,119,473,438,1015,29,57,104,36,19,53,15,1.4,0.6,6
157,Rodri,attacking midfield,32.3,732,52,102,34,2.1,706,1993,592,3272,25,76,37,72,3,62,50,4.6,-2.6,2
158,Rodri,attacking midfield,32.3,732,52,102,34,2.1,706,1993,592,3272,25,76,37,72,3,62,50,4.6,-2.6,6
159,Rodri,attacking midfield,32.3,732,52,102,34,2.1,706,1993,592,3272,25,76,37,72,3,62,15,1.4,0.6,2
160,Rodri,attacking midfield,32.3,732,52,102,34,2.1,706,1993,592,3272,25,76,37,72,3,62,15,1.4,0.6,6
161,Rodri,attacking midfield,32.3,732,52,102,34,2.1,119,473,438,1015,29,57,104,36,19,53,50,4.6,-2.6,2
162,Rodri,attacking midfield,32.3,732,52,102,34,2.1,119,473,438,1015,29,57,104,36,19,53,50,4.6,-2.6,6
163,Rodri,attacking midfield,32.3,732,52,102,34,2.1,119,473,438,1015,29,57,104,36,19,53,15,1.4,0.6,2
164,Rodri,attacking midfield,32.3,732,52,102,34,2.1,119,473,438,1015,29,57,104,36,19,53,15,1.4,0.6,6
165,Rodri,attacking midfield,17.8,2723,265,260,33,3.5,706,1993,592,3272,25,76,37,72,3,62,50,4.6,-2.6,2
166,Rodri,attacking midfield,17.8,2723,265,260,33,3.5,706,1993,592,3272,25,76,37,72,3,62,50,4.6,-2.6,6
167,Rodri,attacking midfield,17.8,2723,265,260,33,3.5,706,1993,592,3272,25,76,37,72,3,62,15,1.4,0.6,2
168,Rodri,attacking midfield,17.8,2723,265,260,33,3.5,706,1993,592,3272,25,76,37,72,3,62,15,1.4,0.6,6
169,Rodri,attacking midfield,17.8,2723,265,260,33,3.5,119,473,438,1015,29,57,104,36,19,53,50,4.6,-2.6,2
170,Rodri,attacking midfield,17.8,2723,265,260,33,3.5,119,473,438,1015,29,57,104,36,19,53,50,4.6,-2.6,6
171,Rodri,attacking midfield,17.8,2723,265,260,33,3.5,119,473,438,1015,29,57,104,36,19,53,15,1.4,0.6,2
172,Rodri,attacking midfield,17.8,2723,265,260,33,3.5,119,473,438,1015,29,57,104,36,19,53,15,1.4,0.6,6
173,Rodri,attacking midfield,17.8,732,52,102,34,2.1,706,1993,592,3272,25,76,37,72,3,62,50,4.6,-2.6,2
174,Rodri,attacking midfield,17.8,732,52,102,34,2.1,706,1993,592,3272,25,76,37,72,3,62,50,4.6,-2.6,6
175,Rodri,attacking midfield,17.8,732,52,102,34,2.1,706,1993,592,3272,25,76,37,72,3,62,15,1.4,0.6,2
176,Rodri,attacking midfield,17.8,732,52,102,34,2.1,706,1993,592,3272,25,76,37,72,3,62,15,1.4,0.6,6
177,Rodri,attacking midfield,17.8,732,52,102,34,2.1,119,473,438,1015,29,57,104,36,19,53,50,4.6,-2.6,2
178,Rodri,attacking midfield,17.8,732,52,102,34,2.1,119,473,438,1015,29,57,104,36,19,53,50,4.6,-2.6,6
179,Rodri,attacking midfield,17.8,732,52,102,34,2.1,119,473,438,1015,29,57,104,36,19,53,15,1.4,0.6,2
180,Rodri,attacking midfield,17.8,732,52,102,34,2.1,119,473,438,1015,29,57,104,36,19,53,15,1.4,0.6,6
181,Óscar Rodríguez Arnaiz,attacking midfield,19.7,833,113,118,11,2.1,198,681,379,1247,11,29,37,28,6,24,43,3.6,-1.6,5
182,Dani Rodríguez,attacking midfield,23.3,537,50,76,19,2.4,186,481,299,950,28,43,64,29,8,42,25,2.4,0.6,5
183,Abdelhamid Sabiri,attacking midfield,11.9,310,44,49,12,1.2,64,304,257,616,14,7,54,20,5,31,31,3.0,-0.4,3
184,Hamza Sakhi,attacking midfield,18.4,756,102,135,22,3.3,171,614,342,1112,15,43,75,37,3,28,30,1.7,-0.7,4
185,Lazar Samardzic,attacking midfield,20.5,715,82,100,21,2.9,160,572,381,1098,28,34,65,33,7,38,50,2.4,2.6,3
186,Riccardo Saponara,attacking midfield,13.4,329,26,56,27,2.2,66,235,317,606,18,56,125,37,16,61,37,2.8,1.2,2
187,Jeremy Sarmiento,attacking midfield,2.0,53,4,11,5,0.3,13,39,48,100,6,5,20,3,1,10,5,0.3,-0.3,0
188,Gustavo Scarpa,attacking midfield,2.0,51,10,12,0,0.0,24,58,27,108,1,9,4,5,0,1,7,0.3,-0.3,1
189,Romano Schmid,attacking midfield,16.9,561,59,75,19,2.2,139,495,325,948,16,34,84,30,7,34,18,1.5,-0.5,5
190,Niklas Schmidt,attacking midfield,12.1,446,64,64,25,1.7,113,441,181,718,33,26,49,22,4,19,21,1.6,1.4,2
191,Bernardo Silva,attacking midfield,24.5,1317,76,130,35,4.0,281,797,707,1772,28,90,188,73,29,92,25,2.2,1.8,3
192,David Silva,attacking midfield,21.5,983,93,162,37,3.0,136,700,560,1378,19,70,121,68,19,78,30,3.9,-1.9,9
193,Naatan Skyttä,attacking midfield,0.3,7,1,3,0,0.0,2,7,5,14,0,1,2,0,0,3,1,0.1,-0.1,0
194,Emile Smith Rowe,attacking midfield,1.9,74,3,7,4,0.6,14,37,51,102,2,2,11,1,0,9,4,0.3,-0.3,0
195,Roberto Soriano,attacking midfield,14.7,486,35,56,10,1.5,110,393,249,739,6,30,66,34,0,27,13,0.6,0.4,5
