,Player,Position,90s,PSxG,PSxG/SoT,PSxG-GA,LCmp,LAtt,PaAtt,PaThr,PaAvgLen,GKAtt,GKAvgLen,COpp,CStp,SwOPA,SoTA,Saves,Savep,CS,PKsv
62,David Gil,goalkeeper,4.0,6.3,0.23,1.3,34.0,94.0,93.0,15.0,46.4,36.0,65.1,56.0,2.0,4.0,23.0,18.0,78.26086957,1.0,0.0
63,Pierluigi Gollini,goalkeeper,7.0,4.8,0.4,-1.2,28.0,74.0,243.0,41.0,31.0,42.0,41.25,80.0,3.0,4.0,24.0,18.0,75.0,4.0,0.0
64,Ivo Grbić,goalkeeper,10.2,13.8,0.23,1.8,46.0,148.0,230.0,50.0,34.1,99.0,47.4,214.0,23.0,7.0,48.0,36.0,75.0,2.0,0.0
65,Dominik Greif,goalkeeper,1.0,2.2,0.28,-0.8,19.0,34.0,23.0,2.0,54.9,15.0,64.5,19.0,2.0,0.0,8.0,5.0,62.5,0.0,0.0
66,Lennart Grill,goalkeeper,5.0,9.0,0.28,-2.0,48.0,108.0,197.0,28.0,37.1,17.0,55.2,47.0,8.0,7.0,25.0,14.0,56.0,2.0,0.0
67,Vicente Guaita,goalkeeper,27.0,32.4,0.26,0.4,115.0,320.0,635.0,140.0,32.3,206.0,37.4,410.0,26.0,26.0,116.0,84.0,72.4137931,6.0,0.0
68,Péter Gulácsi,goalkeeper,6.0,10.1,0.37,1.1,11.0,37.0,179.0,37.0,26.4,36.0,29.6,61.0,3.0,10.0,26.0,17.0,65.38461538,2.0,0.0
69,Samir Handanović,goalkeeper,13.7,15.0,0.27,-2.0,45.0,87.0,508.0,71.0,24.7,71.0,25.5,149.0,2.0,10.0,52.0,35.0,67.30769231,4.0,0.0
70,Dean Henderson,goalkeeper,18.0,26.9,0.28,-4.1,108.0,334.0,513.0,107.0,38.5,156.0,45.3,291.0,20.0,27.0,85.0,52.0,61.17647059,6.0,2.0
71,Wayne Hennessey,goalkeeper,3.0,3.9,0.28,-1.1,23.0,58.0,72.0,13.0,43.2,25.0,54.5,35.0,1.0,2.0,14.0,9.0,64.28571429,1.0,0.0
72,Sergio Herrera,goalkeeper,17.0,21.4,0.28,-0.6,151.0,351.0,475.0,58.0,42.7,135.0,48.3,215.0,16.0,20.0,71.0,48.0,67.6056338,3.0,1.0
73,Lukáš Hrádecký,goalkeeper,33.0,41.3,0.25,-3.7,117.0,373.0,899.0,148.0,32.0,202.0,38.7,404.0,27.0,26.0,142.0,97.0,68.30985915,9.0,0.0
74,Daniel Iversen,goalkeeper,12.0,18.9,0.29,-2.1,38.0,194.0,261.0,49.0,37.2,114.0,46.2,203.0,16.0,6.0,59.0,38.0,64.40677966,1.0,0.0
75,Sam Johnstone,goalkeeper,9.0,10.0,0.24,1.0,30.0,99.0,233.0,41.0,31.8,46.0,42.8,104.0,2.0,11.0,34.0,25.0,73.52941176,3.0,0.0
76,Filip Jørgensen,goalkeeper,2.0,2.3,0.39,-0.7,0.0,4.0,44.0,9.0,22.8,11.0,17.5,18.0,2.0,4.0,6.0,3.0,50.0,0.0,0.0
77,Bingourou Kamara,goalkeeper,4.5,9.1,0.29,-1.9,18.0,57.0,95.0,19.0,35.4,35.0,39.9,52.0,3.0,2.0,25.0,13.0,52.0,0.0,1.0
78,Caoimhín Kelleher,goalkeeper,1.0,2.9,0.34,-1.1,2.0,2.0,22.0,7.0,24.3,2.0,20.5,3.0,0.0,0.0,10.0,6.0,60.0,0.0,0.0
79,Gregor Kobel,goalkeeper,27.0,33.8,0.29,2.8,100.0,252.0,855.0,122.0,28.9,192.0,36.5,295.0,15.0,37.0,119.0,88.0,73.94957983,11.0,0.0
80,Tomáš Koubek,goalkeeper,11.0,22.0,0.36,2.0,77.0,225.0,414.0,48.0,36.5,96.0,52.5,176.0,10.0,22.0,65.0,45.0,69.23076923,1.0,0.0
81,Alban Lafont,goalkeeper,37.0,54.8,0.26,4.8,189.0,516.0,942.0,202.0,35.5,247.0,49.3,493.0,42.0,39.0,179.0,129.0,72.06703911,11.0,0.0
82,Jean-Louis Leca,goalkeeper,1.0,1.6,0.4,0.6,9.0,14.0,29.0,5.0,36.8,10.0,20.4,20.0,1.0,0.0,4.0,3.0,75.0,0.0,0.0
83,Benjamin Lecomte,goalkeeper,29.0,39.9,0.55,4.9,188.0,482.0,667.0,97.0,40.5,245.0,45.5,419.0,19.0,24.0,136.0,99.0,72.79411765,9.0,2.0
84,Jeremías Ledesma,goalkeeper,34.0,47.1,0.22,-0.9,236.0,735.0,824.0,135.0,44.9,285.0,64.1,595.0,42.0,26.0,179.0,130.0,72.62569832,12.0,1.0
85,Bernd Leno,goalkeeper,36.0,58.0,0.27,9.0,124.0,391.0,1153.0,190.0,30.0,242.0,36.0,464.0,35.0,46.0,192.0,142.0,73.95833333,8.0,1.0
86,Donovan Léon,goalkeeper,2.0,1.9,0.13,-0.1,19.0,57.0,55.0,8.0,46.4,24.0,66.1,41.0,0.0,2.0,11.0,9.0,81.81818182,0.0,0.0
87,Benjamin Leroy,goalkeeper,31.1,47.7,0.3,-11.3,213.0,522.0,657.0,77.0,38.5,212.0,52.1,389.0,18.0,54.0,133.0,74.0,55.63909774,4.0,0.0
88,Alexandre Letellier,goalkeeper,0.1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0
89,Mateusz Lis,goalkeeper,8.3,16.4,0.28,0.4,39.0,127.0,235.0,41.0,35.2,78.0,37.4,154.0,12.0,13.0,51.0,34.0,66.66666667,1.0,1.0
90,Hugo Lloris,goalkeeper,24.5,33.9,0.29,-4.1,77.0,218.0,539.0,109.0,31.4,186.0,25.8,322.0,20.0,29.0,117.0,79.0,67.52136752,7.0,0.0
91,Anthony Lopes,goalkeeper,31.3,41.4,0.27,4.4,114.0,317.0,838.0,134.0,31.9,183.0,31.8,358.0,19.0,25.0,131.0,94.0,71.75572519,7.0,0.0
92,Diego López,goalkeeper,1.1,1.7,0.33,-2.3,2.0,8.0,21.0,5.0,30.3,8.0,35.3,12.0,0.0,2.0,5.0,1.0,20.0,0.0,0.0
93,Pau López,goalkeeper,32.5,33.8,0.24,0.8,112.0,324.0,941.0,132.0,31.0,172.0,40.4,370.0,22.0,37.0,123.0,90.0,73.17073171,10.0,0.0
94,Andriy Lunin,goalkeeper,7.0,4.5,0.25,-1.5,14.0,27.0,190.0,36.0,23.3,37.0,35.6,54.0,1.0,11.0,18.0,12.0,66.66666667,3.0,0.0
95,Andrey Lunyov,goalkeeper,1.0,1.4,0.35,-0.6,4.0,10.0,41.0,7.0,30.3,3.0,15.3,6.0,1.0,1.0,4.0,2.0,50.0,0.0,0.0
96,Mike Maignan,goalkeeper,22.0,20.3,0.28,-0.7,76.0,193.0,725.0,119.0,29.8,85.0,35.1,221.0,15.0,32.0,62.0,40.0,64.51612903,8.0,1.0
97,Giorgi Mamardashvili,goalkeeper,38.0,42.9,0.28,-0.1,177.0,522.0,843.0,142.0,35.1,239.0,54.2,457.0,35.0,47.0,148.0,105.0,70.94594595,7.0,0.0
98,Steve Mandanda,goalkeeper,33.5,32.4,0.28,2.4,163.0,420.0,1022.0,166.0,31.5,192.0,41.5,382.0,35.0,51.0,110.0,79.0,71.81818182,12.0,1.0
99,Vito Mannone,goalkeeper,17.9,25.2,0.29,1.2,56.0,176.0,471.0,101.0,29.5,112.0,37.5,344.0,12.0,9.0,84.0,60.0,71.42857143,5.0,0.0
100,Agustín Marchesín,goalkeeper,19.0,20.7,0.24,-7.3,103.0,267.0,500.0,75.0,35.3,131.0,42.9,253.0,14.0,25.0,72.0,42.0,58.33333333,6.0,2.0
101,Federico Marchetti,goalkeeper,0.7,1.5,0.48,-0.5,2.0,4.0,10.0,2.0,24.3,8.0,32.4,8.0,0.0,1.0,3.0,1.0,33.33333333,0.0,0.0
102,Diego Mariño,goalkeeper,0.5,1.4,0.28,-0.6,2.0,3.0,3.0,1.0,35.7,5.0,45.6,12.0,0.0,0.0,5.0,3.0,60.0,0.0,0.0
103,Emiliano Martínez,goalkeeper,34.9,36.6,0.24,2.6,199.0,523.0,1171.0,135.0,33.0,212.0,40.7,483.0,60.0,73.0,132.0,97.0,73.48484848,11.0,1.0
104,Jordi Masip,goalkeeper,27.9,45.8,0.27,4.8,133.0,389.0,722.0,121.0,35.9,239.0,41.9,396.0,15.0,14.0,145.0,101.0,69.65517241,8.0,3.0
105,Luís Maximiano,goalkeeper,0.1,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
106,Alex McCarthy,goalkeeper,6.0,10.9,0.34,-5.1,22.0,113.0,194.0,29.0,36.5,52.0,31.0,92.0,6.0,7.0,30.0,14.0,46.66666667,0.0,0.0
107,Edouard Mendy,goalkeeper,9.5,11.9,0.33,-2.1,27.0,77.0,226.0,47.0,27.6,63.0,34.4,128.0,9.0,11.0,39.0,25.0,64.1025641,1.0,0.0
108,Alex Meret,goalkeeper,34.0,25.0,0.25,1.0,56.0,145.0,733.0,121.0,26.1,198.0,26.9,335.0,11.0,39.0,91.0,66.0,72.52747253,16.0,1.0
109,Illan Meslier,goalkeeper,34.0,53.6,0.32,-12.4,106.0,449.0,794.0,194.0,33.7,242.0,43.5,432.0,34.0,66.0,158.0,92.0,58.2278481,5.0,0.0
110,Alexander Meyer,goalkeeper,7.0,7.9,0.25,-4.1,24.0,60.0,278.0,35.0,27.3,44.0,35.0,91.0,8.0,18.0,32.0,20.0,62.5,1.0,0.0
111,Vanja Milinković-Savić,goalkeeper,38.0,35.8,0.23,-5.2,285.0,939.0,1506.0,185.0,39.7,286.0,70.0,469.0,36.0,70.0,136.0,95.0,69.85294118,11.0,0.0
112,Antonio Mirante,goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,27.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
113,Lorenzo Montipò,goalkeeper,37.0,49.6,0.27,-6.4,360.0,775.0,905.0,124.0,44.3,284.0,52.1,496.0,26.0,55.0,181.0,124.0,68.50828729,5.0,1.0
114,Florian Müller,goalkeeper,19.0,27.2,0.3,-6.8,98.0,212.0,599.0,98.0,29.2,133.0,36.6,260.0,6.0,28.0,87.0,53.0,60.91954023,1.0,0.0
115,Juan Musso,goalkeeper,23.1,21.7,0.23,-3.3,109.0,276.0,547.0,152.0,32.1,157.0,48.6,253.0,14.0,24.0,89.0,64.0,71.91011236,7.0,0.0
116,Yvon Mvogo,goalkeeper,20.1,27.1,0.27,-0.9,86.0,228.0,473.0,85.0,32.1,145.0,36.6,381.0,21.0,7.0,98.0,70.0,71.42857143,3.0,0.0
117,Keylor Navas,goalkeeper,17.0,29.3,0.32,-2.7,106.0,320.0,378.0,65.0,41.3,151.0,48.1,295.0,14.0,9.0,83.0,51.0,61.44578313,1.0,0.0
118,Neto,goalkeeper,26.5,39.7,0.26,1.7,160.0,437.0,601.0,136.0,37.8,231.0,44.6,510.0,35.0,25.0,138.0,100.0,72.46376812,6.0,0.0
119,Manuel Neuer,goalkeeper,12.0,14.7,0.29,3.7,39.0,79.0,435.0,81.0,26.8,69.0,23.8,103.0,4.0,23.0,44.0,33.0,75.0,4.0,0.0
120,Alexander Nübel,goalkeeper,38.0,49.5,0.24,-5.5,189.0,445.0,875.0,203.0,32.8,266.0,45.6,454.0,36.0,33.0,195.0,140.0,71.79487179,9.0,0.0
121,Ørjan Nyland,goalkeeper,2.0,1.8,0.36,0.8,11.0,33.0,83.0,9.0,33.6,15.0,36.7,28.0,0.0,0.0,5.0,4.0,80.0,1.0,0.0
122,Jan Oblak,goalkeeper,27.7,21.9,0.27,1.9,120.0,374.0,586.0,115.0,36.1,228.0,46.0,358.0,25.0,19.0,79.0,59.0,74.6835443,11.0,0.0
123,Guillermo Ochoa,goalkeeper,20.0,34.8,0.3,1.8,135.0,430.0,556.0,45.0,40.9,200.0,47.3,311.0,11.0,10.0,105.0,71.0,67.61904762,4.0,1.0
124,Robin Olsen,goalkeeper,3.1,6.2,0.29,-1.8,15.0,62.0,101.0,18.0,37.6,28.0,46.8,45.0,5.0,3.0,19.0,11.0,57.89473684,1.0,0.0
125,Jonas Omlin,goalkeeper,27.3,42.2,0.57,0.2,110.0,338.0,968.0,151.0,30.2,185.0,41.3,429.0,29.0,32.0,129.0,86.0,66.66666667,7.0,1.0
126,André Onana,goalkeeper,24.0,19.3,0.21,-2.7,105.0,270.0,875.0,115.0,29.6,152.0,35.4,283.0,15.0,10.0,83.0,61.0,73.4939759,8.0,0.0
127,Stefan Ortega,goalkeeper,3.0,4.1,0.27,3.1,11.0,24.0,155.0,16.0,23.9,12.0,20.3,26.0,1.0,7.0,15.0,14.0,93.33333333,2.0,0.0
128,Fernando Pacheco,goalkeeper,17.0,28.2,0.57,-6.8,130.0,284.0,443.0,64.0,38.2,141.0,42.5,258.0,17.0,21.0,93.0,57.0,61.29032258,3.0,1.0
129,Rui Patrício,goalkeeper,35.0,27.6,0.23,-6.4,135.0,328.0,644.0,121.0,33.6,240.0,34.8,402.0,16.0,25.0,108.0,73.0,67.59259259,13.0,1.0
130,Jiří Pavlenka,goalkeeper,32.3,51.9,0.29,-7.1,198.0,497.0,893.0,152.0,36.3,279.0,42.9,481.0,22.0,38.0,170.0,110.0,64.70588235,4.0,1.0
131,Gianluca Pegolo,goalkeeper,2.0,3.2,0.38,0.2,9.0,18.0,61.0,10.0,29.7,16.0,28.3,28.0,2.0,0.0,6.0,3.0,50.0,0.0,0.0
132,Iñaki Peña,goalkeeper,0.8,1.4,0.36,-0.6,1.0,3.0,23.0,5.0,25.2,4.0,22.8,7.0,0.0,2.0,4.0,2.0,50.0,0.0,0.0
133,Patrick Pentz,goalkeeper,7.0,11.9,0.34,-1.1,29.0,94.0,152.0,25.0,36.3,59.0,38.7,103.0,8.0,4.0,29.0,16.0,55.17241379,0.0,0.0
134,Simone Perilli,goalkeeper,1.0,0.8,0.19,0.8,6.0,30.0,21.0,0.0,57.3,13.0,69.8,19.0,1.0,1.0,4.0,4.0,100.0,1.0,0.0
135,Mattia Perin,goalkeeper,10.5,11.2,0.23,4.2,32.0,107.0,287.0,54.0,30.8,63.0,35.9,154.0,4.0,11.0,40.0,32.0,80.0,6.0,1.0
136,Samuele Perisan,goalkeeper,7.0,7.5,0.31,-1.5,25.0,75.0,153.0,39.0,32.7,75.0,34.3,134.0,5.0,4.0,24.0,15.0,62.5,2.0,0.0
137,Jordan Pickford,goalkeeper,37.0,60.0,0.31,3.0,270.0,801.0,992.0,151.0,43.0,315.0,52.7,566.0,22.0,52.0,181.0,123.0,67.9558011,8.0,1.0
138,Nick Pope,goalkeeper,36.2,31.3,0.24,0.3,120.0,368.0,683.0,232.0,33.0,207.0,50.7,411.0,34.0,74.0,118.0,85.0,72.03389831,14.0,2.0
139,Ivan Provedel,goalkeeper,37.9,31.4,0.25,2.4,158.0,373.0,1121.0,166.0,32.2,198.0,33.2,493.0,21.0,55.0,128.0,99.0,77.34375,21.0,0.0
140,Ghjuvanni Quilichini,goalkeeper,0.9,0.8,0.24,0.8,6.0,24.0,26.0,2.0,43.8,8.0,61.0,25.0,2.0,0.0,4.0,4.0,100.0,1.0,0.0
141,Ionuț Radu,goalkeeper,26.0,42.9,0.56,4.9,155.0,492.0,734.0,99.0,39.3,195.0,50.0,380.0,20.0,22.0,138.0,98.0,71.01449275,6.0,2.0
