,Player,Position,90s,TCmp,LFTP,LPrgP,Def_3rd,Mid_3rd,Att_3rd,Live,TOSucc,CaPrgC,PrgR,TOAtt,BTklInt,PTTB
295,João Moutinho,central midfield,19.8,30,4,1,243,658,325,1218,8,23,32,15,7,7
296,João Moutinho,central midfield,19.8,30,4,1,243,658,325,1218,8,23,32,15,7,0
297,João Moutinho,central midfield,19.8,30,4,1,11,20,20,51,0,0,2,0,69,7
298,João Moutinho,central midfield,19.8,30,4,1,11,20,20,51,0,0,2,0,69,0
299,João Moutinho,central midfield,19.8,30,4,1,11,20,20,51,0,0,2,0,7,7
300,João Moutinho,central midfield,19.8,30,4,1,11,20,20,51,0,0,2,0,7,0
301,João Moutinho,central midfield,0.6,850,105,132,243,658,325,1218,8,23,32,15,69,7
302,João Moutinho,central midfield,0.6,850,105,132,243,658,325,1218,8,23,32,15,69,0
303,João Moutinho,central midfield,0.6,850,105,132,243,658,325,1218,8,23,32,15,7,7
304,João Moutinho,central midfield,0.6,850,105,132,243,658,325,1218,8,23,32,15,7,0
305,João Moutinho,central midfield,0.6,850,105,132,11,20,20,51,0,0,2,0,69,7
306,João Moutinho,central midfield,0.6,850,105,132,11,20,20,51,0,0,2,0,69,0
307,João Moutinho,central midfield,0.6,850,105,132,11,20,20,51,0,0,2,0,7,7
308,João Moutinho,central midfield,0.6,850,105,132,11,20,20,51,0,0,2,0,7,0
309,João Moutinho,central midfield,0.6,30,4,1,243,658,325,1218,8,23,32,15,69,7
310,João Moutinho,central midfield,0.6,30,4,1,243,658,325,1218,8,23,32,15,69,0
311,João Moutinho,central midfield,0.6,30,4,1,243,658,325,1218,8,23,32,15,7,7
312,João Moutinho,central midfield,0.6,30,4,1,243,658,325,1218,8,23,32,15,7,0
313,João Moutinho,central midfield,0.6,30,4,1,11,20,20,51,0,0,2,0,69,7
314,João Moutinho,central midfield,0.6,30,4,1,11,20,20,51,0,0,2,0,69,0
315,João Moutinho,central midfield,0.6,30,4,1,11,20,20,51,0,0,2,0,7,7
316,João Moutinho,central midfield,0.6,30,4,1,11,20,20,51,0,0,2,0,7,0
317,Samuel Moutoussamy,central midfield,26.7,1053,124,156,275,950,254,1459,16,41,45,29,88,2
318,Iker Muñoz,central midfield,2.8,90,10,12,43,78,13,134,1,0,4,2,4,0
319,Yunus Musah,central midfield,23.4,604,52,93,154,487,405,1030,27,72,101,70,59,3
320,Enock Mwepu,central midfield,2.4,61,5,6,12,54,53,116,1,5,17,5,11,0
321,Nikolas Nartey,central midfield,5.3,225,17,22,103,172,70,340,4,7,20,8,15,0
322,Michel Ndary Adopo,central midfield,2.9,122,8,10,36,112,25,172,3,2,4,6,8,0
323,Tanguy Ndombele,central midfield,9.0,504,41,52,78,424,189,685,19,27,33,37,21,1
324,Florian Neuhaus,central midfield,15.6,510,55,78,133,448,232,804,12,26,56,34,31,5
325,Hans Nicolussi Caviglia,central midfield,6.5,184,21,19,83,184,47,313,4,4,2,8,22,0
326,Saúl Ñíguez,central midfield,12.2,408,19,34,182,336,181,695,12,12,47,14,57,2
327,Matheus Nunes,central midfield,27.4,818,70,84,325,656,397,1354,44,59,129,85,83,6
328,Lewis O'Brien,central midfield,6.5,166,19,21,72,161,71,297,7,13,3,17,21,0
329,Pedro Obiang,central midfield,9.7,363,27,40,138,339,53,527,3,0,6,8,34,0
330,Olasagasti,central midfield,0.7,39,6,2,13,41,8,61,0,2,3,0,4,0
331,Finn Ole Becker,central midfield,5.7,148,14,19,58,116,88,262,4,6,15,9,15,0
332,Mathias Olesen,central midfield,5.3,123,9,15,45,113,38,193,2,2,11,4,12,0
333,Josh Onomah,central midfield,0.2,4,0,0,3,4,4,11,0,1,0,1,1,0
334,Frank Onyeka,central midfield,9.4,193,23,28,93,176,109,373,11,9,21,26,29,0
335,Pedro Ortiz,central midfield,0.0,1,0,0,1,1,0,2,0,0,0,0,0,0
336,Patrick Osterhage,central midfield,11.4,238,15,26,134,242,102,470,5,6,23,14,32,2
337,Azzedine Ounahi,central midfield,13.8,629,79,92,114,516,285,897,46,59,85,82,36,1
338,Azzedine Ounahi,central midfield,13.8,629,79,92,114,516,285,897,46,59,85,82,36,2
339,Alex Oxlade-Chamberlain,central midfield,3.7,75,8,14,20,69,67,153,5,11,28,14,6,2
340,Levin Öztunalı,central midfield,0.1,1,0,1,0,2,1,2,0,1,0,0,0,1
341,Exequiel Palacios,central midfield,18.4,1022,95,105,364,861,220,1427,10,12,27,16,92,4
342,Ante Palaversa,central midfield,0.3,14,1,0,3,12,5,20,0,0,0,0,2,0
343,Daniel Parejo,central midfield,36.5,2224,271,250,633,1565,683,2851,29,26,32,41,100,7
344,Paulinho,central midfield,0.9,23,1,4,4,18,17,38,2,3,8,4,0,0
345,Ben Pearson,central midfield,3.2,108,8,5,56,90,17,162,0,2,4,1,9,0
346,Pedri,central midfield,22.0,1251,161,184,161,954,556,1652,36,67,99,61,52,24
347,Pepín,central midfield,12.5,554,67,74,161,469,164,786,7,19,28,20,41,3
348,Kike Pérez,central midfield,25.6,927,101,134,337,836,413,1546,30,54,82,69,87,4
349,Niccolò Pisilli,central midfield,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,Tommaso Pobega,central midfield,9.8,307,36,36,107,283,112,497,2,8,22,5,36,0
351,Paul Pogba,central midfield,1.2,48,7,4,11,38,35,83,6,5,15,8,0,1
352,Dennis Praet,central midfield,7.2,200,10,17,67,163,118,342,6,15,42,14,17,2
353,Sanjin Prcić,central midfield,18.1,890,90,112,292,708,235,1218,14,14,14,20,52,3
354,Isaac Price,central midfield,0.4,12,1,1,5,10,2,17,1,1,0,1,0,0
355,Grischa Prömel,central midfield,16.2,363,29,39,159,327,170,652,5,19,46,14,35,0
356,Arnau Puigmal,central midfield,8.5,193,9,16,76,161,160,393,10,24,57,30,33,4
357,Niklas Pyyhtiä,central midfield,1.2,41,3,1,20,37,15,71,0,2,5,0,2,0
358,Domingos Quina,central midfield,3.1,122,16,17,39,104,53,191,5,12,7,10,6,2
359,Adrien Rabiot,central midfield,30.5,971,99,133,321,801,458,1555,27,72,109,55,91,2
360,Ivan Rakitić,central midfield,19.9,997,113,148,212,780,451,1433,4,42,84,11,64,2
361,Aaron Ramsey,central midfield,17.6,915,88,126,208,723,361,1279,14,29,84,24,64,5
362,Jacob Ramsey,central midfield,29.3,728,67,98,238,609,422,1245,31,94,119,77,92,3
363,Filippo Ranocchia,central midfield,5.9,201,23,26,70,174,90,328,8,13,15,15,15,3
364,Nicolai Rapp,central midfield,0.8,47,3,5,24,36,8,68,0,1,0,1,3,0
365,Harrison Reed,central midfield,31.8,988,82,102,292,842,463,1585,10,30,107,28,63,0
366,Rocco Reitz,central midfield,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0
367,Elvis Rexhbeçaj,central midfield,28.0,622,67,89,370,630,194,1177,6,14,20,19,68,4
368,Sergi Roberto,central midfield,14.5,850,80,97,179,565,312,1051,5,47,72,13,33,1
369,Lucas Robertone,central midfield,31.6,1051,115,155,345,918,479,1711,27,47,97,68,96,10
370,Sebastian Rode,central midfield,15.7,711,98,105,164,661,178,997,7,23,39,14,54,4
371,Merlin Röhl,central midfield,0.6,13,1,1,6,16,8,30,0,2,4,1,1,0
372,Connor Ronan,central midfield,0.0,3,3,0,0,3,1,4,1,0,1,1,0,0
373,Valentin Rongier,central midfield,33.7,1855,224,238,506,1464,505,2455,29,57,72,45,147,6
374,Joe Rothwell,central midfield,11.3,385,34,33,131,309,105,538,16,12,12,23,29,4
375,Kays Ruiz,central midfield,0.7,26,0,0,19,19,4,41,1,1,2,1,4,0
376,Fabián Ruiz Peña,central midfield,21.0,1614,151,128,411,1161,410,1971,18,32,86,30,80,9
377,Marcel Sabitzer,central midfield,14.0,639,66,90,157,523,251,925,1,15,45,3,57,2
378,Marcel Sabitzer,central midfield,14.0,639,66,90,157,523,251,925,1,15,45,3,57,1
379,Jacopo Sala,central midfield,1.2,36,4,6,14,28,16,57,0,2,3,3,2,0
380,Albert Sambi Lokonga,central midfield,8.2,360,40,32,141,265,76,479,1,2,2,7,26,1
381,Albert Sambi Lokonga,central midfield,8.2,360,40,32,141,265,76,479,1,2,2,7,26,2
382,Fede San Emeterio,central midfield,20.5,518,45,45,251,498,91,834,2,1,11,5,58,2
383,Renato Sanches,central midfield,8.0,608,64,56,106,479,179,753,13,30,25,22,17,2
384,Antonio Sánchez,central midfield,12.0,312,24,34,150,279,187,602,12,22,56,26,41,0
385,Morgan Sanson,central midfield,15.9,485,67,61,116,483,269,852,17,43,70,46,60,0
386,Morgan Sanson,central midfield,15.9,485,67,61,116,483,269,852,17,43,70,46,60,6
387,Baptiste Santamaria,central midfield,20.1,1119,125,141,271,1023,218,1499,9,17,21,17,62,1
388,Téji Savanier,central midfield,28.3,1185,172,205,289,1138,677,2061,72,48,117,138,76,6
389,András Schäfer,central midfield,9.6,205,22,26,90,189,125,391,9,15,18,32,25,1
390,Xaver Schlager,central midfield,16.7,771,87,77,275,677,160,1090,13,23,12,24,58,4
391,Jacopo Segre,central midfield,0.2,8,0,0,4,8,0,12,0,0,0,0,0,0
392,Paul Seguin,central midfield,7.7,223,26,49,81,187,150,417,7,13,28,14,23,4
393,Stefano Sensi,central midfield,18.0,1089,128,143,276,880,299,1442,11,27,37,29,61,6
394,Jaime Seoane,central midfield,3.6,87,7,7,26,82,47,155,2,6,7,5,11,1
395,Suat Serdar,central midfield,22.5,431,50,78,189,549,219,936,36,33,48,74,80,3
396,Jonjo Shelvey,central midfield,6.4,240,41,37,110,227,37,373,4,1,0,4,8,0
397,Jonjo Shelvey,central midfield,6.4,240,41,37,110,227,37,373,4,1,0,4,8,3
398,Vincent Sierro,central midfield,7.4,321,36,49,100,296,92,485,6,7,13,8,23,2
399,Moussa Sissoko,central midfield,21.3,628,80,105,189,562,240,963,15,33,70,36,42,0
400,Carlos Soler,central midfield,15.9,636,45,66,118,421,358,891,6,21,74,14,26,0
401,Carlos Soler,central midfield,15.9,636,45,66,118,421,358,891,6,21,74,14,26,3
402,Djibril Sow,central midfield,29.4,1324,137,186,361,1190,276,1810,11,35,29,21,69,6
403,Jens Stage,central midfield,20.6,412,34,61,200,429,213,834,9,19,55,16,50,2
404,Mattias Svanberg,central midfield,20.4,394,34,74,137,393,300,811,17,29,85,45,46,3
405,Benjamin Tahirovic,central midfield,3.9,133,8,9,58,112,26,194,1,0,3,2,11,0
406,Flavien Tait,central midfield,18.7,933,119,154,143,803,336,1268,22,52,56,45,50,4
407,Florian Tardieu,central midfield,11.2,655,68,83,218,503,158,867,7,20,17,12,54,0
408,Filippo Terracciano,central midfield,9.1,235,21,37,110,224,113,439,6,16,24,12,30,1
409,Morten Thorsby,central midfield,9.3,119,12,15,85,118,94,297,0,0,21,2,25,0
410,Khéphren Thuram,central midfield,28.3,1155,107,128,365,946,396,1667,46,92,77,77,89,6
411,Youri Tielemans,central midfield,26.0,1303,169,181,436,1080,382,1875,26,35,56,35,94,12
412,Umut Tohumcu,central midfield,3.0,56,9,7,26,67,33,125,1,2,4,6,12,0
413,Corentin Tolisso,central midfield,22.6,1710,208,230,409,1370,400,2164,7,32,52,18,68,11
414,Pablo Torre,central midfield,1.6,77,9,11,12,49,55,114,3,4,16,7,4,2
415,Óliver Torres,central midfield,23.7,862,98,136,156,629,550,1314,15,38,156,42,49,5
416,Boubacar Traoré,central midfield,4.6,118,16,8,51,110,26,185,4,4,2,9,19,0
417,Manu Trigueros,central midfield,9.2,475,69,76,76,354,173,599,2,12,22,5,25,1
418,Theocharis Tsingaras,central midfield,0.1,4,0,1,0,4,1,5,0,0,0,0,0,0
419,Beñat Turrientes,central midfield,1.2,40,3,2,17,29,15,61,1,0,4,3,3,0
420,Óscar Valentín,central midfield,28.4,957,138,133,337,977,200,1501,7,21,17,20,136,1
421,Mattia Valoti,central midfield,5.0,122,17,16,53,133,48,231,3,7,9,10,20,0
422,Federico Valverde,central midfield,27.8,1427,118,151,229,857,800,1870,31,70,135,44,48,3
423,Matías Vecino,central midfield,18.8,830,86,88,278,712,184,1165,3,22,17,6,63,2
424,Gabriel Veiga,central midfield,25.5,552,79,109,137,565,387,1062,39,68,88,75,64,6
425,Unai Vencedor Paris,central midfield,2.1,107,13,16,28,93,29,149,1,2,3,2,4,0
426,Jordan Veretout,central midfield,31.8,1834,274,248,399,1489,511,2375,12,59,73,18,92,7
427,Marco Verratti,central midfield,24.4,2383,222,262,527,1743,538,2783,29,40,52,53,103,17
428,Ronaldo Vieira,central midfield,9.3,390,39,40,141,342,55,535,2,6,5,3,32,0
429,Ronaldo Vieira,central midfield,9.3,390,39,40,141,342,55,535,2,6,5,3,32,0
430,Tonny Vilhena,central midfield,25.2,662,64,80,202,609,294,1091,17,30,59,39,62,1
431,Gonzalo Villar,central midfield,12.8,522,51,53,150,497,127,765,16,22,11,26,33,0
432,Gonzalo Villar,central midfield,12.8,522,51,53,150,497,127,765,16,22,11,26,33,0
433,Vitinha,central midfield,32.4,1863,177,146,339,1381,691,2387,36,53,135,64,100,1
434,Vitinha,central midfield,32.4,1863,177,146,339,1381,691,2387,36,53,135,64,100,7
435,Aster Vranckx,central midfield,2.8,98,7,4,25,107,28,160,3,2,5,7,5,0
436,Aster Vranckx,central midfield,2.8,98,7,4,25,107,28,160,3,2,5,7,5,0
437,Robert Wagner,central midfield,0.4,7,0,0,6,10,10,26,0,0,2,1,0,0
438,James Ward-Prowse,central midfield,37.5,1716,177,189,447,1380,667,2480,7,19,58,20,120,2
439,Marcel Wenig,central midfield,0.0,9,0,0,2,8,3,13,0,0,0,0,0,0
440,Georginio Wijnaldum,central midfield,8.5,169,9,18,37,151,90,274,11,16,33,21,6,0
441,Joe Willock,central midfield,28.4,777,91,121,202,586,556,1324,37,97,152,93,76,4
442,Xeka,central midfield,6.1,279,32,39,74,248,61,380,1,5,13,6,16,1
443,Ryan Yates,central midfield,20.4,455,26,43,235,418,143,790,4,11,27,9,48,0
444,Oier Zarraga,central midfield,9.5,294,36,37,60,229,168,447,5,12,32,7,24,1
445,Szymon Żurkowski,central midfield,5.1,87,10,11,46,88,62,194,8,12,14,12,13,0
446,Szymon Żurkowski,central midfield,5.1,87,10,11,46,88,62,194,8,12,14,12,13,0
