,Player,Position,90s,TCmp,LFTP,LPrgP,Def_3rd,Mid_3rd,Att_3rd,Live,TOSucc,CaPrgC,PrgR,TOAtt,BTklInt,PTTB
69,Maxence Caqueret,central midfield,30.7,1480,196,183,333,1196,654,2162,41,46,114,87,126,5
70,Gaetano Castrovilli,central midfield,8.0,188,10,14,56,148,127,324,7,12,16,16,18,1
71,Dani Ceballos,central midfield,17.4,1362,198,204,258,986,465,1690,40,60,60,66,68,6
72,Nathaniel Chalobah,central midfield,0.1,4,1,0,5,3,3,11,0,0,0,0,1,0
73,Xavier Chavalerin,central midfield,27.0,875,77,95,427,677,240,1337,9,18,49,17,123,5
74,Carney Chukwuemeka,central midfield,3.9,179,11,23,47,106,112,262,6,21,21,11,19,0
75,Tio Cipot,central midfield,1.5,40,2,5,16,32,42,83,3,5,17,7,12,1
76,Pathé Ciss,central midfield,14.2,575,63,65,243,543,114,891,5,10,5,11,61,0
77,Bobby Clark,central midfield,0.1,1,0,1,0,0,7,7,0,0,2,1,0,0
78,Andrea Colpani,central midfield,10.5,319,28,51,55,267,232,538,20,31,69,41,17,3
79,Santi Comesaña,central midfield,27.2,1024,136,150,229,927,405,1544,35,40,58,58,103,0
80,Lewis Cook,central midfield,19.1,593,55,63,290,472,184,935,7,9,10,19,60,1
81,Lassana Coulibaly,central midfield,32.1,978,91,120,399,933,245,1540,48,52,59,93,109,3
82,Mathieu Coutadeur,central midfield,21.6,1006,100,110,260,902,176,1329,5,20,22,14,42,6
83,Mickaël Cuisance,central midfield,6.9,176,13,23,48,138,109,290,8,11,31,12,18,3
84,Mahmoud Dahoud,central midfield,3.7,213,25,25,64,183,56,302,3,5,4,5,18,1
85,Sergi Darder,central midfield,36.9,1181,158,233,276,1145,605,1980,68,111,75,135,93,14
86,Vladimír Darida,central midfield,0.3,8,0,0,5,6,9,20,1,1,1,1,1,0
87,Tom Davies,central midfield,6.0,173,25,30,74,183,54,309,3,2,13,6,19,3
88,Rodrigo De Paul,central midfield,21.4,1160,145,182,261,923,425,1598,16,55,68,32,43,17
89,Brecht Dejaegere,central midfield,20.1,518,56,96,114,478,303,879,19,36,96,50,54,5
90,Alberto Del Moral,central midfield,0.1,0,0,0,0,1,0,1,0,0,0,0,0,0
91,Sacha Delaye,central midfield,0.2,8,0,1,6,9,4,19,0,1,0,0,1,0
92,Kerem Demirbay,central midfield,17.2,827,70,86,247,700,313,1253,8,22,21,24,52,3
93,Branco van den Boomen,central midfield,32.1,1684,270,321,385,1362,726,2453,19,48,102,38,81,12
94,Kiernan Dewsbury-Hall,central midfield,25.6,872,111,132,278,795,443,1490,40,68,91,74,81,9
95,Youba Diarra,central midfield,1.1,40,3,3,27,41,1,66,0,1,1,0,5,1
96,Junior Dina Ebimbe,central midfield,11.8,366,37,45,175,353,175,689,17,38,42,44,41,2
97,Tristan Dingomé,central midfield,1.1,55,7,6,9,41,38,88,1,1,4,2,1,0
98,Edan Diop,central midfield,2.5,89,9,17,20,68,83,167,3,8,29,11,17,1
99,Nicolás Domínguez,central midfield,25.6,1169,118,147,308,991,419,1703,23,39,84,37,100,19
100,Jordan Dongmo,central midfield,0.2,9,1,0,0,9,4,13,0,0,0,1,1,0
101,Abdoulaye Doucouré,central midfield,17.0,430,29,38,156,327,242,713,20,23,66,33,44,1
102,Flynn Downes,central midfield,8.5,289,25,22,74,265,68,405,1,3,11,2,23,0
103,Alfred Duncan,central midfield,12.3,421,58,70,92,371,179,634,12,18,30,23,26,4
104,Éderson,central midfield,24.6,884,93,93,339,778,355,1455,37,37,62,66,103,1
105,Maximilian Eggestein,central midfield,27.2,660,83,93,235,598,276,1098,9,20,46,16,87,2
106,Mikael Ellertsson,central midfield,1.9,24,3,3,11,31,19,60,1,3,4,3,6,0
107,Arne Engels,central midfield,16.0,397,45,57,158,380,205,739,4,9,25,9,35,2
108,Gonzalo Escalante,central midfield,18.7,547,71,80,264,515,171,937,8,3,20,15,79,0
109,Gonzalo Escalante,central midfield,18.7,547,71,80,264,515,171,937,8,3,20,15,79,2
110,Edu Expósito,central midfield,12.9,389,45,72,124,329,242,689,11,19,59,23,46,3
111,Nicolò Fagioli,central midfield,16.9,505,49,56,124,411,221,749,8,27,56,19,37,5
112,Khalil Fayad,central midfield,8.0,283,21,22,99,274,73,438,8,9,11,16,39,2
113,Jacopo Fazzini,central midfield,9.2,257,16,21,135,216,132,476,13,11,40,31,38,1
114,Lewis Ferguson,central midfield,25.7,1039,70,88,272,794,415,1472,9,31,114,25,63,4
115,Edimilson Fernandes,central midfield,27.1,832,67,67,671,666,166,1485,17,15,23,25,89,0
116,Enzo Fernández,central midfield,17.2,1269,164,168,351,1000,280,1616,17,22,18,32,61,11
117,Jordan Ferri,central midfield,30.4,1695,155,209,542,1401,321,2237,20,37,42,55,81,7
118,Phil Foden,central midfield,20.5,904,38,88,116,433,790,1324,40,68,275,81,21,4
119,Seko Fofana,central midfield,34.1,1590,137,165,242,1237,709,2161,59,117,233,109,47,5
120,Youssouf Fofana,central midfield,34.3,1419,185,238,352,1340,454,2116,46,81,71,91,137,11
121,Adam Forshaw,central midfield,5.3,196,30,33,64,171,62,293,8,4,7,11,16,0
122,Tyrese Francois,central midfield,0.0,2,1,0,1,3,1,5,0,0,1,0,0,0
123,Davide Frattesi,central midfield,31.9,812,80,137,280,704,456,1417,34,73,94,74,79,6
124,Oscar Fraulo,central midfield,0.1,10,0,0,3,9,4,16,1,0,0,1,0,0
125,Fred,central midfield,13.9,618,65,76,250,483,279,999,12,10,50,32,66,7
126,Remo Freuler,central midfield,24.0,664,47,54,360,537,167,1058,6,7,11,12,72,0
127,Roberto Gagliardini,central midfield,8.7,297,32,39,105,229,125,454,0,20,22,5,20,1
128,Iñigo Ruiz de Galarreta,central midfield,27.2,1016,104,127,330,885,247,1446,19,20,21,39,84,5
129,Conor Gallagher,central midfield,18.0,706,67,105,198,529,421,1134,23,40,104,54,69,1
130,Idrissa Gana Gueye,central midfield,28.6,1025,111,98,451,893,237,1563,19,27,19,35,153,1
131,Aleix García,central midfield,26.0,1370,154,156,386,1003,490,1867,13,41,76,26,68,3
132,Dani García,central midfield,16.5,571,71,73,183,560,130,868,2,6,8,2,65,3
133,Aleix Garrido,central midfield,0.1,2,0,0,4,0,3,7,0,0,0,1,2,0
134,Gavi,central midfield,28.1,1026,98,134,148,797,578,1509,27,49,153,63,65,8
135,Dennis Geiger,central midfield,21.7,697,74,99,218,618,202,1027,9,21,22,16,69,2
136,Yannick Gerhardt,central midfield,20.7,503,63,82,161,445,254,856,4,12,88,16,36,2
137,Gerson,central midfield,4.6,150,15,21,31,113,103,244,2,9,29,7,8,0
138,Billy Gilmour,central midfield,5.6,364,30,35,112,276,71,453,2,5,4,6,11,2
139,Gvidas Gineitis,central midfield,1.5,75,6,6,9,74,19,102,1,3,7,3,3,0
140,André Gomes,central midfield,18.1,1179,145,160,261,1010,270,1520,29,26,33,42,46,3
141,Joan Gonzàlez,central midfield,24.4,598,72,71,226,570,299,1080,18,18,67,49,64,3
142,Nicolás González,central midfield,15.0,381,41,70,71,381,372,809,25,37,112,73,21,1
143,Nicolás González,central midfield,15.0,381,41,70,71,381,372,809,25,37,112,73,21,2
144,Nicolás González,central midfield,15.0,381,41,70,71,381,372,809,25,37,112,73,46,1
145,Nicolás González,central midfield,15.0,381,41,70,71,381,372,809,25,37,112,73,46,2
146,Nicolás González,central midfield,15.0,381,41,70,164,555,209,921,28,21,17,39,21,1
147,Nicolás González,central midfield,15.0,381,41,70,164,555,209,921,28,21,17,39,21,2
148,Nicolás González,central midfield,15.0,381,41,70,164,555,209,921,28,21,17,39,46,1
149,Nicolás González,central midfield,15.0,381,41,70,164,555,209,921,28,21,17,39,46,2
150,Nicolás González,central midfield,15.0,676,92,81,71,381,372,809,25,37,112,73,21,1
151,Nicolás González,central midfield,15.0,676,92,81,71,381,372,809,25,37,112,73,21,2
152,Nicolás González,central midfield,15.0,676,92,81,71,381,372,809,25,37,112,73,46,1
153,Nicolás González,central midfield,15.0,676,92,81,71,381,372,809,25,37,112,73,46,2
154,Nicolás González,central midfield,15.0,676,92,81,164,555,209,921,28,21,17,39,21,1
155,Nicolás González,central midfield,15.0,676,92,81,164,555,209,921,28,21,17,39,21,2
156,Nicolás González,central midfield,15.0,676,92,81,164,555,209,921,28,21,17,39,46,1
157,Nicolás González,central midfield,15.0,676,92,81,164,555,209,921,28,21,17,39,46,2
158,Nicolás González,central midfield,15.6,381,41,70,71,381,372,809,25,37,112,73,21,1
159,Nicolás González,central midfield,15.6,381,41,70,71,381,372,809,25,37,112,73,21,2
160,Nicolás González,central midfield,15.6,381,41,70,71,381,372,809,25,37,112,73,46,1
161,Nicolás González,central midfield,15.6,381,41,70,71,381,372,809,25,37,112,73,46,2
162,Nicolás González,central midfield,15.6,381,41,70,164,555,209,921,28,21,17,39,21,1
163,Nicolás González,central midfield,15.6,381,41,70,164,555,209,921,28,21,17,39,21,2
164,Nicolás González,central midfield,15.6,381,41,70,164,555,209,921,28,21,17,39,46,1
165,Nicolás González,central midfield,15.6,381,41,70,164,555,209,921,28,21,17,39,46,2
166,Nicolás González,central midfield,15.6,676,92,81,71,381,372,809,25,37,112,73,21,1
167,Nicolás González,central midfield,15.6,676,92,81,71,381,372,809,25,37,112,73,21,2
168,Nicolás González,central midfield,15.6,676,92,81,71,381,372,809,25,37,112,73,46,1
169,Nicolás González,central midfield,15.6,676,92,81,71,381,372,809,25,37,112,73,46,2
170,Nicolás González,central midfield,15.6,676,92,81,164,555,209,921,28,21,17,39,21,1
171,Nicolás González,central midfield,15.6,676,92,81,164,555,209,921,28,21,17,39,21,2
172,Nicolás González,central midfield,15.6,676,92,81,164,555,209,921,28,21,17,39,46,1
173,Nicolás González,central midfield,15.6,676,92,81,164,555,209,921,28,21,17,39,46,2
174,Leon Goretzka,central midfield,19.2,826,80,114,296,678,312,1272,9,42,62,17,73,4
175,José Gragera,central midfield,5.1,178,11,11,117,137,19,272,0,0,3,0,26,0
176,Alberto Grassi,central midfield,13.3,453,27,50,261,400,80,734,4,5,10,8,53,0
177,Ryan Gravenberch,central midfield,6.4,326,34,44,68,269,155,483,11,11,31,19,26,0
178,Clément Grenier,central midfield,8.0,256,31,40,62,240,131,432,3,4,26,7,26,0
179,Pascal Groß,central midfield,36.0,1879,157,255,466,1225,924,2602,17,62,209,33,72,9
180,Andrés Guardado,central midfield,15.3,739,70,72,277,610,151,1022,5,14,13,10,64,3
181,Mattéo Guendouzi,central midfield,23.4,1094,143,170,193,817,455,1440,14,50,100,29,60,5
182,Javier Guerra,central midfield,6.7,188,15,30,57,186,103,341,14,17,16,28,27,0
183,Ander Guevara,central midfield,2.5,161,23,15,28,127,49,200,3,4,3,4,7,1
184,İlkay Gündoğan,central midfield,26.1,1374,143,170,243,975,596,1805,16,53,124,42,50,18
185,Raúl Guti,central midfield,12.4,327,26,32,120,283,123,521,5,4,17,13,26,0
186,Darko Gyabi,central midfield,0.1,4,0,2,1,4,3,8,0,0,0,1,2,0
187,Nicolas Haas,central midfield,12.8,304,29,36,187,254,115,554,1,10,23,6,35,0
188,Janik Haberer,central midfield,24.3,489,58,78,169,468,304,926,11,21,84,31,43,4
189,Amadou Haidara,central midfield,15.9,684,93,85,191,619,174,980,9,10,8,12,51,4
190,Abdou Harroui,central midfield,7.2,254,35,36,68,211,126,395,11,21,32,15,19,1
191,Jordan Henderson,central midfield,23.0,1341,158,189,277,1013,505,1782,12,37,90,23,53,9
192,Liam Henderson,central midfield,11.2,432,31,38,135,353,142,622,0,11,38,5,23,3
193,Matheus Henrique,central midfield,21.6,741,85,116,153,563,321,1025,34,40,68,53,38,3
194,Ander Herrera,central midfield,7.7,376,32,40,99,302,141,540,5,8,14,10,29,6
195,Yangel Herrera,central midfield,10.7,332,31,46,82,301,180,556,12,18,56,23,30,4
196,Ajdin Hrustic,central midfield,2.5,75,1,8,17,59,47,121,4,7,12,12,2,0
197,Will Hughes,central midfield,9.4,296,29,32,101,250,131,474,3,14,23,7,45,1
198,Denis Huseinbasic,central midfield,8.8,216,23,34,65,181,168,409,6,12,45,19,27,0
199,Pierre Højbjerg,central midfield,34.8,2021,207,235,670,1537,449,2633,30,46,66,45,105,10
200,Pablo Ibáñez,central midfield,11.8,280,34,59,116,297,120,528,8,15,42,15,37,1
201,Ivan Ilić,central midfield,22.6,992,85,105,248,862,328,1419,15,47,48,32,47,1
202,Ivan Ilić,central midfield,22.6,992,85,105,248,862,328,1419,15,47,48,32,47,3
203,Emirhan İlkhan,central midfield,2.3,89,13,13,28,87,33,148,1,3,11,5,9,0
204,Emirhan İlkhan,central midfield,2.3,89,13,13,28,87,33,148,1,3,11,5,9,0
205,Jefferson,central midfield,5.0,146,11,10,21,100,147,258,15,27,52,37,18,0
206,Mathias Jensen,central midfield,31.1,1088,117,141,368,868,669,1890,24,21,77,61,102,5
207,Þórir Jóhann Helgason,central midfield,2.5,55,2,2,25,42,31,96,0,2,5,1,5,0
208,Curtis Jones,central midfield,11.5,611,53,69,105,417,304,821,11,31,75,30,37,5
209,Frenkie de Jong,central midfield,28.2,2089,250,279,391,1553,607,2526,35,92,83,60,81,19
210,Joan Jordán,central midfield,17.7,963,134,123,248,734,243,1221,5,9,22,10,48,2
211,Kevin Kampl,central midfield,15.2,791,71,80,201,656,169,1016,9,23,15,12,43,6
212,Ayman Kari,central midfield,1.1,67,2,7,32,38,27,94,4,5,3,7,3,0
213,Grigoris Kastanos,central midfield,14.3,460,47,57,157,365,258,770,13,27,59,34,47,1
214,Naby Keïta,central midfield,3.3,129,15,15,34,114,59,206,3,5,21,4,7,0
215,Franck Kessié,central midfield,11.0,391,23,39,110,336,133,575,9,14,43,18,27,2
216,Mateusz Klich,central midfield,3.1,108,6,16,25,82,85,189,2,5,21,6,12,0
217,Dominik Kohr,central midfield,25.5,865,111,144,344,867,250,1447,10,17,39,22,93,4
218,Koke,central midfield,28.3,1784,179,175,542,1337,376,2244,13,15,37,22,75,8
219,Kouadio Koné,central midfield,29.0,1187,139,166,404,1127,302,1796,57,59,55,118,106,2
220,Rominigue Kouamé,central midfield,29.6,1244,145,169,505,1002,230,1698,50,59,36,71,93,2
221,Mateo Kovačić,central midfield,19.0,1130,158,153,279,938,289,1492,19,37,30,34,55,10
222,Tom Krauß,central midfield,27.9,578,55,86,313,612,241,1140,20,35,38,33,148,2
223,Toni Kroos,central midfield,23.9,2255,372,319,531,1618,506,2633,9,51,38,26,75,4
224,Rade Krunić,central midfield,18.4,819,61,73,284,673,171,1115,19,31,21,26,56,2
225,Pierre Kunde,central midfield,4.2,119,18,16,60,155,57,265,5,6,1,9,19,1
226,César de la Hoz,central midfield,18.6,435,54,49,247,427,51,723,4,3,6,8,50,1
227,Luca de la Torre,central midfield,16.5,510,51,62,122,371,291,774,12,55,73,21,37,2
228,Qazim Laçi,central midfield,2.4,111,18,24,20,109,44,171,2,0,4,4,8,0
