,Player,Position,PTCrs,PTTB,LxA,LKP,LFTP,LPPA,LPrgP,Att_Pen,TOAtt,TOSucc,CaPrgC,CaCPA,PrgR,90s,npxG,npxG/Sh,SSh_p90,SSoT_90,Off
442,Neymar,left winger,54,25,7.4,49,135,48,161,73,96,38,69,12,127,17.2,8.1,6.5,2.0930232558139537,1.0465116279069768,5
443,Cyril Ngonge,right winger,18,1,0.6,11,10,6,13,20,35,12,18,9,40,8.3,2.0,2.0,3.132530120481928,1.2048192771084336,5
444,Justin Njinmah,right winger,0,0,0.0,0,0,0,0,1,1,0,1,0,4,0.2,0.0,0.0,0.0,0.0,0
445,Arnaud Nordin,left winger,49,2,2.0,20,28,19,63,109,98,38,109,37,181,26.7,6.5,6.5,2.209737827715356,0.898876404494382,4
446,Riad Nouri,right winger,86,0,2.2,25,33,14,39,26,38,13,33,6,144,18.8,2.4,1.6,0.851063829787234,0.2127659574468085,7
447,Hugo Novoa,right winger,10,0,0.1,2,1,0,4,11,10,5,5,3,20,2.0,0.9,0.9,1.5,1.0,4
448,Brian Ocampo,left winger,34,0,1.7,16,13,15,22,19,45,19,40,10,81,12.4,0.5,0.5,1.0483870967741935,0.1612903225806451,2
449,Lucas Ocampos,left winger,26,0,1.3,13,16,12,37,64,61,25,33,16,113,12.9,4.5,2.1,2.093023255813953,0.4651162790697674,6
450,Wilson Odobert,left winger,34,3,1.4,23,27,13,47,52,95,33,72,25,132,19.6,2.6,2.6,1.3775510204081631,0.7142857142857142,2
451,Michael Olise,right winger,242,4,6.4,72,72,53,133,86,141,54,111,38,243,30.5,2.9,2.9,1.6721311475409837,0.4590163934426229,7
452,Mislav Oršić,left winger,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,1
453,Riccardo Orsolini,right winger,99,0,2.7,44,48,12,62,101,85,33,53,34,212,23.6,10.5,8.1,3.771186440677966,1.144067796610169,18
454,Dango Ouattara,right winger,30,5,4.6,41,20,40,62,148,153,59,103,51,238,31.0,8.8,8.8,2.5161290322580645,0.7096774193548387,10
455,Dango Ouattara,right winger,33,6,4.6,41,20,40,62,148,153,59,103,51,238,31.0,8.8,8.8,2.5161290322580645,0.7096774193548387,10
456,Remi Oudin,right winger,113,2,1.7,30,47,7,63,32,22,10,24,5,54,14.7,2.0,2.0,2.5850340136054424,0.8843537414965987,2
457,Adam Ounas,right winger,0,0,2.9,26,36,33,70,38,84,39,58,11,126,12.0,2.3,2.3,2.25,0.75,2
458,Adam Ounas,right winger,75,5,2.9,26,36,33,70,38,84,39,58,11,126,12.0,2.3,2.3,2.25,0.75,2
459,Mikel Oyarzabal,left winger,28,1,1.9,14,14,9,29,54,26,7,27,12,122,13.5,4.6,2.3,1.1851851851851851,0.5925925925925926,12
460,Isaac Palazón Camacho,right winger,192,6,5.9,66,84,47,127,65,112,50,49,9,181,32.9,7.7,5.3,2.765957446808511,0.668693009118541,9
461,Kevin Paredes,left winger,22,0,1.4,13,15,16,29,15,15,4,24,7,40,5.9,0.2,0.2,0.6779661016949152,0.3389830508474576,2
462,Moises Parra Gutierrez,left winger,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
463,Pedro,right winger,34,2,2.0,23,36,23,52,79,68,32,64,20,144,21.1,3.4,3.4,1.990521327014218,0.7582938388625592,5
