,Player,Position,PTCrs,PTTB,LxA,LKP,LFTP,LPPA,LPrgP,Att_Pen,TOAtt,TOSucc,CaPrgC,CaCPA,PrgR,90s,npxG,npxG/Sh,SSh_p90,SSoT_90,Off
580,Patrick Wimmer,right winger,66,4,5.6,37,23,30,64,67,66,26,42,13,133,18.3,4.4,4.4,1.6939890710382512,0.7650273224043715,7
581,Yoane Wissa,left winger,12,4,1.0,13,21,8,27,62,44,20,24,11,104,17.8,5.6,5.6,1.797752808988764,0.8426966292134831,19
582,Marius Wolf,right winger,61,4,3.2,22,60,29,91,50,62,34,60,13,151,17.4,1.2,1.2,1.3218390804597702,0.3448275862068966,3
583,Lamine Yamal,right winger,1,1,0.3,0,0,2,2,1,2,0,0,0,2,0.1,0.4,0.4,10.0,10.0,0
584,Wilfried Zaha,left winger,39,3,3.0,26,18,41,75,143,137,55,86,59,238,25.4,6.5,4.8,2.5196850393700787,0.8267716535433072,14
585,Nicola Zalewski,left winger,76,2,1.9,12,58,24,85,33,71,29,92,21,99,24.4,1.3,1.3,1.1885245901639343,0.3688524590163934,1
586,Luca Zanimacchia,right winger,46,0,1.0,14,12,12,26,33,14,5,22,8,70,8.3,1.2,1.2,2.289156626506024,0.4819277108433734,2
587,Arber Zeneli,left winger,50,4,2.3,22,24,19,51,56,60,17,45,29,118,11.1,2.1,2.1,2.7927927927927927,0.5405405405405406,3
588,Alessio Zerbin,left winger,1,0,0.1,0,3,1,6,9,5,2,5,3,20,2.2,0.3,0.3,2.2727272727272725,1.3636363636363635,1
589,Edon Zhegrova,right winger,73,2,5.3,30,23,33,52,79,111,53,74,35,194,11.7,3.6,3.6,3.58974358974359,1.1965811965811963,2
