,Player,Position,BTklInt,CTkl%,PTCrs,PTTB,SCA,LPrgP,LFTP,LxA,CaFTC,CaPrgC,Def_3rd,Mid_3rd,Att_3rd,Live,90s,PrgR
181,Danilo,right-back,139,71.23287671232876,18,4,62,176,187,1.3,26,39,1054,1304,257,2597,35.4,43
182,Matteo Darmian,right-back,77,65.95744680851064,28,2,39,88,68,2.0,18,22,580,754,241,1564,22.5,96
183,Alphonso Davies,left-back,69,46.15384615384615,25,2,88,133,110,4.3,66,117,446,912,545,1859,22.7,158
184,Ben Davies,left-back,46,53.84615384615385,35,1,37,107,79,1.5,33,39,514,749,223,1482,25.4,69
185,Mattia De Sciglio,right-back,18,64.28571428571429,26,0,15,50,51,0.4,12,16,190,338,127,652,11.6,40
186,Lorenzo De Silvestri,right-back,6,42.85714285714285,7,1,11,31,29,0.2,12,18,172,237,81,484,7.5,17
187,Thibault De Smet,left-back,44,29.72972972972973,48,0,29,89,86,1.8,32,39,358,660,276,1280,19.5,89
188,Thomas Delaine,left-back,44,50.0,66,1,23,21,14,2.5,27,38,148,267,239,642,11.9,92
189,Fran Delgado,right-back,0,0.0,1,0,0,0,0,0.0,1,0,1,3,4,8,0.1,3
190,Fabio Depaoli,right-back,72,58.333333333333336,60,1,49,76,46,1.6,17,30,266,467,351,1070,25.6,82
191,Fabio Depaoli,right-back,72,58.333333333333336,8,1,49,76,46,1.6,17,30,266,467,351,1070,25.6,82
192,Mikkel Desler,right-back,107,64.17910447761194,42,1,49,136,104,2.6,56,59,457,936,477,1855,25.1,127
193,Sergiño Dest,right-back,16,75.0,4,0,11,14,15,0.2,3,11,75,116,61,246,3.7,12
194,Giovanni Di Lorenzo,right-back,90,51.02040816326531,88,5,111,256,177,4.4,62,73,715,1476,788,2957,36.2,182
195,Ibrahim Diakité,right-back,8,66.66666666666666,7,0,0,2,1,0.0,1,0,30,32,23,83,1.5,6
196,Baila Diallo,left-back,1,0.0,5,0,2,1,0,0.2,2,3,13,18,24,55,1.0,9
197,Ismael Diallo,left-back,76,55.55555555555556,35,4,17,70,73,0.7,33,36,517,633,177,1309,24.2,36
198,Moussa Diarra,left-back,39,60.0,13,0,16,50,30,0.6,22,21,296,344,153,789,13.6,43
199,Lucas Digne,left-back,48,60.60606060606061,77,0,29,57,40,1.9,14,29,365,396,342,1096,16.7,89
200,Dodô,left-back,65,47.82608695652174,61,2,65,141,93,2.0,58,72,464,813,462,1719,25.9,104
201,Matt Doherty,right-back,24,80.0,18,0,18,20,14,0.3,5,16,150,187,174,511,7.6,58
202,Matt Doherty,right-back,24,80.0,0,0,18,20,14,0.3,5,16,150,187,174,511,7.6,58
203,Josh Doig,left-back,30,37.5,46,0,35,27,28,1.3,24,41,191,276,256,705,15.0,61
204,Giulio Donati,right-back,8,50.0,9,0,4,21,19,0.1,6,4,151,159,44,349,4.7,8
205,Guela Doué,right-back,0,0.0,0,0,0,1,0,0.0,0,0,2,6,3,11,0.1,0
206,Souleyman Doumbia,left-back,72,54.83870967741935,48,0,32,58,46,1.7,43,52,341,586,276,1183,19.9,95
207,Cody Drameh,right-back,6,66.66666666666666,1,0,1,2,2,0.0,1,0,7,26,11,44,0.8,3
208,Denzel Dumfries,right wingback,47,64.70588235294117,82,1,71,59,32,3.9,32,62,266,551,467,1263,24.6,172
209,Festy Ebosele,right-back,17,40.0,16,1,11,17,9,0.5,18,27,64,82,97,233,4.6,22
210,Enzo Ebosse,left-back,26,69.23076923076923,15,0,8,51,43,0.1,7,11,292,306,72,667,10.3,20
211,Tyronne Ebuehi,right-back,34,69.23076923076923,28,0,29,41,26,1.1,21,31,452,437,210,1089,21.4,42
212,Kingsley Ehizibue,right-back,59,64.44444444444444,37,0,32,42,33,1.1,18,30,279,296,243,812,17.8,72
213,Kingsley Ehizibue,right-back,59,64.44444444444444,0,0,32,42,33,1.1,18,30,279,296,243,812,17.8,72
214,Julian Eitschberger,right-back,0,0.0,0,0,0,0,0,0.0,0,0,1,0,1,2,0.0,0
215,Emerson,right-back,72,67.5,46,2,36,80,58,1.0,32,47,481,505,346,1323,19.3,103
216,Sergio Escudero,left-back,59,42.85714285714285,56,0,35,40,30,1.6,16,17,320,371,255,937,16.0,37
217,Alfonso Espino,left-back,135,50.0,110,4,70,107,84,3.7,34,53,672,871,480,1994,34.7,129
218,Pervis Estupiñán,left-back,98,58.333333333333336,101,5,87,157,103,4.1,55,91,506,1076,649,2211,29.7,183
219,Kimberly Ezekwem,left-back,0,0.0,0,0,0,0,1,0.0,0,0,3,6,0,9,0.1,2
220,Nicolás Ezequiel Fernández,left-back,28,52.94117647058824,33,1,21,29,14,1.1,10,21,61,123,134,314,5.7,53
221,Fábio,right-back,7,66.66666666666666,6,0,10,11,5,0.7,6,4,32,64,53,149,2.5,18
222,Noah Fadiga,right-back,56,53.84615384615385,10,0,15,63,39,0.6,30,43,218,403,175,790,14.5,36
223,Davide Faraoni,right-back,49,39.02439024390244,37,1,28,54,34,0.7,9,11,226,335,213,770,16.5,33
224,Cheikh Faye,right-back,1,0.0,0,0,0,0,0,0.0,0,0,1,9,5,15,0.4,3
225,Kiko Femenía,right-back,38,72.22222222222221,31,0,24,66,49,0.4,27,36,299,377,211,877,12.6,47
226,Valery Fernández,right-back,22,55.55555555555556,23,0,29,20,12,0.7,7,18,86,179,199,461,10.7,84
227,Salvador Ferrer,right-back,5,33.33333333333333,1,0,2,1,3,0.0,0,0,50,50,13,113,1.5,2
228,Karol Fila,right-back,1,0.0,3,0,3,4,5,0.0,1,4,3,19,25,46,0.5,4
