,Player,Position,BTklInt,CTkl%,PTCrs,PTTB,SCA,LPrgP,LFTP,LxA,CaFTC,CaPrgC,Def_3rd,Mid_3rd,Att_3rd,Live,90s,PrgR
364,Ferland Mendy,left-back,35,60.0,7,0,28,56,54,0.6,25,23,265,426,287,971,15.0,73
365,Gideon Mensah,left-back,118,57.14285714285714,67,2,50,116,97,2.1,63,56,531,852,384,1734,25.1,110
366,Quentin Merlin,left-back,55,47.368421052631575,113,1,58,94,73,3.3,40,43,326,664,387,1356,19.9,96
367,Thomas Meunier,right-back,25,58.82352941176471,16,1,17,30,27,0.8,7,9,131,213,162,503,6.5,45
368,Juan Miranda,left-back,43,48.27586206896552,73,2,38,73,55,2.4,22,26,298,418,306,1014,16.4,87
369,Filippo Missori,right-back,7,50.0,2,0,0,0,1,0.0,0,1,41,25,16,82,2.0,3
370,Tyrick Mitchell,left-back,113,56.60377358490566,70,0,33,106,90,1.2,19,23,654,834,431,1899,32.1,90
371,Maximilian Mittelstädt,left-back,65,43.58974358974359,39,1,23,37,29,1.2,19,29,223,281,126,616,9.4,29
372,Johan Mojica,left-back,27,58.333333333333336,40,0,16,28,23,1.2,26,41,202,250,221,667,10.1,49
373,Johan Mojica,left-back,27,58.333333333333336,14,0,16,28,23,1.2,26,41,202,250,221,667,10.1,49
374,Nahuel Molina,right-back,87,42.85714285714285,120,7,92,112,74,4.0,43,73,696,833,709,2229,31.9,249
375,Salvatore Molina,right wingback,7,80.0,14,0,5,7,4,0.3,5,9,29,47,65,139,2.5,22
376,Gonzalo Montiel,right-back,45,51.72413793103448,39,3,41,57,53,2.5,28,34,291,433,310,1023,16.9,87
377,Martín Montoya,right-back,22,83.33333333333334,10,0,7,16,12,0.6,2,6,95,161,48,302,5.0,12
378,Alberto Moreno,left-back,46,45.83333333333333,36,1,28,47,18,1.9,32,41,247,298,331,872,14.4,97
379,Álex Moreno,left-back,76,86.11111111111111,48,1,54,81,53,4.0,65,114,618,702,530,1832,29.8,198
380,Álex Moreno,left-back,76,86.11111111111111,28,0,54,81,53,4.0,65,114,618,702,530,1832,29.8,198
381,João Moutinho,left-back,69,41.30434782608695,59,7,66,132,105,1.9,23,23,243,658,325,1218,19.8,32
382,João Moutinho,left-back,69,41.30434782608695,59,7,66,132,105,1.9,23,23,243,658,325,1218,0.6,2
383,João Moutinho,left-back,69,41.30434782608695,59,7,66,132,105,1.9,1,0,11,20,20,51,19.8,32
384,João Moutinho,left-back,69,41.30434782608695,59,7,66,132,105,1.9,1,0,11,20,20,51,0.6,2
385,João Moutinho,left-back,69,41.30434782608695,59,7,66,1,4,0.0,23,23,243,658,325,1218,19.8,32
386,João Moutinho,left-back,69,41.30434782608695,59,7,66,1,4,0.0,23,23,243,658,325,1218,0.6,2
387,João Moutinho,left-back,69,41.30434782608695,59,7,66,1,4,0.0,1,0,11,20,20,51,19.8,32
388,João Moutinho,left-back,69,41.30434782608695,59,7,66,1,4,0.0,1,0,11,20,20,51,0.6,2
389,João Moutinho,left-back,69,41.30434782608695,59,7,1,132,105,1.9,23,23,243,658,325,1218,19.8,32
390,João Moutinho,left-back,69,41.30434782608695,59,7,1,132,105,1.9,23,23,243,658,325,1218,0.6,2
391,João Moutinho,left-back,69,41.30434782608695,59,7,1,132,105,1.9,1,0,11,20,20,51,19.8,32
392,João Moutinho,left-back,69,41.30434782608695,59,7,1,132,105,1.9,1,0,11,20,20,51,0.6,2
393,João Moutinho,left-back,69,41.30434782608695,59,7,1,1,4,0.0,23,23,243,658,325,1218,19.8,32
394,João Moutinho,left-back,69,41.30434782608695,59,7,1,1,4,0.0,23,23,243,658,325,1218,0.6,2
395,João Moutinho,left-back,69,41.30434782608695,59,7,1,1,4,0.0,1,0,11,20,20,51,19.8,32
396,João Moutinho,left-back,69,41.30434782608695,59,7,1,1,4,0.0,1,0,11,20,20,51,0.6,2
397,João Moutinho,left-back,69,41.30434782608695,3,0,66,132,105,1.9,23,23,243,658,325,1218,19.8,32
398,João Moutinho,left-back,69,41.30434782608695,3,0,66,132,105,1.9,23,23,243,658,325,1218,0.6,2
399,João Moutinho,left-back,69,41.30434782608695,3,0,66,132,105,1.9,1,0,11,20,20,51,19.8,32
400,João Moutinho,left-back,69,41.30434782608695,3,0,66,132,105,1.9,1,0,11,20,20,51,0.6,2
401,João Moutinho,left-back,69,41.30434782608695,3,0,66,1,4,0.0,23,23,243,658,325,1218,19.8,32
402,João Moutinho,left-back,69,41.30434782608695,3,0,66,1,4,0.0,23,23,243,658,325,1218,0.6,2
403,João Moutinho,left-back,69,41.30434782608695,3,0,66,1,4,0.0,1,0,11,20,20,51,19.8,32
404,João Moutinho,left-back,69,41.30434782608695,3,0,66,1,4,0.0,1,0,11,20,20,51,0.6,2
405,João Moutinho,left-back,69,41.30434782608695,3,0,1,132,105,1.9,23,23,243,658,325,1218,19.8,32
406,João Moutinho,left-back,69,41.30434782608695,3,0,1,132,105,1.9,23,23,243,658,325,1218,0.6,2
407,João Moutinho,left-back,69,41.30434782608695,3,0,1,132,105,1.9,1,0,11,20,20,51,19.8,32
408,João Moutinho,left-back,69,41.30434782608695,3,0,1,132,105,1.9,1,0,11,20,20,51,0.6,2
409,João Moutinho,left-back,69,41.30434782608695,3,0,1,1,4,0.0,23,23,243,658,325,1218,19.8,32
410,João Moutinho,left-back,69,41.30434782608695,3,0,1,1,4,0.0,23,23,243,658,325,1218,0.6,2
411,João Moutinho,left-back,69,41.30434782608695,3,0,1,1,4,0.0,1,0,11,20,20,51,19.8,32
412,João Moutinho,left-back,69,41.30434782608695,3,0,1,1,4,0.0,1,0,11,20,20,51,0.6,2
413,João Moutinho,left-back,7,75.0,59,7,66,132,105,1.9,23,23,243,658,325,1218,19.8,32
414,João Moutinho,left-back,7,75.0,59,7,66,132,105,1.9,23,23,243,658,325,1218,0.6,2
415,João Moutinho,left-back,7,75.0,59,7,66,132,105,1.9,1,0,11,20,20,51,19.8,32
416,João Moutinho,left-back,7,75.0,59,7,66,132,105,1.9,1,0,11,20,20,51,0.6,2
417,João Moutinho,left-back,7,75.0,59,7,66,1,4,0.0,23,23,243,658,325,1218,19.8,32
418,João Moutinho,left-back,7,75.0,59,7,66,1,4,0.0,23,23,243,658,325,1218,0.6,2
419,João Moutinho,left-back,7,75.0,59,7,66,1,4,0.0,1,0,11,20,20,51,19.8,32
420,João Moutinho,left-back,7,75.0,59,7,66,1,4,0.0,1,0,11,20,20,51,0.6,2
421,João Moutinho,left-back,7,75.0,59,7,1,132,105,1.9,23,23,243,658,325,1218,19.8,32
422,João Moutinho,left-back,7,75.0,59,7,1,132,105,1.9,23,23,243,658,325,1218,0.6,2
423,João Moutinho,left-back,7,75.0,59,7,1,132,105,1.9,1,0,11,20,20,51,19.8,32
424,João Moutinho,left-back,7,75.0,59,7,1,132,105,1.9,1,0,11,20,20,51,0.6,2
425,João Moutinho,left-back,7,75.0,59,7,1,1,4,0.0,23,23,243,658,325,1218,19.8,32
426,João Moutinho,left-back,7,75.0,59,7,1,1,4,0.0,23,23,243,658,325,1218,0.6,2
427,João Moutinho,left-back,7,75.0,59,7,1,1,4,0.0,1,0,11,20,20,51,19.8,32
428,João Moutinho,left-back,7,75.0,59,7,1,1,4,0.0,1,0,11,20,20,51,0.6,2
429,João Moutinho,left-back,7,75.0,3,0,66,132,105,1.9,23,23,243,658,325,1218,19.8,32
430,João Moutinho,left-back,7,75.0,3,0,66,132,105,1.9,23,23,243,658,325,1218,0.6,2
431,João Moutinho,left-back,7,75.0,3,0,66,132,105,1.9,1,0,11,20,20,51,19.8,32
432,João Moutinho,left-back,7,75.0,3,0,66,132,105,1.9,1,0,11,20,20,51,0.6,2
433,João Moutinho,left-back,7,75.0,3,0,66,1,4,0.0,23,23,243,658,325,1218,19.8,32
434,João Moutinho,left-back,7,75.0,3,0,66,1,4,0.0,23,23,243,658,325,1218,0.6,2
435,João Moutinho,left-back,7,75.0,3,0,66,1,4,0.0,1,0,11,20,20,51,19.8,32
436,João Moutinho,left-back,7,75.0,3,0,66,1,4,0.0,1,0,11,20,20,51,0.6,2
437,João Moutinho,left-back,7,75.0,3,0,1,132,105,1.9,23,23,243,658,325,1218,19.8,32
438,João Moutinho,left-back,7,75.0,3,0,1,132,105,1.9,23,23,243,658,325,1218,0.6,2
439,João Moutinho,left-back,7,75.0,3,0,1,132,105,1.9,1,0,11,20,20,51,19.8,32
440,João Moutinho,left-back,7,75.0,3,0,1,132,105,1.9,1,0,11,20,20,51,0.6,2
441,João Moutinho,left-back,7,75.0,3,0,1,1,4,0.0,23,23,243,658,325,1218,19.8,32
442,João Moutinho,left-back,7,75.0,3,0,1,1,4,0.0,23,23,243,658,325,1218,0.6,2
443,João Moutinho,left-back,7,75.0,3,0,1,1,4,0.0,1,0,11,20,20,51,19.8,32
444,João Moutinho,left-back,7,75.0,3,0,1,1,4,0.0,1,0,11,20,20,51,0.6,2
445,Nordi Mukiele,right-back,45,65.51724137931035,16,0,20,26,17,1.4,10,19,236,387,189,801,12.6,57
446,Mert Müldür,right-back,0,0.0,0,0,0,0,0,0.0,0,0,2,1,0,3,0.1,0
447,Aihen Muñoz,left-back,47,46.80851063829788,54,0,36,57,48,1.1,32,37,340,531,366,1226,19.5,87
448,Nicola Murru,left-back,34,53.84615384615385,9,0,5,27,21,0.3,6,7,178,185,58,418,8.7,13
449,Vitaliy Mykolenko,left-back,104,54.90196078431373,57,1,46,100,84,0.9,33,31,576,693,370,1625,29.5,72
450,Joakim Mæhle,right-back,56,56.41025641025641,38,1,81,137,71,2.9,64,81,347,697,683,1707,24.5,186
451,Jesús Navas,right-back,41,50.0,135,2,60,99,60,3.2,33,46,359,537,621,1506,22.0,207
452,Luca Netz,left-back,31,59.375,6,1,15,12,11,1.0,10,12,155,184,113,446,7.8,32
453,Rasmus Nissen,right-back,97,55.26315789473685,35,0,35,89,63,0.9,10,15,470,529,282,1276,21.8,70
454,Álvaro Odriozola,right-back,0,0.0,3,0,3,2,1,0.1,0,4,7,15,10,32,0.4,5
455,Lucas Olaza,left-back,38,65.38461538461539,71,0,29,66,34,1.0,15,12,263,404,268,929,16.6,90
456,Brian Oliván,left-back,69,65.38461538461539,140,0,53,80,69,3.9,19,48,391,541,402,1327,26.7,139
457,Lucas Oliveira Rosa,right-back,54,60.0,37,1,19,22,8,0.7,17,24,168,218,191,572,10.3,61
458,Mathías Olivera,left-back,61,51.16279069767442,19,1,43,88,100,2.0,44,60,360,805,432,1588,18.3,68
459,Jordi Osei-Tutu,right wingback,33,52.17391304347826,15,0,16,19,11,0.3,13,25,95,125,135,350,8.3,39
460,Paulo Otávio,left-back,102,66.66666666666666,68,2,39,98,69,3.3,24,41,508,676,338,1507,22.7,84
461,Thomas Ouwejan,left-back,33,60.0,96,0,29,41,21,1.7,13,14,172,245,196,604,10.0,21
462,Helibelton Palacios,right-back,58,73.07692307692307,18,0,21,51,49,0.9,17,25,427,497,122,1030,21.3,25
463,Emerson Palmieri,left-back,41,50.0,47,0,29,45,37,0.8,26,38,241,386,273,894,14.7,57
464,Fabiano Parisi,left-back,106,41.66666666666667,59,1,62,154,99,1.5,75,102,727,930,483,2094,31.4,68
465,Raúl Parra,right-back,5,44.44444444444444,6,0,2,7,7,0.1,2,0,58,67,17,142,3.4,4
466,Felix Passlack,right-back,4,100.0,2,1,6,8,3,0.2,1,1,13,25,10,47,0.7,3
467,Nathan Patterson,right-back,64,54.71698113207547,39,1,20,24,21,0.7,12,16,310,295,238,836,14.2,51
468,Benjamin Pavard,right-back,114,75.0,45,2,45,202,184,3.9,21,37,1017,1351,337,2699,27.0,65
469,Kristian Pedersen,left-back,11,0.0,4,0,1,10,7,0.0,0,6,94,91,31,215,3.1,3
470,Mads Pedersen,left-back,64,66.66666666666666,46,0,43,46,31,0.9,29,35,325,364,261,931,20.4,51
471,Alfonso Pedraza,left-back,53,65.51724137931035,76,0,39,31,22,1.3,46,68,287,352,423,1048,18.1,145
472,Adrià Pedrosa,left-back,10,57.14285714285714,9,1,7,4,2,1.0,6,7,30,38,49,115,2.5,21
473,Peter Pekarík,right-back,8,66.66666666666666,4,0,1,7,4,0.1,0,2,58,66,15,137,2.3,1
474,Luca Pellegrini,left-back,28,75.0,15,0,30,31,25,1.2,20,26,167,312,241,712,8.2,39
475,Luca Pellegrini,left-back,28,75.0,54,1,30,31,25,1.2,20,26,167,312,241,712,8.2,39
476,Timothee Pembele,right-back,9,50.0,4,0,4,5,2,0.4,2,4,30,43,41,113,2.9,20
477,Rubén Peña,right-back,49,48.78048780487805,54,0,21,61,37,1.4,28,32,212,360,255,814,14.2,59
478,Brayann Pereira,right-back,8,20.0,9,0,0,4,1,0.0,2,4,40,39,34,112,2.0,8
479,Ricardo Pereira,right-back,15,41.17647058823529,16,0,15,27,25,0.6,9,5,116,183,90,383,5.0,14
480,Luis Pérez,right-back,60,71.05263157894737,54,1,26,42,30,0.9,16,24,206,330,196,724,13.5,84
481,Ivan Perišić,left wingback,64,57.44680851063831,196,0,75,61,29,5.2,29,87,357,443,583,1370,23.4,181
482,Romain Perraud,left-back,74,53.84615384615385,77,1,38,62,47,1.9,35,33,360,406,395,1153,20.4,122
483,Giuseppe Pezzella,left-back,29,56.25,34,0,17,65,44,0.3,16,28,217,253,185,649,10.2,48
484,Ronaël Pierre-Gabriel,right-back,60,71.42857142857143,10,0,19,29,29,1.2,20,23,193,266,164,618,9.9,51
485,Ronaël Pierre-Gabriel,right-back,60,71.42857142857143,19,0,19,29,29,1.2,20,23,193,266,164,618,9.9,51
486,Marvin Plattenhardt,left-back,58,61.70212765957447,156,0,59,84,38,3.9,21,24,450,649,356,1445,26.7,52
487,Pedro Porro,right-back,40,35.8974358974359,77,7,41,39,28,2.3,17,34,246,293,285,817,12.6,95
488,Alejandro Pozo Pozo,right-back,63,50.943396226415096,70,0,49,64,40,2.6,31,44,441,576,319,1323,20.9,90
489,Tymoteusz Puchacz,left-back,1,0.0,5,0,2,2,0,0.0,0,0,5,19,20,44,0.6,9
490,Giacomo Quagliata,left-back,21,45.45454545454545,54,0,28,28,21,1.0,18,19,107,154,171,421,7.8,45
491,Simon Ramet,right-back,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0
492,Luca Ranieri,left-back,20,66.66666666666666,0,0,4,11,18,0.1,2,4,192,179,15,381,5.6,0
493,Lilian Raolisoa,right-back,14,70.0,10,1,6,10,4,0.5,11,5,34,51,67,151,1.9,16
494,David Raum,left-back,55,58.620689655172406,141,3,57,69,42,5.0,23,44,365,547,471,1367,18.7,127
495,Arkadiusz Reca,left-back,68,59.375,99,0,50,79,76,2.1,50,82,469,605,424,1483,24.1,94
496,Sergio Reguilón,left-back,9,71.42857142857143,9,1,13,11,10,0.3,12,16,44,72,66,178,3.4,30
497,Diego Rico,left-back,55,44.44444444444444,55,0,33,64,57,1.7,26,32,385,514,296,1186,18.3,72
498,Matt Ritchie,left-back,2,33.33333333333333,2,0,1,1,0,0.0,3,1,8,12,16,35,0.4,9
499,Andrew Robertson,left-back,56,51.21951219512195,195,2,95,166,121,6.5,60,80,691,1084,727,2483,28.7,194
500,Antonee Robinson,left-back,115,67.6923076923077,134,0,58,129,104,1.8,86,112,778,937,580,2260,34.3,153
501,Mads Roerslev,right-back,31,48.48484848484848,20,2,13,19,15,0.8,7,8,178,140,109,426,12.3,36
502,Rogério,left-back,74,48.57142857142857,113,1,74,185,126,2.2,65,110,780,1033,523,2308,33.3,115
503,Tom Rothe,left-back,2,100.0,2,0,0,0,1,0.0,0,0,8,7,7,22,0.3,2
504,Jérôme Roussillon,left-back,20,66.66666666666666,0,0,22,28,19,1.5,11,18,142,226,200,562,10.8,44
505,Jérôme Roussillon,left-back,20,66.66666666666666,36,2,22,28,19,1.5,11,18,142,226,200,562,10.8,44
506,Matteo Ruggeri,left-back,29,50.0,38,0,17,55,38,0.9,14,22,198,304,224,722,9.2,65
507,Mário Rui,left-back,49,48.78048780487805,110,2,87,153,146,4.4,56,52,381,946,552,1864,19.4,97
508,Julian Ryerson,right-back,75,54.83870967741935,41,1,55,87,71,1.7,42,74,489,794,526,1789,27.2,101
509,Julian Ryerson,right-back,75,54.83870967741935,50,2,55,87,71,1.7,42,74,489,794,526,1789,27.2,101
510,Youssouf Sabaly,right-back,64,66.66666666666666,17,0,33,72,51,0.5,36,41,388,521,284,1179,18.7,64
511,Halid Šabanović,right-back,16,75.0,8,0,3,20,20,0.1,10,5,84,178,94,352,7.1,30
512,Falaye Sacko,right-back,79,62.74509803921568,36,2,38,76,57,1.2,36,50,519,692,315,1503,28.7,70
513,Théo Sainte-Luce,left-back,23,50.0,10,0,11,14,11,0.9,9,5,93,160,76,326,5.9,36
514,Junior Sambia,right-back,20,60.0,33,0,22,27,14,0.7,22,23,114,221,172,504,7.7,38
515,Manu Sánchez,left-back,65,52.38095238095239,71,0,61,100,72,3.1,27,42,330,619,451,1385,23.6,105
516,Alex Sandro,left-back,50,68.18181818181817,19,0,36,97,93,1.1,36,51,521,750,196,1455,19.9,25
517,Bouna Sarr,right-back,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,2,0.0,0
518,Joe Scally,right-back,39,77.41935483870968,41,0,35,57,40,2.4,23,29,456,663,263,1373,24.5,60
519,Jonathan Schmid,right-back,2,0.0,4,0,2,1,1,0.1,0,1,8,15,11,34,0.5,6
520,Benno Schmitz,right-back,90,51.21951219512195,96,1,52,149,108,3.1,39,48,485,799,483,1757,26.9,126
521,Nélson Semedo,right-back,100,51.5625,60,4,35,110,103,0.9,42,50,589,837,451,1858,29.2,147
522,Marvin Senaya,right-back,0,0.0,1,0,1,1,0,0.0,0,1,4,1,2,7,0.1,0
523,Leonardo Sernicola,left-back,83,67.44186046511628,118,2,55,62,50,2.2,45,60,352,498,387,1220,25.7,95
524,Ryan Sessegnon,left wingback,22,50.0,30,2,23,22,16,1.1,11,24,157,170,168,493,9.0,64
525,Luke Shaw,left-back,91,71.11111111111111,89,2,67,140,169,2.9,44,53,810,1124,475,2388,28.4,76
526,Kiliann Sildillia,right-back,54,60.0,26,1,28,81,69,1.3,24,20,337,706,271,1306,22.0,47
527,Wilfried Singo,right-back,39,63.1578947368421,56,3,45,67,46,1.7,34,54,299,649,420,1354,22.7,93
528,Daley Sinkgraven,left-back,15,77.77777777777779,3,0,9,8,12,0.3,6,8,81,119,61,260,3.8,17
529,Hugo Siquet,right-back,2,100.0,0,0,0,0,0,0.0,0,0,4,7,0,11,0.2,0
530,Adam Smith,right-back,74,48.333333333333336,48,0,29,83,70,1.5,21,28,602,650,296,1527,32.7,54
531,Cédric Soares,right-back,9,75.0,3,0,5,15,13,0.2,2,5,66,98,76,240,2.5,12
532,Cédric Soares,right-back,9,75.0,24,0,5,15,13,0.2,2,5,66,98,76,240,2.5,12
533,Danilo Soares,left-back,102,59.72222222222222,17,1,34,93,82,1.1,18,17,469,643,154,1251,19.6,24
534,Eduard Sobol,left-back,27,69.23076923076923,19,0,20,34,25,0.7,15,16,97,230,156,479,9.7,54
535,Alex Sola,right-back,25,70.0,12,0,6,4,6,0.1,3,8,73,99,84,252,3.9,19
536,Brandon Soppy,right-back,13,33.33333333333333,1,0,26,37,29,1.3,16,27,98,204,164,461,8.1,39
537,Brandon Soppy,right-back,13,33.33333333333333,19,1,26,37,29,1.3,16,27,98,204,164,461,8.1,39
538,Borna Sosa,left-back,46,65.625,255,1,109,128,80,8.2,54,58,386,631,630,1630,21.7,152
539,Arnaud Souquet,right-back,26,78.57142857142857,7,1,5,10,7,0.3,1,5,57,93,37,185,4.0,14
540,Djed Spence,right-back,18,61.11111111111112,0,0,11,21,23,0.2,17,23,105,205,106,406,6.5,20
541,Djed Spence,right-back,18,61.11111111111112,4,0,11,21,23,0.2,17,23,105,205,106,406,6.5,20
542,Leonardo Spinazzola,left-back,24,34.78260869565217,57,4,46,63,37,2.0,52,107,296,560,319,1157,18.4,87
543,Jack Stacey,right-back,10,40.0,10,0,1,2,6,0.0,4,9,67,62,47,174,3.3,15
544,Kostas Stafylidis,left-back,47,41.66666666666667,26,1,18,26,23,0.7,7,9,187,288,92,564,11.6,14
545,Josip Stanišić,right-back,26,70.58823529411765,8,0,12,66,43,0.7,15,12,206,370,117,689,6.4,35
546,Pascal Stenzel,right-back,17,55.55555555555556,21,0,13,13,11,0.6,5,3,90,117,54,259,3.7,5
547,Petar Stojanović,right-back,53,60.46511627906976,35,3,49,91,58,1.2,27,50,387,539,293,1210,17.0,51
548,Damián Suárez,right-back,64,54.16666666666666,78,0,47,80,61,1.7,23,21,299,580,306,1169,21.6,72
549,Gabriel Suazo,left-back,60,46.03174603174603,14,1,28,79,49,0.9,34,26,306,483,199,976,14.0,66
550,Issiaga Sylla,left-back,126,23.07692307692308,35,0,72,177,108,1.9,77,79,543,921,571,2011,29.7,172
551,Issiaga Sylla,left-back,126,23.07692307692308,41,0,72,177,108,1.9,77,79,543,921,571,2011,29.7,172
552,Nicolás Tagliafico,left-back,148,64.1025641025641,68,0,59,156,123,3.8,44,38,527,1118,610,2237,33.2,171
553,Matt Targett,left-back,22,37.5,34,0,17,43,19,0.7,5,3,149,186,131,463,6.8,13
554,Nuno Tavares,left-back,71,50.90909090909091,96,3,66,115,70,3.9,68,96,361,685,765,1779,26.1,245
555,Alex Telles,left-back,41,52.0,83,1,42,42,41,1.2,11,21,287,348,252,880,15.9,80
556,Aleksa Terzić,left-back,21,52.38095238095239,79,0,43,40,34,1.9,28,49,220,341,272,824,10.4,61
557,Kenny Tete,right-back,135,76.0,99,1,49,103,75,1.9,55,75,556,877,489,1896,28.5,69
558,Luke Thomas,left-back,50,46.875,9,3,16,48,38,0.5,8,10,319,359,115,786,11.9,13
559,Kieran Tierney,left-back,31,75.0,24,1,12,36,35,0.4,12,25,153,244,183,579,8.8,31
560,Harry Toffolo,left-back,27,71.42857142857143,29,0,19,29,14,0.9,6,8,175,179,151,498,10.4,43
561,Jeremy Toljan,right-back,54,66.66666666666666,28,2,42,142,124,1.6,41,56,630,868,328,1817,29.7,99
562,Takehiro Tomiyasu,right-back,41,72.22222222222221,12,2,10,51,41,0.2,7,14,138,293,130,557,7.4,28
563,Charles Traore,left-back,18,71.42857142857143,6,0,3,11,18,0.4,3,2,123,129,38,288,5.4,8
564,Hamari Traoré,right-back,86,53.84615384615385,63,4,64,159,132,3.6,63,55,426,1130,537,2083,28.1,162
565,Christopher Trimmel,right-back,56,64.51612903225806,180,0,59,65,53,3.2,12,34,324,470,405,1190,20.1,80
566,Kieran Trippier,right-back,114,51.11111111111111,393,16,178,260,182,11.8,46,45,774,1282,1066,3102,37.1,151
567,Adrien Truffert,left-back,84,67.3913043478261,35,0,51,89,71,1.6,53,55,410,790,467,1656,21.7,166
568,Kostas Tsimikas,left-back,26,62.5,85,1,27,26,20,1.3,9,23,170,281,268,713,8.6,77
569,Destiny Udogie,left-back,107,57.6271186440678,29,1,88,106,67,2.2,71,109,346,652,545,1503,30.0,155
570,Jere Uronen,left-back,37,59.09090909090909,13,0,22,45,31,1.6,9,12,174,320,150,639,10.8,31
571,Jere Uronen,left-back,37,59.09090909090909,30,0,22,45,31,1.6,9,12,174,320,150,639,10.8,31
572,Josha Vagnoman,right-back,34,55.55555555555556,27,1,28,43,28,1.9,24,27,200,293,281,765,16.4,93
573,Emanuele Valeri,left-back,76,42.028985507246375,147,4,94,90,66,3.8,58,111,418,642,584,1610,30.9,158
574,Yan Valery,right-back,88,54.054054054054056,1,0,37,84,70,1.6,72,72,508,764,382,1631,28.2,74
575,Yan Valery,right-back,88,54.054054054054056,81,0,37,84,70,1.6,72,72,508,764,382,1631,28.2,74
576,Vanderson,right-back,132,58.66666666666666,98,1,62,108,85,3.1,37,50,350,766,583,1689,24.6,175
577,Jesus Vazquez,left-back,14,54.54545454545454,11,1,11,13,12,0.5,9,4,58,94,80,231,3.4,17
578,Kevin Vázquez,right-back,15,66.66666666666666,7,0,5,13,16,0.2,2,5,101,117,51,269,4.9,14
579,Joël Veltman,right-back,81,64.91228070175438,23,1,36,153,157,1.1,32,43,563,895,293,1740,24.3,49
580,Lorenzo Venuti,right-back,23,61.11111111111112,37,0,24,44,36,0.7,19,24,202,332,165,695,10.3,43
581,Aleix Vidal,right-back,26,18.181818181818183,39,1,25,23,19,1.3,5,16,99,205,188,489,11.4,53
582,Nacho Vidal,right-back,46,53.125,31,2,20,47,33,0.6,10,20,233,313,234,776,13.9,52
583,Matías Viña,left-back,28,45.45454545454545,4,0,12,19,13,0.1,7,12,131,123,88,338,5.7,23
584,Matías Viña,left-back,28,45.45454545454545,2,0,12,19,13,0.1,7,12,131,123,88,338,5.7,23
585,Rúben Vinagre,left-back,2,50.0,2,0,0,0,2,0.0,1,2,7,16,9,31,0.3,1
586,Mërgim Vojvoda,right-back,32,50.0,43,4,62,125,97,2.6,27,30,302,627,389,1304,19.1,81
587,Kyle Walker,right-back,31,16.666666666666664,28,4,25,162,189,0.9,40,50,438,1198,370,1996,21.8,75
588,Kyle Walker-Peters,right-back,88,52.38095238095239,50,1,53,97,71,2.5,76,102,469,731,520,1692,29.4,114
589,Aaron Wan-Bissaka,right-back,62,92.0,14,2,30,55,48,0.9,24,41,346,400,286,1026,15.9,64
590,Joel Ward,right-back,75,73.17073170731707,36,0,22,101,80,0.8,15,22,546,637,292,1469,25.1,46
591,Mitchell Weiser,right-back,99,50.66666666666667,75,7,89,120,91,6.9,46,62,390,861,566,1789,28.0,169
592,Ben White,right-back,82,60.0,57,6,64,249,226,3.7,46,64,554,1305,685,2532,33.9,124
593,Silvan Widmer,right-back,57,51.28205128205128,32,0,41,54,43,1.6,9,14,266,504,287,1049,18.8,91
594,Neco Williams,right-back,105,53.52112676056338,89,3,39,33,29,1.2,33,51,445,422,309,1153,20.9,67
595,Darlin Yongwa,left-back,18,26.666666666666668,20,0,26,24,11,0.7,16,29,98,167,190,451,8.7,70
596,Ashley Young,left-back,71,75.51020408163265,42,2,40,107,82,0.8,20,29,502,675,252,1411,22.6,33
597,Mohamed Youssouf,right-back,137,62.29508196721312,89,0,32,91,83,1.4,35,48,490,768,345,1595,27.3,83
598,Joseba Zaldúa,right-back,26,70.0,12,0,7,13,11,0.2,13,13,128,139,90,356,7.1,20
599,Oliver Zandén,left-back,3,40.0,6,0,4,6,6,0.1,0,4,25,31,33,89,1.6,12
600,Alessandro Zanoli,right-back,35,47.05882352941176,33,0,36,36,19,0.9,24,51,331,345,216,876,17.2,62
601,Alessandro Zanoli,right-back,35,47.05882352941176,1,0,36,36,19,0.9,24,51,331,345,216,876,17.2,62
602,Mattia Zanotti,right-back,0,0.0,0,0,1,1,1,0.0,1,1,4,3,7,13,0.3,2
603,Davide Zappacosta,right-back,43,68.18181818181817,59,0,39,55,38,1.4,39,48,261,415,456,1122,16.3,101
604,Akim Zedadka,right-back,61,52.94117647058824,38,1,37,66,43,2.1,24,31,369,513,301,1173,21.7,89
605,Akim Zedadka,right-back,61,52.94117647058824,7,0,37,66,43,2.1,24,31,369,513,301,1173,21.7,89
606,Karim Zedadka,left-back,0,0.0,1,0,0,0,1,0.0,0,1,4,10,6,20,0.2,4
607,Deyovaisio Zeefuik,right-back,1,0.0,1,0,0,0,0,0.0,0,1,2,6,3,10,0.1,1
608,Marvin Zeegelaar,left-back,11,75.0,4,0,5,9,6,0.1,2,6,90,90,47,223,3.9,11
609,Mehdi Zeffane,right-back,34,19.047619047619047,24,0,15,18,14,0.6,8,9,79,178,110,360,7.3,31
610,Aaron Zehnter,left-back,1,0.0,0,0,0,0,0,0.0,0,0,1,2,0,3,0.0,0
611,Jordan Zemura,left-back,55,53.48837209302325,18,0,35,45,32,2.1,29,39,302,297,222,808,16.2,48
