Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,TCmp,TAtt,TCmpp,TTD,TPD,SCmp,SAtt,SCmpp,MCmp,MAtt,MCmpp,LCmp,LAtt,LCmpp,LAst,LxAG,LxA,LAxAG,LKP,LFTP,LPPA,LCrsPA,LPrgP
257,Sheraldo Becker,SUR,FW,Union Berlin,Bundesliga,27,1995,28.4,387,652,59.4,6499,1541,183,271,67.52767527675276,140,220,63.63636363636363,47,85,55.294117647058826,7,5.6,5.6,1.4,44,20,44,30,44
258,Jan Bednarek,POL,DF,"Southampton,Aston Villa",Premier League,26,1996,19.700000000000003,813,968,174.4,15190,6026,309,354,87.28813559322035,413,452,91.3716814159292,82,136,60.29411764705882,0,0.1,0.2,-0.1,3,37,1,0,50
260,Donny van de Beek,NED,MF,Manchester Utd,Premier League,25,1997,1.9,46,61,75.4,502,115,31,34,91.17647058823529,8,8,100.0,1,2,50.0,0,0.1,0.1,-0.1,3,0,4,0,6
261,Asmir Begović,BIH,GK,Everton,Premier League,35,1987,1.0,21,30,70.0,584,423,3,3,100.0,10,10,100.0,8,17,47.05882352941176,0,0.0,0.0,0.0,0,0,0,0,0
262,Yanis Begraoui,MAR,"FW,MF",Toulouse,Ligue 1,21,2001,0.7,14,19,73.7,207,68,9,12,75.0,4,5,80.0,1,2,50.0,0,0.3,0.0,-0.3,2,1,1,0,3
263,Kevin Behrens,GER,FW,Union Berlin,Bundesliga,31,1991,17.1,283,483,58.6,4058,1156,161,249,64.65863453815261,89,145,61.37931034482759,19,28,67.85714285714286,1,1.3,1.6,-0.3,21,31,26,1,71
264,Alexis Beka Beka,FRA,"MF,DF",Nice,Ligue 1,21,2001,6.1,236,303,77.9,3971,967,123,145,84.82758620689656,82,103,79.6116504854369,24,42,57.14285714285714,0,0.1,0.2,-0.1,3,19,2,1,25
265,Jérémie Bela,ANG,"DF,MF",Clermont Foot,Ligue 1,29,1993,8.3,174,260,66.9,2397,917,99,133,74.43609022556392,61,84,72.61904761904762,4,17,23.52941176470588,1,0.2,0.4,0.8,3,20,7,3,24
266,Reda Belahyane,FRA,MF,Nice,Ligue 1,18,2004,2.0,103,114,90.4,1771,445,40,44,90.9090909090909,50,54,92.5925925925926,7,8,87.5,0,0.0,0.0,0.0,1,6,0,0,10
267,Youcef Belaïli,ALG,"MF,FW","Ajaccio,Brest",Ligue 1,30,1992,16.8,442,616,143.8,7861,2728,209,253,82.6086956521739,143,187,76.47058823529412,64,116,55.172413793103445,5,4.3,4.5,0.7,29,39,30,7,69
269,Haris Belkebla,ALG,MF,Brest,Ligue 1,28,1994,29.5,1033,1222,84.5,18238,4759,430,484,88.84297520661157,471,524,89.8854961832061,100,146,68.4931506849315,0,0.6,0.8,-0.6,10,107,9,1,129
270,Stefan Bell,GER,DF,Mainz 05,Bundesliga,30,1991,26.6,945,1248,75.7,18036,8543,356,419,84.96420047732697,453,519,87.28323699421965,124,260,47.69230769230769,1,0.6,0.8,0.4,8,67,9,1,92
