Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,TCmp,TAtt,TCmpp,TTD,TPD,SCmp,SAtt,SCmpp,MCmp,MAtt,MCmpp,LCmp,LAtt,LCmpp,LAst,LxAG,LxA,LAxAG,LKP,LFTP,LPPA,LCrsPA,LPrgP
423,Jens Cajuste,SWE,MF,Reims,Ligue 1,22,1999,17.0,606,739,82.0,11081,3065,251,297,84.51178451178451,266,312,85.25641025641025,72,98,73.46938775510205,1,1.2,0.9,-0.2,16,66,15,0,109
424,Cala,ESP,DF,Cádiz,La Liga,32,1989,1.5,30,38,78.9,792,274,4,5,80.0,14,17,82.35294117647058,12,16,75.0,0,0.0,0.0,0.0,0,0,0,0,2
425,Davide Calabria,ITA,DF,Milan,Serie A,25,1996,18.8,1040,1276,81.5,17672,5902,484,518,93.43629343629344,452,524,86.25954198473282,88,187,47.05882352941176,4,1.7,1.6,2.3,19,71,19,12,108
426,Mattia Caldara,ITA,DF,Spezia,Serie A,28,1994,13.9,461,600,76.8,8308,3214,183,220,83.18181818181817,223,270,82.5925925925926,45,93,48.38709677419355,0,0.0,0.1,0.0,1,23,1,0,35
427,Luca Caldirola,ITA,DF,Monza,Serie A,31,1991,26.1,1262,1435,87.9,22342,8287,534,555,96.21621621621622,592,653,90.6584992343032,109,179,60.893854748603346,0,0.5,0.3,-0.5,4,55,4,1,63
428,Fernando Calero,ESP,"DF,MF",Espanyol,La Liga,26,1995,17.9,617,765,80.7,11710,4547,245,275,89.0909090909091,289,335,86.26865671641791,78,139,56.11510791366906,1,0.6,0.4,0.4,4,58,3,0,64
429,Duje Ćaleta-Car,CRO,DF,"Southampton,Marseille","Premier League,Ligue 1",25,1996,10.6,482,570,184.5,9444,3520,155,173,89.59537572254335,270,291,92.78350515463917,53,93,56.98924731182796,0,0.0,0.2,0.0,1,26,0,0,33
431,Hakan Çalhanoğlu,TUR,MF,Inter,Serie A,28,1994,26.3,1396,1677,83.2,25576,7831,637,690,92.31884057971016,546,630,86.66666666666667,180,288,62.5,6,5.0,6.0,1.0,70,149,37,11,172
432,Kerim Calhanoglu,GER,DF,Schalke 04,Bundesliga,19,2002,0.7,30,42,71.4,574,388,14,16,87.5,10,15,66.66666666666666,6,8,75.0,0,0.2,0.2,-0.2,3,0,2,1,3
433,Daniel Caligiuri,ITA,"DF,MF",Augsburg,Bundesliga,34,1988,3.2,107,166,64.5,1897,934,47,57,82.45614035087719,42,71,59.154929577464785,13,29,44.827586206896555,0,0.4,0.3,-0.4,4,10,4,0,16
434,Alexander Callens,PER,DF,Girona,La Liga,30,1992,1.3,78,93,83.9,1206,505,35,40,87.5,38,47,80.85106382978722,1,2,50.0,0,0.0,0.0,0.0,0,5,1,0,6
435,Dominic Calvert-Lewin,ENG,FW,Everton,Premier League,25,1997,12.9,131,221,59.3,1575,318,83,125,66.4,29,54,53.70370370370371,5,8,62.5,1,0.8,0.8,0.2,9,13,4,0,15
436,Mahdi Camara,FRA,MF,Brest,Ligue 1,24,1998,20.2,578,703,82.2,8665,2082,289,331,87.31117824773413,227,272,83.45588235294117,23,35,65.71428571428571,0,0.4,0.5,-0.4,9,53,7,1,80
437,Mohamed Camara,GUI,MF,Roma,Serie A,25,1997,7.7,252,323,78.0,4178,844,125,143,87.41258741258741,105,129,81.3953488372093,18,31,58.06451612903226,0,0.4,0.5,-0.4,3,27,3,1,30
438,Mohamed Camara,MLI,MF,Monaco,Ligue 1,22,2000,24.4,1119,1284,87.1,21268,5952,435,484,89.87603305785123,501,549,91.2568306010929,153,203,75.36945812807882,3,2.2,1.5,0.8,18,121,15,2,135
439,Ousmane Camara,GUI,"FW,MF",Auxerre,Ligue 1,20,2001,0.3,7,8,87.5,157,60,1,1,100.0,5,5,100.0,1,2,50.0,0,0.2,0.1,-0.2,1,1,1,1,2
440,Ousmane Camara,FRA,DF,Angers,Ligue 1,19,2003,5.8,330,363,90.9,6431,2134,105,112,93.75,179,190,94.21052631578948,39,49,79.59183673469387,0,0.0,0.0,0.0,0,12,0,0,16
441,Eduardo Camavinga,FRA,"MF,DF",Real Madrid,La Liga,19,2002,22.3,1364,1504,90.7,21221,5654,711,763,93.18479685452162,517,548,94.34306569343066,89,112,79.46428571428571,1,1.5,2.2,-0.5,24,138,17,1,165
442,Nicolò Cambiaghi,ITA,"FW,MF",Empoli,Serie A,21,2000,14.3,321,432,74.3,4556,930,194,219,88.58447488584474,86,119,72.26890756302521,19,34,55.88235294117647,1,1.1,1.6,-0.1,15,19,18,5,42
443,Andrea Cambiaso,ITA,DF,Bologna,Serie A,22,2000,24.1,1277,1521,84.0,19674,6031,686,753,91.10225763612218,472,541,87.24584103512015,83,144,57.638888888888886,3,2.4,1.6,0.6,28,48,24,7,83
444,Axel Camblan,FRA,"FW,MF",Brest,Ligue 1,18,2003,0.8,19,27,70.4,196,46,13,15,86.66666666666667,3,5,60.0,0,2,0.0,0,0.1,0.1,-0.1,2,0,0,0,4
445,Sergio Camello,ESP,FW,Rayo Vallecano,La Liga,21,2001,26.7,408,523,78.0,5782,733,235,285,82.45614035087719,126,156,80.76923076923077,20,28,71.42857142857143,5,2.4,1.7,2.6,28,15,13,0,42
446,Chem Campbell,WAL,"FW,MF",Wolves,Premier League,19,2002,0.8,23,32,71.9,344,64,10,11,90.9090909090909,13,14,92.85714285714286,0,5,0.0,0,0.0,0.0,0.0,0,2,0,0,4
447,Emre Can,GER,MF,Dortmund,Bundesliga,28,1994,21.1,1153,1288,89.5,20793,5986,446,483,92.33954451345755,545,586,93.00341296928327,122,158,77.21518987341773,1,1.3,1.4,-0.3,20,111,7,1,99
448,Sergio Canales,ESP,"FW,MF",Betis,La Liga,31,1991,26.7,1116,1474,75.7,16689,4491,623,697,89.38307030129124,319,407,78.37837837837837,99,211,46.91943127962085,3,5.9,5.1,-2.9,56,94,51,14,143
449,Matteo Cancellieri,ITA,FW,Lazio,Serie A,20,2002,2.8,61,87,70.1,757,98,44,50,88.0,15,25,60.0,0,5,0.0,0,0.4,0.3,-0.4,3,1,1,1,2
450,João Cancelo,POR,DF,"Manchester City,Bayern Munich","Premier League,Bundesliga",28,1994,25.4,1749,2081,167.7,28179,7419,979,1051,93.14938154138915,617,738,83.60433604336043,130,210,61.904761904761905,5,3.1999999999999997,4.3,1.8,25,135,57,15,167
452,Antonio Candreva,ITA,"MF,DF",Salernitana,Serie A,35,1987,30.3,1165,1597,72.9,19672,6882,604,660,91.51515151515152,393,536,73.32089552238806,124,285,43.50877192982456,4,4.7,4.9,-0.7,57,98,55,30,135
453,Thomas Cannon,IRL,FW,Everton,Premier League,19,2002,0.3,4,5,80.0,37,0,3,4,75.0,1,1,100.0,0,0,,0,0.5,0.0,-0.5,1,0,0,0,0
454,Sergi Canós,ESP,"FW,DF",Brentford,Premier League,25,1997,0.9,23,43,53.5,268,76,14,18,77.77777777777779,4,15,26.666666666666668,1,2,50.0,0,0.0,0.0,0.0,1,2,1,0,2
455,Ander Capa,ESP,DF,Athletic Club,La Liga,30,1992,1.2,74,91,81.3,1275,441,31,35,88.57142857142857,30,37,81.08108108108108,8,12,66.66666666666666,0,0.0,0.1,0.0,1,5,2,1,12
456,Pierrick Capelle,FRA,"MF,DF",Angers,Ligue 1,35,1987,15.9,590,714,82.6,10044,2766,287,321,89.40809968847351,236,274,86.13138686131386,49,88,55.68181818181818,3,1.2,1.2,1.8,13,58,7,5,66
457,Étienne Capoue,FRA,MF,Villarreal,La Liga,34,1988,21.7,915,1043,87.7,14387,3476,469,516,90.89147286821705,362,393,92.1119592875318,52,78,66.66666666666666,0,1.1,1.0,-1.1,10,115,8,1,98
458,Gianluca Caprari,ITA,"MF,FW",Monza,Serie A,29,1993,27.1,853,1082,78.8,13026,2612,495,561,88.23529411764706,250,322,77.63975155279503,70,100,70.0,2,2.5,2.8,-0.5,29,56,30,4,92
459,Francesco Caputo,ITA,FW,"Sampdoria,Empoli",Serie A,34,1987,31.2,403,569,141.7,4871,854,256,336,76.19047619047619,95,129,73.64341085271317,9,15,60.0,4,2.7,1.7000000000000002,1.3,29,20,7,0,32
461,Maxence Caqueret,FRA,MF,Lyon,Ligue 1,22,2000,30.7,1480,1785,82.9,23941,7380,725,828,87.56038647342996,585,653,89.58652373660031,112,189,59.25925925925925,7,5.1,6.1,1.9,60,196,29,8,183
462,Andrea Carboni,ITA,DF,Monza,Serie A,21,2001,1.9,69,87,79.3,1170,558,33,38,86.8421052631579,29,31,93.54838709677419,7,14,50.0,0,0.1,0.3,-0.1,1,3,2,2,9
463,Franco Carboni,ITA,"DF,FW",Monza,Serie A,19,2003,0.7,33,50,66.0,529,140,19,20,95.0,12,15,80.0,2,5,40.0,0,0.0,0.0,0.0,1,3,2,1,2
464,Valentin Carboni,ARG,"MF,DF",Inter,Serie A,17,2005,0.3,12,17,70.6,192,12,5,7,71.42857142857143,4,6,66.66666666666666,2,2,100.0,0,0.0,0.0,0.0,1,0,0,0,1
465,Isaac Carcelen,ESP,DF,Cádiz,La Liga,29,1993,24.4,747,961,77.7,12672,4769,358,396,90.40404040404042,308,394,78.1725888324873,64,124,51.61290322580645,1,1.3,1.8,-0.3,16,65,17,12,85
466,Irvin Cardona,FRA,"FW,MF","Brest,Augsburg","Ligue 1,Bundesliga",24,1997,6.1,70,132,107.2,920,187,43,32,134.375,18,38,47.368421052631575,3,14,21.428571428571427,0,0.4,0.1,-0.4,3,6,1,0,7
468,Igor Carioca,BRA,DF,Lorient,Ligue 1,25,1996,5.1,224,274,81.8,3429,1228,119,133,89.47368421052632,86,102,84.31372549019608,12,23,52.17391304347826,0,0.5,0.3,-0.5,2,17,5,1,22
469,Carlos,BRA,DF,Monza,Serie A,23,1999,34.3,1430,1719,83.2,22788,6775,743,811,91.61528976572133,566,665,85.11278195488721,82,133,61.65413533834586,5,3.7,3.4,1.3,26,75,27,7,101
470,Diego Carlos,BRA,DF,Aston Villa,Premier League,29,1993,2.3,112,142,78.9,2338,881,35,41,85.36585365853658,60,71,84.50704225352112,17,28,60.71428571428571,0,0.0,0.1,0.0,1,9,1,0,11
471,Juan Carlos,ESP,GK,Girona,La Liga,34,1988,10.0,288,340,84.7,7160,4635,52,53,98.11320754716981,170,176,96.5909090909091,66,111,59.45945945945946,0,0.0,0.0,0.0,0,1,0,0,0
472,José Carlos Lazo,ESP,"MF,FW","Almería,Espanyol",La Liga,26,1996,2.0,28,39,146.4,384,57,13,17,76.47058823529412,11,12,91.66666666666666,2,5,40.0,1,0.2,0.1,0.8,2,0,3,1,4
474,Carmona,ESP,"MF,DF","Elche,Sevilla",La Liga,20,2002,12.4,398,516,150.9,6329,2109,212,242,87.60330578512396,155,201,77.11442786069652,25,48,52.083333333333336,1,0.5,0.2,0.5,6,30,5,2,21
476,Marco Carnesecchi,ITA,GK,Cremonese,Serie A,22,2000,27.0,565,954,59.2,18072,14248,99,100,99.0,231,237,97.46835443037975,229,605,37.85123966942149,1,0.2,0.1,0.8,2,33,1,0,0
477,Yannick Carrasco,BEL,"DF,MF",Atlético Madrid,La Liga,28,1993,25.7,863,1091,79.1,11833,3379,565,612,92.3202614379085,210,277,75.81227436823104,42,97,43.29896907216495,3,4.1,4.1,-1.1,47,35,36,7,84
478,Dani Carvajal,ESP,DF,Real Madrid,La Liga,30,1992,19.8,1133,1333,85.0,18356,4041,607,664,91.41566265060241,416,483,86.12836438923395,86,123,69.91869918699187,2,2.0,2.0,0.0,22,57,21,8,58
479,Fabio Carvalho,POR,"MF,FW",Liverpool,Premier League,19,2002,3.9,117,143,81.8,1555,281,72,84,85.71428571428571,30,37,81.08108108108108,5,6,83.33333333333334,0,0.1,0.3,-0.1,1,7,2,0,12
480,Matis Carvalho,POR,GK,Montpellier,Ligue 1,23,1999,1.5,21,53,39.6,924,794,1,1,100.0,5,5,100.0,15,46,32.608695652173914,0,0.0,0.0,0.0,0,1,0,0,0
481,William Carvalho,POR,MF,Betis,La Liga,30,1992,27.1,1510,1745,86.5,24743,7482,786,859,91.50174621653086,525,599,87.64607679465777,148,194,76.28865979381443,1,1.6,2.1,-0.6,22,170,23,1,203
482,Nicolò Casale,ITA,DF,Lazio,Serie A,24,1998,27.1,1485,1616,91.9,26275,9500,591,633,93.36492890995261,701,741,94.60188933873145,142,169,84.02366863905326,1,0.3,0.6,0.7,4,55,1,0,70
483,Casemiro,BRA,MF,"Manchester Utd,Real Madrid","Premier League,La Liga",30,1992,23.700000000000003,1121,1447,164.9,19935,7401,521,620,84.03225806451613,446,545,81.8348623853211,127,206,61.6504854368932,3,3.1,3.9,-0.1,28,137,23,4,152
485,Matty Cash,POL,DF,Aston Villa,Premier League,24,1997,20.2,777,1006,77.2,13672,4595,345,384,89.84375,361,441,81.85941043083899,61,139,43.884892086330936,1,0.7,0.9,0.3,8,57,15,9,75
486,Tommaso Cassandro,ITA,DF,Lecce,Serie A,22,2000,0.1,6,6,100.0,125,104,3,3,100.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,1,0,0
487,Timothy Castagne,BEL,DF,Leicester City,Premier League,26,1995,36.2,1470,1836,80.1,21125,8419,895,998,89.67935871743487,470,586,80.2047781569966,60,132,45.45454545454545,3,2.6,2.2,0.4,22,89,20,10,106
488,Michele Castagnetti,ITA,MF,Cremonese,Serie A,32,1989,15.7,624,807,77.3,10942,4257,284,331,85.80060422960725,263,328,80.1829268292683,62,113,54.86725663716814,1,1.8,1.9,-0.8,26,95,16,3,120
489,Koen Casteels,BEL,GK,Wolfsburg,Bundesliga,30,1992,34.0,1220,1585,77.0,36421,25230,171,172,99.4186046511628,544,552,98.55072463768117,503,858,58.624708624708624,1,0.7,0.1,0.3,1,40,0,0,2
490,Valentín Castellanos,ARG,FW,Girona,La Liga,23,1998,28.9,244,397,61.5,3345,704,144,200,72.0,74,125,59.199999999999996,12,17,70.58823529411765,0,1.7,2.3,-1.7,15,17,16,1,34
491,Jean-Charles Castelletto,CMR,DF,Nantes,Ligue 1,27,1995,28.5,1130,1373,82.3,21032,8232,417,484,86.15702479338843,567,638,88.87147335423198,113,199,56.78391959798995,0,0.4,1.1,-0.4,5,103,9,4,120
492,Samu Castillejo,ESP,"FW,MF",Valencia,La Liga,27,1995,15.1,474,622,76.2,7687,2158,251,284,88.38028169014085,159,197,80.71065989847716,44,90,48.888888888888886,0,3.0,2.7,-3.0,30,49,21,6,76
493,Jonny Castro,ESP,DF,Wolves,Premier League,28,1994,14.0,701,832,84.3,11101,3638,382,419,91.16945107398568,264,305,86.55737704918033,44,62,70.96774193548387,0,1.0,0.8,-1.0,5,60,10,2,70
494,Gaetano Castrovilli,ITA,MF,Fiorentina,Serie A,25,1997,8.0,188,241,78.0,2876,559,103,116,88.79310344827587,58,69,84.05797101449275,17,38,44.73684210526316,1,1.1,1.0,-0.1,8,10,4,1,14
495,Danilo Cataldi,ITA,MF,Lazio,Serie A,27,1994,21.3,1147,1325,86.6,17538,6173,658,708,92.93785310734464,354,410,86.34146341463415,94,142,66.19718309859155,1,1.1,1.5,-0.1,16,99,9,0,83
496,Catena,ESP,DF,Rayo Vallecano,La Liga,27,1994,34.5,1505,1825,82.5,36676,15330,299,340,87.94117647058823,841,914,92.01312910284464,361,538,67.1003717472119,1,1.4,0.6,-0.4,7,134,3,0,119
497,Yoann Cathline,FRA,"FW,MF",Lorient,Ligue 1,20,2002,12.1,241,361,66.8,3681,1269,134,170,78.82352941176471,82,129,63.565891472868216,17,37,45.94594594594595,1,0.7,0.7,0.3,6,14,13,6,29
498,Maximiliano Caufriez,BEL,DF,Clermont Foot,Ligue 1,25,1997,24.7,996,1126,88.5,17670,6475,421,459,91.72113289760348,446,487,91.58110882956879,102,140,72.85714285714285,0,0.0,0.3,0.0,0,67,4,0,92
499,Edinson Cavani,URU,FW,Valencia,La Liga,35,1987,16.1,263,354,74.3,4029,556,161,203,79.3103448275862,73,94,77.6595744680851,22,27,81.48148148148148,2,1.7,1.1,0.3,12,14,4,0,20
500,Dani Ceballos,ESP,MF,Real Madrid,La Liga,25,1996,17.4,1362,1504,90.6,21362,6610,745,785,94.90445859872611,445,475,93.6842105263158,117,146,80.13698630136986,4,2.1,2.0,1.9,30,198,18,1,204
501,Pietro Ceccaroni,ITA,DF,Lecce,Serie A,26,1995,0.5,10,14,71.4,187,78,6,6,100.0,2,4,50.0,2,4,50.0,0,0.2,0.0,-0.2,1,0,0,0,0
502,Federico Ceccherini,ITA,DF,Hellas Verona,Serie A,30,1992,15.7,479,623,76.9,8667,3491,199,225,88.44444444444444,219,261,83.9080459770115,52,98,53.06122448979592,0,0.2,0.3,-0.2,5,43,7,2,53
503,Assan Ceesay,GAM,FW,Lecce,Serie A,28,1994,20.1,226,394,57.4,2930,366,128,193,66.32124352331607,62,106,58.490566037735846,12,28,42.857142857142854,0,0.8,0.7,-0.8,8,13,5,1,16
504,Emil Ceide,NOR,FW,Sassuolo,Serie A,20,2001,5.7,123,169,72.8,1571,499,89,103,86.40776699029125,24,36,66.66666666666666,4,7,57.14285714285714,1,1.3,0.9,-0.3,8,7,9,1,19
505,Zeki Çelik,TUR,DF,Roma,Serie A,25,1997,16.7,697,927,75.2,11222,4779,365,408,89.4607843137255,250,323,77.39938080495357,59,124,47.58064516129033,1,1.6,1.4,-0.6,16,55,24,7,67
506,Álex Centelles,ESP,DF,Almería,La Liga,24,1997,12.5,412,577,71.4,7029,2965,190,223,85.20179372197309,170,216,78.70370370370371,37,97,38.144329896907216,2,1.3,1.1,0.7,13,32,9,6,35
507,Fabien Centonze,FRA,DF,Nantes,Ligue 1,26,1996,18.8,715,945,75.7,11285,4732,364,437,83.29519450800915,275,352,78.125,47,97,48.45360824742268,0,0.9,0.9,-0.9,12,59,21,12,102
508,Michele Cerofolini,ITA,GK,Fiorentina,Serie A,23,1999,5.0,148,195,75.9,3964,2708,27,27,100.0,71,71,100.0,49,96,51.041666666666664,0,0.0,0.0,0.0,0,1,0,0,0
509,Franco Cervi,ARG,"MF,DF",Celta Vigo,La Liga,28,1994,21.0,620,874,70.9,9395,3007,348,410,84.8780487804878,207,272,76.10294117647058,44,109,40.36697247706422,4,2.7,2.9,1.3,27,49,26,9,69
510,Julio César Enciso,PAR,"FW,MF",Brighton,Premier League,18,2004,9.0,179,258,69.4,2242,548,126,167,75.44910179640718,45,66,68.18181818181817,3,8,37.5,2,1.7,1.4,0.3,13,14,9,0,31
511,Julian Chabot,GER,DF,Köln,Bundesliga,24,1998,20.0,975,1184,82.3,18978,6050,320,359,89.13649025069638,560,635,88.18897637795276,89,171,52.046783625730995,2,2.0,0.8,0.0,4,45,0,0,52
512,Florian Chabrolle,FRA,MF,Ajaccio,Ligue 1,24,1998,3.7,120,138,87.0,1822,345,60,65,92.3076923076923,49,57,85.96491228070175,4,9,44.44444444444444,0,0.0,0.1,0.0,0,7,2,0,14
513,El Chadaille Bitshiabu,FRA,DF,Paris S-G,Ligue 1,17,2005,6.5,430,465,92.5,7453,2477,184,193,95.33678756476684,200,216,92.5925925925926,33,41,80.48780487804879,0,0.1,0.1,-0.1,1,26,1,0,23
514,Fares Chaïbi,ALG,"FW,MF",Toulouse,Ligue 1,19,2002,26.0,742,1018,72.9,11489,3144,398,486,81.89300411522635,252,324,77.77777777777779,56,121,46.28099173553719,5,4.9,4.5,0.1,30,68,27,5,101
515,Nathaniel Chalobah,ENG,MF,Fulham,Premier League,27,1994,0.1,4,5,80.0,67,9,2,2,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0
516,Trevoh Chalobah,ENG,DF,Chelsea,Premier League,23,1999,17.9,1051,1200,87.6,18603,5316,419,467,89.72162740899357,551,594,92.76094276094277,70,107,65.42056074766354,0,0.3,0.3,-0.3,4,64,3,1,71
517,Muhammed Cham,AUT,MF,Clermont Foot,Ligue 1,21,2000,21.9,813,1038,78.3,12971,3167,409,479,85.38622129436325,288,345,83.47826086956522,71,130,54.61538461538461,4,3.1,4.1,0.9,31,62,35,3,106
518,Calum Chambers,ENG,"DF,MF",Aston Villa,Premier League,27,1995,3.9,157,207,75.8,2924,1310,66,76,86.8421052631579,77,94,81.91489361702128,14,31,45.16129032258064,0,0.3,0.2,-0.3,2,9,2,1,16
519,Timothy Chandler,USA,DF,Eint Frankfurt,Bundesliga,32,1990,1.0,36,61,59.0,770,554,8,20,40.0,18,25,72.0,8,10,80.0,0,0.0,0.1,0.0,1,7,0,0,7
520,Gaëtan Charbonnier,FRA,"FW,MF",Auxerre,Ligue 1,33,1988,2.8,79,89,88.8,1359,298,36,42,85.71428571428571,33,36,91.66666666666666,7,7,100.0,0,0.2,0.1,-0.2,3,5,5,0,11
521,Brendan Chardonnet,FRA,DF,Brest,Ligue 1,27,1994,27.7,1060,1318,80.4,23796,9346,292,334,87.42514970059881,546,608,89.80263157894737,201,338,59.46745562130178,0,0.4,0.7,-0.4,8,96,11,3,80
522,Shea Charles,NIR,DF,Manchester City,Premier League,18,2003,0.3,23,25,92.0,456,106,7,8,87.5,13,13,100.0,3,3,100.0,0,0.0,0.0,0.0,0,3,0,0,1
523,Xavier Chavalerin,FRA,MF,Troyes,Ligue 1,31,1991,27.0,875,1068,81.9,14453,4866,415,465,89.24731182795699,349,403,86.60049627791562,69,119,57.98319327731093,2,2.3,2.2,-0.3,22,77,12,5,95
524,Pep Chavarría,ESP,"FW,MF",Rayo Vallecano,La Liga,24,1998,4.1,126,178,70.8,1933,743,65,77,84.4155844155844,45,57,78.94736842105263,8,18,44.44444444444444,2,0.7,0.5,1.3,11,7,8,2,19
525,Ivane Chegra,FRA,"MF,FW",Ajaccio,Ligue 1,18,2004,2.1,21,40,52.5,447,232,6,15,40.0,10,13,76.92307692307693,4,9,44.44444444444444,0,0.1,0.1,-0.1,1,5,1,0,7
526,Pape Cheikh Diop,SEN,MF,Elche,La Liga,24,1997,0.4,14,19,73.7,222,71,8,9,88.88888888888889,6,8,75.0,0,2,0.0,0,0.0,0.0,0.0,0,1,0,0,1
527,Rayan Cherki,FRA,"MF,FW",Lyon,Ligue 1,18,2003,20.8,844,1094,77.1,13798,3601,433,505,85.74257425742574,278,353,78.75354107648725,92,159,57.861635220125784,6,7.2,9.0,-1.2,66,71,60,4,144
528,Ilyes Cheti,ALG,DF,Angers,Ligue 1,27,1995,2.3,102,118,86.4,1692,467,50,56,89.28571428571429,37,40,92.5,10,15,66.66666666666666,0,0.2,0.0,-0.2,1,6,1,1,4
529,Lucas Chevalier,FRA,GK,Lille,Ligue 1,20,2001,32.0,779,1010,77.1,17580,12052,223,224,99.55357142857143,401,408,98.2843137254902,146,367,39.782016348773844,0,0.6,0.2,-0.6,2,19,0,0,0
530,Fabio Chiarodia,ITA,DF,Werder Bremen,Bundesliga,17,2005,0.7,15,22,68.2,335,140,3,6,50.0,8,9,88.88888888888889,4,5,80.0,0,0.0,0.0,0.0,0,3,0,0,4
531,Federico Chiesa,ITA,"DF,MF",Juventus,Serie A,24,1997,9.5,246,338,72.8,3806,1114,135,163,82.82208588957054,87,119,73.10924369747899,14,26,53.84615384615385,5,2.6,1.7,2.4,20,25,15,6,34
532,Ben Chilwell,ENG,"DF,MF",Chelsea,Premier League,25,1996,15.6,762,977,78.0,10963,3238,469,507,92.50493096646942,223,284,78.52112676056338,42,123,34.146341463414636,2,2.2,2.4,-0.2,21,42,10,7,41
533,Vlad Chiricheș,ROU,DF,Cremonese,Serie A,32,1989,10.9,344,410,83.9,6776,3146,119,128,92.96875,178,203,87.68472906403942,41,68,60.29411764705882,0,0.0,0.0,0.0,1,17,0,0,18
534,Pedro Chirivella,ESP,MF,Nantes,Ligue 1,25,1997,22.5,1163,1360,85.5,21412,6260,493,528,93.37121212121212,465,522,89.08045977011494,159,239,66.52719665271967,1,1.7,0.8,-0.7,24,182,12,1,172
535,Joris Chotard,FRA,MF,Montpellier,Ligue 1,20,2001,27.3,867,1092,79.4,15720,5467,354,414,85.5072463768116,364,425,85.6470588235294,110,183,60.10928961748634,6,3.5,2.7,2.5,27,89,19,3,105
536,Andreas Christensen,DEN,DF,Barcelona,La Liga,26,1996,19.6,1416,1507,94.0,25804,8685,549,580,94.6551724137931,740,761,97.24047306176085,113,142,79.5774647887324,1,0.5,0.9,0.5,6,114,4,0,91
537,Oliver Christensen,DEN,GK,Hertha BSC,Bundesliga,23,1999,33.0,777,1218,63.8,23464,18548,132,132,100.0,346,353,98.01699716713881,299,727,41.12792297111417,0,0.0,0.1,0.0,0,13,0,0,2
538,Ryan Christie,SCO,"MF,FW",Bournemouth,Premier League,27,1995,20.4,521,651,80.0,8356,2028,279,327,85.3211009174312,175,196,89.28571428571429,47,81,58.0246913580247,1,2.4,2.0,-1.4,30,43,19,2,71
539,Carney Chukwuemeka,ENG,"MF,FW",Chelsea,Premier League,18,2003,3.9,179,203,88.2,2291,502,126,140,90.0,33,37,89.1891891891892,8,8,100.0,0,0.6,0.6,-0.6,8,11,7,2,23
540,Samuel Chukwueze,NGA,"FW,MF",Villarreal,La Liga,23,1999,26.0,697,908,76.8,10572,2312,402,467,86.0813704496788,229,289,79.23875432525952,50,76,65.78947368421053,5,4.3,4.4,0.7,44,35,45,7,85
541,Darko Churlinov,MKD,FW,Stuttgart,Bundesliga,22,2000,0.3,0,0,0.0,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
542,Víctor Chust,ESP,DF,Cádiz,La Liga,22,2000,10.7,364,440,82.7,8016,2967,105,118,88.98305084745762,172,192,89.58333333333334,78,113,69.02654867256636,0,0.0,0.1,0.0,1,22,1,0,22
543,Tolga Ciğerci,TUR,MF,Hertha BSC,Bundesliga,30,1992,7.5,326,420,77.6,5350,1484,146,169,86.3905325443787,150,185,81.08108108108108,22,43,51.162790697674424,1,0.3,0.5,0.7,5,23,2,1,32
544,Yanis Cimignani,FRA,"MF,DF",Ajaccio,Ligue 1,20,2002,3.1,75,113,66.4,1245,267,41,51,80.3921568627451,25,40,62.5,8,14,57.14285714285714,0,0.1,0.1,-0.1,3,1,2,2,0
545,Daniel Ciofani,ITA,FW,Cremonese,Serie A,37,1985,11.8,120,195,61.5,1690,427,64,92,69.56521739130434,34,54,62.96296296296296,10,16,62.5,0,0.7,0.9,-0.7,10,13,4,0,10
546,Tio Cipot,SVN,"FW,MF",Spezia,Serie A,19,2003,1.5,40,59,67.8,522,155,25,27,92.5925925925926,13,18,72.22222222222221,1,6,16.666666666666664,0,0.1,0.1,-0.1,3,2,2,1,5
547,Pathé Ciss,SEN,"MF,DF",Rayo Vallecano,La Liga,28,1994,14.2,575,700,82.1,11074,3062,226,268,84.32835820895522,273,307,88.92508143322475,70,96,72.91666666666666,0,0.3,0.3,-0.3,6,63,4,0,65
548,Souleymane Cissé,FRA,DF,Clermont Foot,Ligue 1,19,2002,0.4,8,11,72.7,128,9,5,5,100.0,3,5,60.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
549,Patrick Ciurria,ITA,"DF,MF",Monza,Serie A,27,1995,30.6,1061,1335,79.5,16691,5156,563,633,88.94154818325435,387,493,78.49898580121703,76,140,54.285714285714285,5,5.5,3.3,-0.5,36,67,31,14,91
550,Bobby Clark,ENG,MF,Liverpool,Premier League,17,2005,0.1,1,1,100.0,29,17,0,0,,1,1,100.0,0,0,,0,0.0,0.1,0.0,0,0,1,0,1
551,Alexis Claude-Maurice,FRA,FW,"Nice,Lens",Ligue 1,24,1998,7.4,221,265,163.8,2968,574,134,149,89.93288590604027,67,80,83.75,6,12,50.0,3,1.3,0.9,1.7,8,17,8,0,27
553,Jonathan Clauss,FRA,DF,Marseille,Ligue 1,29,1992,28.8,1091,1461,74.7,17647,6285,553,671,82.41430700447094,426,542,78.59778597785979,74,150,49.333333333333336,9,8.4,7.2,0.6,49,90,54,23,121
