Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA_p90,SoTA,Saves,Savep,W,D,L,CS,CSp,PKatt,PKA,PKsv,PKm,PKSp
144,Simone Perilli,ITA,GK,Hellas Verona,Serie A,27,1995,1,1,90,1,0,0.00,4,4,100.00,0,1,0,1,100.00,0,0,0,0,#DIV/0!
145,Mattia Perin,ITA,GK,Juventus,Serie A,29,1992,11,10,948,10.5,7,0.67,40,32,80.00,5,3,2,6,60.00,2,1,1,0,50.00
146,Samuele Perisan,ITA,GK,Empoli,Serie A,24,1997,7,7,630,7,9,1.29,24,15,62.50,1,1,5,2,28.57,0,0,0,0,#DIV/0!
147,Jordan Pickford,ENG,GK,Everton,Premier League,28,1994,37,37,3330,37,57,1.54,181,123,67.96,7,12,18,8,21.62,6,5,1,0,16.67
148,Nick Pope,ENG,GK,Newcastle Utd,Premier League,30,1992,37,37,3261,36.2,32,0.88,118,85,72.03,19,13,5,14,37.84,5,2,2,1,50.00
149,Ivan Provedel,ITA,GK,Lazio,Serie A,28,1994,38,37,3413,37.9,30,0.79,128,99,77.34,21,8,8,21,56.76,2,1,0,1,0.00
150,Ghjuvanni Quilichini,FRA,GK,Ajaccio,Ligue 1,19,2002,1,0,82,0.9,0,0.00,4,4,100.00,0,0,0,1,#DIV/0!,0,0,0,0,#DIV/0!
151,Ionu? Radu,ROU,GK,"Cremonese,Auxerre","Serie A,Ligue 1",25,1997,26,26,2340,26,39,1.50,138,98,71.01,4,9,13,6,23.08,5,3,2,0,40.00
153,Predrag Rajkovi?,SRB,GK,Mallorca,La Liga,26,1995,36,36,3240,36,40,1.11,133,92,69.17,13,8,15,12,33.33,7,6,1,0,14.29
154,Diant Ramaj,GER,GK,Eint Frankfurt,Bundesliga,20,2001,1,1,90,1,1,1.00,5,4,80.00,0,1,0,0,0.00,0,0,0,0,#DIV/0!
155,Aaron Ramsdale,ENG,GK,Arsenal,Premier League,24,1998,38,38,3420,38,43,1.13,136,94,69.12,26,6,6,14,36.84,5,3,0,2,0.00
156,Nicola Ravaglia,ITA,GK,Sampdoria,Serie A,33,1988,9,9,810,9,23,2.56,64,41,64.06,0,3,6,0,0.00,2,2,0,0,0.00
157,David Raya,ESP,GK,Brentford,Premier League,26,1995,38,38,3420,38,46,1.21,197,154,78.17,15,14,9,12,31.58,2,2,0,0,0.00
158,Pepe Reina,ESP,GK,Villarreal,La Liga,39,1982,22,22,1980,22,27,1.23,87,61,70.11,13,3,6,5,22.73,4,4,0,0,0.00
159,Álex Remiro,ESP,GK,Real Sociedad,La Liga,27,1995,38,38,3420,38,35,0.92,133,99,74.44,21,8,9,15,39.47,2,1,1,0,50.00
160,Manuel Riemann,GER,GK,Bochum,Bundesliga,33,1988,34,34,3060,34,72,2.12,200,128,64.00,10,5,19,5,14.71,14,8,3,3,27.27
161,Rémy Riou,FRA,GK,Lyon,Ligue 1,34,1987,7,6,601,6.7,8,1.19,24,17,70.83,2,4,0,1,16.67,4,4,0,0,0.00
162,Joel Robles,ESP,GK,Leeds United,Premier League,32,1990,4,4,360,4,11,2.75,27,16,59.26,0,1,3,0,0.00,3,2,0,1,0.00
163,Marek Rodák,SVK,GK,Fulham,Premier League,25,1996,2,2,180,2,2,1.00,4,2,50.00,0,2,0,1,50.00,0,0,0,0,#DIV/0!
164,Leonardo Román,ESP,GK,Mallorca,La Liga,22,2000,1,1,90,1,0,0.00,4,4,100.00,1,0,0,1,100.00,0,0,0,0,#DIV/0!
165,Francesco Rossi,ITA,GK,Atalanta,Serie A,31,1991,1,0,4,0,0,#DIV/0!,0,0,#DIV/0!,0,0,0,0,#DIV/0!,0,0,0,0,#DIV/0!
166,Gerónimo Rulli,ARG,GK,Villarreal,La Liga,30,1992,14,14,1260,14,10,0.71,56,46,82.14,6,3,5,7,50.00,0,0,0,0,#DIV/0!
167,Alessandro Russo,ITA,GK,Sassuolo,Serie A,21,2001,1,1,90,1,3,3.00,7,4,57.14,0,0,1,0,0.00,0,0,0,0,#DIV/0!
168,Frederik Rønnow,DEN,GK,Union Berlin,Bundesliga,29,1992,29,29,2610,29,27,0.93,119,92,77.31,16,7,6,11,37.93,5,5,0,0,0.00
169,José Sá,POR,GK,Wolves,Premier League,29,1993,36,36,3240,36,55,1.53,161,105,65.22,11,7,18,11,30.56,4,2,2,0,50.00
170,Brice Samba,FRA,GK,Lens,Ligue 1,28,1994,37,37,3330,37,28,0.76,125,98,78.40,24,9,4,15,40.54,3,3,0,0,0.00
171,Robert Sánchez,ESP,GK,Brighton,Premier League,24,1997,23,23,2070,23,30,1.30,74,46,62.16,11,5,7,6,26.09,6,5,1,0,16.67
172,Mouhamadou Sarr,SEN,GK,Cremonese,Serie A,25,1997,2,2,180,2,3,1.50,8,5,62.50,1,0,1,1,50.00,0,0,0,0,#DIV/0!
173,Kasper Schmeichel,DEN,GK,Nice,Ligue 1,35,1986,36,36,3240,36,35,0.97,141,105,74.47,15,12,9,11,30.56,5,3,1,1,25.00
174,Marvin Schwäbe,GER,GK,Köln,Bundesliga,27,1995,34,34,3060,34,54,1.59,129,77,59.69,10,12,12,6,17.65,5,4,1,0,20.00
175,Alexander Schwolow,GER,GK,Schalke 04,Bundesliga,30,1992,23,22,2035,22.6,58,2.57,138,80,57.97,4,4,14,2,9.09,4,4,0,0,0.00
176,Matz Sels,BEL,GK,Strasbourg,Ligue 1,30,1992,38,38,3420,38,59,1.55,174,115,66.09,9,13,16,6,15.79,11,10,0,1,0.00
177,Luigi Sepe,ITA,GK,Salernitana,Serie A,31,1991,17,17,1530,17,27,1.59,87,57,65.52,4,5,8,3,17.65,7,4,3,0,42.86
178,Rui Silva,POR,GK,Betis,La Liga,28,1994,26,26,2340,26,32,1.23,104,73,70.19,12,4,10,9,34.62,2,2,0,0,0.00
179,Marco Silvestri,ITA,GK,Udinese,Serie A,31,1991,38,38,3420,38,48,1.26,137,91,66.42,11,13,14,10,26.32,7,6,0,1,0.00
180,Unai Simón,ESP,GK,Athletic Club,La Liga,25,1997,31,31,2745,30.5,37,1.21,104,70,67.31,13,6,12,9,29.03,3,3,0,0,0.00
181,Tobias Sippel,GER,GK,M'Gladbach,Bundesliga,34,1988,6,5,510,5.7,12,2.11,33,21,63.64,1,1,3,1,20.00,1,1,0,0,0.00
182,Salvatore Sirigu,ITA,GK,Fiorentina,Serie A,35,1987,1,1,90,1,0,0.00,5,5,100.00,1,0,0,1,100.00,0,0,0,0,#DIV/0!
183,?ukasz Skorupski,POL,GK,Bologna,Serie A,31,1991,37,37,3330,37,49,1.32,161,113,70.19,13,12,12,7,18.92,9,7,2,0,22.22
184,François-Joseph Sollacaro,FRA,GK,Ajaccio,Ligue 1,28,1994,6,6,540,6,14,2.33,24,11,45.83,1,1,4,1,16.67,1,1,0,0,0.00
185,Yann Sommer,SUI,GK,"Bayern Munich,M'Gladbach","Bundesliga,Bundesliga",33,1988,29,29,2610,29,39,1.34,115,77,66.96,15,8,6,8,27.59,9,9,0,0,0.00
187,David Soria,ESP,GK,Getafe,La Liga,29,1993,38,38,3420,38,45,1.18,166,119,71.69,10,12,16,13,34.21,8,4,4,0,50.00
188,Marco Sportiello,ITA,GK,Atalanta,Serie A,30,1992,15,14,1339,14.9,21,1.41,64,43,67.19,6,3,5,2,14.29,1,1,0,0,0.00
189,Jason Steele,ENG,GK,Brighton,Premier League,31,1990,15,15,1350,15,23,1.53,57,36,63.16,7,3,5,6,40.00,2,1,1,0,50.00
190,Mile Svilar,SRB,GK,Roma,Serie A,22,1999,3,3,270,3,3,1.00,10,7,70.00,1,1,1,1,33.33,0,0,0,0,#DIV/0!
191,Wojciech Szcz?sny,POL,GK,Juventus,Serie A,32,1990,28,28,2472,27.5,26,0.95,93,67,72.04,17,3,8,14,50.00,3,3,0,0,0.00
192,Ciprian T?t?ru?anu,ROU,GK,Milan,Serie A,36,1986,16,16,1440,16,22,1.38,61,40,65.57,9,3,4,4,25.00,2,2,0,0,0.00
193,Marc-André ter Stegen,GER,GK,Barcelona,La Liga,30,1992,38,38,3347,37.2,18,0.48,98,83,84.69,28,4,6,26,68.42,3,3,0,0,0.00
194,Pietro Terracciano,ITA,GK,Fiorentina,Serie A,32,1990,29,29,2610,29,38,1.31,96,59,61.46,9,8,12,5,17.24,7,6,1,0,14.29
195,Kevin Trapp,GER,GK,Eint Frankfurt,Bundesliga,32,1990,33,33,2970,33,51,1.55,130,80,61.54,13,10,10,6,18.18,2,2,0,0,0.00
196,Mark Travers,IRL,GK,Bournemouth,Premier League,23,1999,12,11,1035,11.5,32,2.78,66,36,54.55,2,0,9,2,18.18,2,2,0,0,0.00
197,Martin Turk,SVN,GK,Sampdoria,Serie A,18,2003,4,4,360,4,9,2.25,30,21,70.00,1,1,2,0,0.00,2,1,0,1,0.00
198,Samir Ujkani,KVX,GK,Empoli,Serie A,34,1988,1,0,7,0.1,1,10.00,1,0,0.00,0,0,0,0,#DIV/0!,0,0,0,0,#DIV/0!
199,Sven Ulreich,GER,GK,Bayern Munich,Bundesliga,33,1988,3,3,270,3,2,0.67,8,5,62.50,3,0,0,2,66.67,1,0,1,0,100.00
200,Guglielmo Vicario,ITA,GK,Empoli,Serie A,25,1996,31,31,2783,30.9,39,1.26,134,95,70.90,9,12,10,7,22.58,6,4,1,1,20.00
201,Iván Villar,ESP,GK,Celta Vigo,La Liga,25,1997,19,19,1710,19,24,1.26,62,38,61.29,6,5,8,4,21.05,4,3,0,1,0.00
202,Danny Ward,WAL,GK,Leicester City,Premier League,29,1993,26,26,2340,26,46,1.77,119,75,63.03,7,3,16,6,23.08,3,2,1,0,33.33
203,Axel Werner,ARG,GK,Elche,La Liga,26,1996,2,2,180,2,4,2.00,8,4,50.00,0,0,2,0,0.00,0,0,0,0,#DIV/0!
204,Joseph Whitworth,ENG,GK,Crystal Palace,Premier League,18,2004,2,2,180,2,5,2.50,10,5,50.00,0,0,2,0,0.00,0,0,0,0,#DIV/0!
205,Robin Zentner,GER,GK,Mainz 05,Bundesliga,27,1994,26,26,2340,26,39,1.50,109,69,63.30,9,8,9,7,26.92,5,3,1,1,25.00
206,Michael Zetterer,GER,GK,Werder Bremen,Bundesliga,27,1995,2,1,152,1.7,3,1.76,14,11,78.57,0,1,0,0,0.00,0,0,0,0,#DIV/0!
207,Jeroen Zoet,NED,GK,Spezia,Serie A,31,1991,5,4,334,3.7,4,1.08,13,9,69.23,0,3,1,0,0.00,1,1,0,0,0.00
208,Petar Zovko,BIH,GK,Spezia,Serie A,20,2002,1,0,74,0.8,2,2.50,3,1,33.33,0,0,0,0,#DIV/0!,0,0,0,0,#DIV/0!
