Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,GA,npg,PK,PKatt,CrdY,CrdR,xG,NPxG,xAG,NPxG+xAG,PrgC,PrgP,PrgR,Gls_p90,Ast_p90,GA_p90,npg_p90,npG+A_p90,xG_p90,xAG_p90,xG+xAG_p90,NPxG_p90,NPxG+xAG_p90,
24,Martin Adeline,FRA,"MF,FW",Reims,Ligue 1,18,2003,5,0,107,1.2,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,1,3,1,0,0,0,0,0,0.083333333,0,0.083333333,0.083333333,0.083333333,Matches
25,Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,20,2002,24,20,1386,15.4,6,5,11,6,0,1,9,0,5,4.3,3.7,8,49,47,131,0.38961039,0.324675325,0.714285714,0.38961039,0.714285714,0.324675325,0.24025974,0.564935065,0.279220779,0.519480519,Matches
26,Amine Adli,MAR,"FW,MF",Leverkusen,Bundesliga,22,2000,26,16,1435,15.9,5,3,8,5,0,0,2,2,5,5,1.7,6.7,46,49,137,0.314465409,0.188679245,0.503144654,0.314465409,0.503144654,0.314465409,0.106918239,0.421383648,0.314465409,0.421383648,Matches
27,Yacine Adli,FRA,"MF,FW",Milan,Serie A,22,2000,6,1,144,1.6,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.3,7,10,8,0,0,0,0,0,0.0625,0.1875,0.25,0.0625,0.1875,Matches
28,Michel Aebischer,SUI,"FW,MF",Bologna,Serie A,25,1997,32,18,1542,17.1,1,0,1,1,0,0,4,0,1.5,1.5,0.6,2.1,14,46,85,0.058479532,0,0.058479532,0.058479532,0.058479532,0.087719298,0.035087719,0.122807018,0.087719298,0.122807018,Matches
29,Felix Afena-Gyan,GHA,"FW,MF",Cremonese,Serie A,19,2003,23,7,817,9.1,0,0,0,0,0,0,4,0,1.9,1.9,0.1,2,22,8,54,0,0,0,0,0,0.208791209,0.010989011,0.21978022,0.208791209,0.21978022,Matches
30,Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,25,1997,29,27,2388,26.5,0,3,3,0,0,0,5,3,1.7,1.7,2.4,4.1,15,131,8,0,0.113207547,0.113207547,0,0.113207547,0.064150943,0.090566038,0.154716981,0.064150943,0.154716981,Matches
31,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,21,2000,8,7,675,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
32,Lucien Agoume,FRA,MF,Troyes,Ligue 1,20,2002,15,14,1094,12.2,0,1,1,0,0,0,5,0,0.8,0.8,1.1,1.9,9,93,10,0,0.081967213,0.081967213,0,0.081967213,0.06557377,0.090163934,0.155737705,0.06557377,0.155737705,Matches
33,Felix Agu,GER,"DF,FW",Werder Bremen,Bundesliga,22,1999,3,0,49,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,2,2,0,0,0,0,0,0,0.2,0.2,0,0.2,Matches
34,Álvaro Aguado,ESP,MF,Valladolid,La Liga,26,1996,34,18,1888,21,1,2,3,1,0,0,4,0,1,1,2.2,3.2,29,139,50,0.047619048,0.095238095,0.142857143,0.047619048,0.142857143,0.047619048,0.104761905,0.152380952,0.047619048,0.152380952,Matches
35,Kevin Agudelo,COL,"MF,FW",Spezia,Serie A,23,1998,34,23,2131,23.7,0,1,1,0,0,0,5,0,1.5,1.5,3,4.5,81,110,100,0,0.042194093,0.042194093,0,0.042194093,0.063291139,0.126582278,0.189873418,0.063291139,0.189873418,Matches
36,Nayef Aguerd,MAR,DF,West Ham,Premier League,26,1996,18,17,1595,17.7,2,0,2,2,0,0,4,0,2.2,2.2,0.5,2.7,2,25,4,0.11299435,0,0.11299435,0.11299435,0.11299435,0.124293785,0.028248588,0.152542373,0.124293785,0.152542373,Matches
