Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,GA,npg,PK,PKatt,CrdY,CrdR,xG,NPxG,xAG,NPxG+xAG,PrgC,PrgP,PrgR,Gls_p90,Ast_p90,GA_p90,npg_p90,npG+A_p90,xG_p90,xAG_p90,xG+xAG_p90,NPxG_p90,NPxG+xAG_p90,
609,Alessio Cragno,ITA,GK,Monza,Serie A,28,1994,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
610,Matthew Craig,SCO,MF,Tottenham,Premier League,19,2003,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
611,Aaron Cresswell,ENG,DF,West Ham,Premier League,32,1989,28,24,2235,24.8,0,1,1,0,0,0,3,0,0.3,0.3,3.7,4,35,145,82,0,0.040322581,0.040322581,0,0.040322581,0.012096774,0.149193548,0.161290323,0.012096774,0.161290323,Matches
612,Bryan Cristante,ITA,"MF,DF",Roma,Serie A,27,1995,36,34,2938,32.6,1,1,2,1,0,1,8,1,2.6,1.9,1.4,3.3,16,142,27,0.030674847,0.030674847,0.061349693,0.030674847,0.061349693,0.079754601,0.042944785,0.122699387,0.058282209,0.101226994,Matches
613,Domen Črnigoj,SVN,MF,Salernitana,Serie A,26,1995,7,4,296,3.3,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,2,3,9,0,0,0,0,0,0.03030303,0.121212121,0.151515152,0.03030303,0.151515152,Matches
614,Juan Cruz Armada,ESP,DF,Osasuna,La Liga,30,1992,27,21,2062,22.9,0,0,0,0,0,0,7,0,0.2,0.2,1,1.3,15,68,55,0,0,0,0,0,0.008733624,0.043668122,0.052401747,0.008733624,0.056768559,Matches
615,Juan Cruz,ESP,FW,Betis,La Liga,22,2000,6,1,178,2,1,0,1,1,0,0,1,0,0.5,0.5,0.1,0.6,7,1,15,0.5,0,0.5,0.5,0.5,0.25,0.05,0.3,0.25,0.3,Matches
616,Juan Cuadrado,COL,"DF,FW",Juventus,Serie A,34,1988,31,24,2078,23.1,1,3,4,1,0,0,6,1,1.4,1.4,2.7,4.2,48,92,125,0.043290043,0.12987013,0.173160173,0.043290043,0.173160173,0.060606061,0.116883117,0.177489177,0.060606061,0.181818182,Matches
617,Marc Cucurella,ESP,DF,Chelsea,Premier League,24,1998,24,21,1671,18.6,0,2,2,0,0,0,4,0,0.4,0.4,0.6,1,30,73,65,0,0.107526882,0.107526882,0,0.107526882,0.021505376,0.032258065,0.053763441,0.021505376,0.053763441,Matches
618,Jorge Cuenca,ESP,DF,Villarreal,La Liga,22,1999,10,5,506,5.6,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,7,26,1,0,0,0,0,0,0.071428571,0.017857143,0.089285714,0.071428571,0.089285714,Matches
619,Braian Cufré,ARG,DF,Mallorca,La Liga,25,1996,5,2,220,2.4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,3,7,9,0,0,0,0,0,0.041666667,0,0.041666667,0.041666667,0.041666667,Matches
620,Mickaël Cuisance,FRA,MF,Sampdoria,Serie A,22,1999,12,9,618,6.9,0,0,0,0,0,0,1,0,0.5,0.5,0.7,1.2,11,23,31,0,0,0,0,0,0.072463768,0.101449275,0.173913043,0.072463768,0.173913043,Matches
621,Matheus Cunha,BRA,FW,"Wolves,Atlético Madrid","Premier League,La Liga",23,1999,28,14,1342,14.9,2,2,4,2,0,0,3,0,3.4,3.4,1.4,4.8,22,21,62,0.134228188,0.134228188,0.268456376,0.134228188,0.268456376,0.228187919,0.093959732,0.322147651,0.228187919,0.322147651,Matches
623,Curro,ESP,MF,Almería,La Liga,26,1996,2,0,43,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,1,1,1,0,0,0,0,0,0.2,0.4,0.6,0.2,0.6,Matches
624,Marco D'Alessandro,ITA,"DF,FW",Monza,Serie A,31,1991,8,3,290,3.2,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.5,14,3,19,0,0,0,0,0,0.09375,0.0625,0.15625,0.09375,0.15625,Matches
625,Danilo D'Ambrosio,ITA,DF,Inter,Serie A,33,1988,15,8,733,8.1,0,2,2,0,0,0,3,1,0.3,0.3,0.7,0.9,8,34,17,0,0.24691358,0.24691358,0,0.24691358,0.037037037,0.086419753,0.12345679,0.037037037,0.111111111,Matches
626,Luca D'Andrea,ITA,FW,Sassuolo,Serie A,17,2004,5,5,316,3.5,0,1,1,0,0,0,0,0,0.3,0.3,0.8,1.1,11,9,29,0,0.285714286,0.285714286,0,0.285714286,0.085714286,0.228571429,0.314285714,0.085714286,0.314285714,Matches
627,Damien Da Silva,FRA,DF,Lyon,Ligue 1,34,1988,7,3,338,3.8,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,2,18,1,0,0,0,0,0,0.026315789,0,0.026315789,0.026315789,0.026315789,Matches
628,Moanes Dabbur,ISR,FW,Hoffenheim,Bundesliga,30,1992,21,8,933,10.4,6,2,8,6,0,0,3,1,3.5,3.5,2.2,5.7,10,33,61,0.576923077,0.192307692,0.769230769,0.576923077,0.769230769,0.336538462,0.211538462,0.548076923,0.336538462,0.548076923,Matches
629,Andréa Dacourt,FRA,MF,Nice,Ligue 1,17,2005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,Matches
630,Colin Dagba,FRA,"DF,MF",Strasbourg,Ligue 1,23,1998,21,12,958,10.6,0,0,0,0,0,0,3,0,0.4,0.4,0.8,1.1,26,31,48,0,0,0,0,0,0.037735849,0.075471698,0.113207547,0.037735849,0.103773585,Matches
631,Finn Dahmen,GER,GK,Mainz 05,Bundesliga,24,1998,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
632,Mahmoud Dahoud,GER,MF,Dortmund,Bundesliga,26,1996,9,4,337,3.7,0,0,0,0,0,0,1,0,0.4,0.4,0.5,0.9,5,25,4,0,0,0,0,0,0.108108108,0.135135135,0.243243243,0.108108108,0.243243243,Matches
633,Patson Daka,ZAM,FW,Leicester City,Premier League,23,1998,30,13,1187,13.2,4,4,8,4,0,0,2,0,3.5,3.5,2.8,6.3,18,17,82,0.303030303,0.303030303,0.606060606,0.303030303,0.606060606,0.265151515,0.212121212,0.477272727,0.265151515,0.477272727,Matches
634,Thijs Dallinga,NED,FW,Toulouse,Ligue 1,21,2000,36,28,2353,26.1,12,1,13,12,0,0,4,0,9.8,9.8,2,11.9,23,30,174,0.459770115,0.038314176,0.498084291,0.459770115,0.498084291,0.375478927,0.076628352,0.45210728,0.375478927,0.455938697,Matches
635,Diogo Dalot,POR,DF,Manchester Utd,Premier League,23,1999,26,24,2154,23.9,1,2,3,1,0,0,6,0,2.5,2.5,1.9,4.4,46,92,85,0.041841004,0.083682008,0.125523013,0.041841004,0.125523013,0.10460251,0.079497908,0.184100418,0.10460251,0.184100418,Matches
636,Muhammed Damar,GER,MF,Hoffenheim,Bundesliga,18,2004,6,1,159,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,2,9,7,0,0,0,0,0,0.055555556,0.111111111,0.166666667,0.055555556,0.166666667,Matches
637,Mikkel Damsgaard,DEN,"MF,FW",Brentford,Premier League,22,2000,26,9,988,11,0,0,0,0,0,0,4,0,2.6,2.6,1.4,4,9,44,45,0,0,0,0,0,0.236363636,0.127272727,0.363636364,0.236363636,0.363636364,Matches
638,Flavius Daniliuc,AUT,DF,"Salernitana,Nice","Serie A,Ligue 1",21,2001,29,24,2286,25.4,0,2,2,0,0,0,9,0,0.6,0.6,0.6,1.3,16,74,8,0,0.078740157,0.078740157,0,0.078740157,0.023622047,0.023622047,0.047244094,0.023622047,0.051181102,Matches
640,Danilo,BRA,MF,Nott'ham Forest,Premier League,21,2001,13,12,976,10.8,3,2,5,3,0,0,1,0,1.5,1.5,0.7,2.3,13,34,22,0.277777778,0.185185185,0.462962963,0.277777778,0.462962963,0.138888889,0.064814815,0.203703704,0.138888889,0.212962963,Matches
641,Danilo,BRA,DF,Juventus,Serie A,31,1991,37,35,3184,35.4,3,3,6,3,0,0,5,0,2.8,2.8,2.4,5.2,39,176,43,0.084745763,0.084745763,0.169491525,0.084745763,0.169491525,0.079096045,0.06779661,0.146892655,0.079096045,0.146892655,Matches
642,Arnaut Danjuma,NED,"FW,MF","Tottenham,Villarreal","Premier League,La Liga",25,1997,19,7,648,7.2,3,0,3,2,1,1,0,0,3.5,2.7,0.4,3.1,17,4,54,0.416666667,0,0.416666667,0.277777778,0.277777778,0.486111111,0.055555556,0.541666667,0.375,0.430555556,Matches
644,Kévin Danois,FRA,MF,Auxerre,Ligue 1,18,2004,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,Matches
645,Kevin Danso,AUT,DF,Lens,Ligue 1,23,1998,37,37,3232,35.9,1,2,3,1,0,0,7,1,2.5,2.4,1,3.5,34,163,2,0.027855153,0.055710306,0.08356546,0.027855153,0.08356546,0.069637883,0.027855153,0.097493036,0.066852368,0.097493036,Matches
646,Dante,BRA,DF,Nice,Ligue 1,38,1983,37,37,3299,36.7,1,2,3,1,0,0,6,0,1.5,1.5,1.7,3.2,12,160,3,0.027247956,0.054495913,0.081743869,0.027247956,0.081743869,0.040871935,0.046321526,0.08719346,0.040871935,0.08719346,Matches
647,Márton Dárdai,GER,"DF,MF",Hertha BSC,Bundesliga,20,2002,17,11,947,10.5,1,0,1,1,0,0,2,0,0.1,0.1,0.2,0.3,2,21,0,0.095238095,0,0.095238095,0.095238095,0.095238095,0.00952381,0.019047619,0.028571429,0.00952381,0.028571429,Matches
648,Sergi Darder,ESP,MF,Espanyol,La Liga,28,1993,38,38,3320,36.9,6,3,9,6,0,0,4,0,3.5,3.5,7.5,10.9,111,233,75,0.162601626,0.081300813,0.243902439,0.162601626,0.243902439,0.094850949,0.203252033,0.298102981,0.094850949,0.295392954,Matches
649,Achraf Dari,MAR,DF,Brest,Ligue 1,23,1999,18,15,1317,14.6,1,0,1,1,0,0,1,0,0.4,0.4,0,0.4,3,33,1,0.068493151,0,0.068493151,0.068493151,0.068493151,0.02739726,0,0.02739726,0.02739726,0.02739726,Matches
650,Vladimír Darida,CZE,MF,Hertha BSC,Bundesliga,31,1990,3,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Matches
651,Matteo Darmian,ITA,DF,Inter,Serie A,32,1989,31,24,2025,22.5,1,2,3,1,0,0,3,0,1,1,1.9,2.9,22,88,96,0.044444444,0.088888889,0.133333333,0.044444444,0.133333333,0.044444444,0.084444444,0.128888889,0.044444444,0.128888889,Matches
652,Josh Dasilva,ENG,MF,Brentford,Premier League,23,1998,36,14,1389,15.4,4,2,6,4,0,0,1,0,1.5,1.5,1.5,3,60,62,69,0.25974026,0.12987013,0.38961039,0.25974026,0.38961039,0.097402597,0.097402597,0.194805195,0.097402597,0.194805195,Matches
653,David Datro Fofana,CIV,FW,Chelsea,Premier League,19,2002,3,1,70,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.4,2,2,9,0,0,0,0,0,0.25,0.125,0.375,0.25,0.5,Matches
654,Jonathan David,CAN,FW,Lille,Ligue 1,22,2000,37,36,3166,35.2,24,4,28,14,10,11,6,0,23.6,15.1,6.1,21.2,67,95,297,0.681818182,0.113636364,0.795454545,0.397727273,0.511363636,0.670454545,0.173295455,0.84375,0.428977273,0.602272727,Matches
655,Alphonso Davies,CAN,DF,Bayern Munich,Bundesliga,21,2000,26,24,2042,22.7,1,4,5,1,0,0,0,0,1.7,1.7,3.7,5.4,117,133,158,0.044052863,0.176211454,0.220264317,0.044052863,0.220264317,0.074889868,0.162995595,0.237885463,0.074889868,0.237885463,Matches
656,Ben Davies,WAL,DF,Tottenham,Premier League,29,1993,31,26,2288,25.4,2,2,4,2,0,0,4,0,1,1,2.5,3.5,39,107,69,0.078740157,0.078740157,0.157480315,0.078740157,0.157480315,0.039370079,0.098425197,0.137795276,0.039370079,0.137795276,Matches
657,Tom Davies,ENG,MF,Everton,Premier League,24,1998,19,4,538,6,0,0,0,0,0,0,3,0,1.2,1.2,0.2,1.3,2,30,13,0,0,0,0,0,0.2,0.033333333,0.233333333,0.2,0.216666667,Matches
658,Paweł Dawidowicz,POL,DF,Hellas Verona,Serie A,27,1995,23,20,1632,18.1,1,1,2,1,0,0,6,1,1.1,1.1,0.8,1.9,20,60,17,0.055248619,0.055248619,0.110497238,0.055248619,0.110497238,0.060773481,0.044198895,0.104972376,0.060773481,0.104972376,Matches
659,Craig Dawson,ENG,DF,"West Ham,Wolves","Premier League,Premier League",32,1990,25,25,2134,23.7,1,0,1,1,0,0,6,0,1.5,1.5,0.1,1.6,5,62,2,0.042194093,0,0.042194093,0.042194093,0.042194093,0.063291139,0.004219409,0.067510549,0.063291139,0.067510549,Matches
661,Kevin De Bruyne,BEL,MF,Manchester City,Premier League,31,1991,32,28,2417,26.9,7,16,23,7,0,0,1,0,5.6,5.6,13.7,19.3,100,246,245,0.260223048,0.594795539,0.855018587,0.260223048,0.855018587,0.208178439,0.50929368,0.717472119,0.208178439,0.717472119,Matches
662,Charles De Ketelaere,BEL,"MF,FW",Milan,Serie A,21,2001,32,9,1116,12.4,0,1,1,0,0,0,2,0,2,2,2,4,45,59,69,0,0.080645161,0.080645161,0,0.080645161,0.161290323,0.161290323,0.322580645,0.161290323,0.322580645,Matches
663,Manuel De Luca,ITA,"FW,MF",Sampdoria,Serie A,24,1998,2,0,44,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,Matches
664,Tommaso De Nipoti,ITA,MF,Atalanta,Serie A,19,2003,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,Matches
665,Rodrigo De Paul,ARG,MF,Atlético Madrid,La Liga,28,1994,30,24,1923,21.4,2,7,9,2,0,0,5,0,1.6,1.6,5.6,7.2,55,182,68,0.093457944,0.327102804,0.420560748,0.093457944,0.420560748,0.074766355,0.261682243,0.336448598,0.074766355,0.336448598,Matches
666,Mattia De Sciglio,ITA,DF,Juventus,Serie A,29,1992,17,11,1042,11.6,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,16,50,40,0,0,0,0,0,0.00862069,0.043103448,0.051724138,0.00862069,0.051724138,Matches
667,Lorenzo De Silvestri,ITA,DF,Bologna,Serie A,34,1988,15,6,672,7.5,1,0,1,1,0,0,1,0,0.6,0.6,0.2,0.9,18,31,17,0.133333333,0,0.133333333,0.133333333,0.133333333,0.08,0.026666667,0.106666667,0.08,0.12,Matches
668,Thibault De Smet,BEL,DF,Reims,Ligue 1,24,1998,22,20,1758,19.5,0,1,1,0,0,0,2,0,0,0,1.3,1.3,39,89,89,0,0.051282051,0.051282051,0,0.051282051,0,0.066666667,0.066666667,0,0.066666667,Matches
669,Koni De Winter,BEL,DF,Empoli,Serie A,20,2002,14,12,1024,11.4,0,0,0,0,0,0,3,0,0,0,0.2,0.2,2,22,0,0,0,0,0,0,0,0.01754386,0.01754386,0,0.01754386,Matches
670,Grégoire Defrel,MTQ,FW,Sassuolo,Serie A,31,1991,27,13,1167,13,2,1,3,2,0,0,3,0,3.5,3.5,0.5,4,11,10,75,0.153846154,0.076923077,0.230769231,0.153846154,0.230769231,0.269230769,0.038461538,0.307692308,0.269230769,0.307692308,Matches
671,Duccio Degl'Innocenti,ITA,MF,Empoli,Serie A,19,2003,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,Matches
672,Brecht Dejaegere,BEL,MF,Toulouse,Ligue 1,31,1991,30,25,1809,20.1,4,1,5,4,0,0,5,0,2.6,2.6,1.7,4.3,36,96,96,0.199004975,0.049751244,0.248756219,0.199004975,0.248756219,0.129353234,0.084577114,0.213930348,0.129353234,0.213930348,Matches
673,Romain Del Castillo,FRA,"MF,FW",Brest,Ligue 1,26,1996,27,16,1422,15.8,6,6,12,1,5,5,2,0,6.2,2.3,4.2,6.5,47,75,125,0.379746835,0.379746835,0.759493671,0.063291139,0.443037975,0.392405063,0.265822785,0.658227848,0.14556962,0.411392405,Matches
674,Alberto Del Moral,ESP,MF,Villarreal,La Liga,22,2000,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
675,Thomas Delaine,FRA,"DF,MF",Strasbourg,Ligue 1,30,1992,17,13,1069,11.9,0,2,2,0,0,0,3,0,0.4,0.4,1.4,1.8,38,21,92,0,0.168067227,0.168067227,0,0.168067227,0.033613445,0.117647059,0.151260504,0.033613445,0.151260504,Matches
676,Thomas Delaney,DEN,MF,"Sevilla,Hoffenheim","La Liga,Bundesliga",30,1991,14,6,607,6.7,0,0,0,0,0,0,3,0,0.3,0.3,0.1,0.3,1,21,6,0,0,0,0,0,0.044776119,0.014925373,0.059701493,0.044776119,0.044776119,Matches
678,Sacha Delaye,FRA,"FW,MF",Montpellier,Ligue 1,20,2002,3,0,20,0.2,1,0,1,1,0,0,0,0,0.1,0.1,0,0.1,1,1,0,5,0,5,5,5,0.5,0,0.5,0.5,0.5,Matches
679,Fran Delgado,ESP,DF,Betis,La Liga,21,2001,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Matches
680,Andy Delort,ALG,FW,"Nice,Nantes","Ligue 1,Ligue 1",30,1991,26,15,1250,13.9,6,1,7,3,3,3,0,0,7.9,5.5,2.1,7.7,9,28,92,0.431654676,0.071942446,0.503597122,0.215827338,0.287769784,0.568345324,0.151079137,0.71942446,0.395683453,0.553956835,Matches
682,Karamoko Dembele,SCO,"FW,MF",Brest,Ligue 1,19,2003,15,0,179,2,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,7,5,26,0,0,0,0,0,0.1,0.1,0.2,0.1,0.2,Matches
683,Moussa Dembélé,FRA,"FW,MF",Lyon,Ligue 1,26,1996,23,8,877,9.7,3,0,3,3,0,0,1,0,3.8,3.8,0.3,4.1,10,23,66,0.309278351,0,0.309278351,0.309278351,0.309278351,0.391752577,0.030927835,0.422680412,0.391752577,0.422680412,Matches
684,Ousmane Dembélé,FRA,FW,Barcelona,La Liga,25,1997,25,16,1410,15.7,5,7,12,5,0,0,4,0,3.9,3.9,4.9,8.8,124,74,209,0.318471338,0.445859873,0.76433121,0.318471338,0.76433121,0.248407643,0.312101911,0.560509554,0.248407643,0.560509554,Matches
685,Siriki Dembélé,CIV,"FW,MF","Bournemouth,Auxerre","Premier League,Ligue 1",25,1996,18,4,482,5.3,0,0,0,0,0,0,1,0,0.5,0.5,1.2,1.7,19,13,40,0,0,0,0,0,0.094339623,0.226415094,0.320754717,0.094339623,0.320754717,Matches
687,Merih Demiral,TUR,DF,Atalanta,Serie A,24,1998,28,14,1536,17.1,1,0,1,1,0,0,5,0,0.7,0.7,0.5,1.2,3,26,4,0.058479532,0,0.058479532,0.058479532,0.058479532,0.040935673,0.029239766,0.070175439,0.040935673,0.070175439,Matches
688,Kerem Demirbay,GER,MF,Leverkusen,Bundesliga,29,1993,25,17,1544,17.2,4,3,7,4,0,0,5,0,2.2,2.2,3,5.2,22,86,21,0.23255814,0.174418605,0.406976744,0.23255814,0.406976744,0.127906977,0.174418605,0.302325581,0.127906977,0.302325581,Matches
689,Ermedin Demirović,BIH,"FW,MF",Augsburg,Bundesliga,24,1998,30,30,2366,26.3,8,4,12,7,1,1,7,1,7.5,6.8,3.5,10.3,26,48,120,0.30418251,0.152091255,0.456273764,0.266159696,0.418250951,0.285171103,0.133079848,0.418250951,0.258555133,0.391634981,Matches
690,Diego Demme,GER,MF,Napoli,Serie A,30,1991,7,2,146,1.6,0,0,0,0,0,0,0,0,0,0,0,0,3,16,1,0,0,0,0,0,0,0,0,0,0,Matches
691,Sepp van den Berg,NED,DF,Schalke 04,Bundesliga,20,2001,9,8,696,7.7,1,0,1,1,0,0,2,0,0.6,0.6,0.1,0.7,1,12,3,0.12987013,0,0.12987013,0.12987013,0.12987013,0.077922078,0.012987013,0.090909091,0.077922078,0.090909091,Matches
692,Branco van den Boomen,NED,MF,Toulouse,Ligue 1,27,1995,35,32,2888,32.1,5,8,13,1,4,4,6,0,6,2.9,8.1,10.9,48,321,102,0.15576324,0.249221184,0.404984424,0.031152648,0.280373832,0.186915888,0.252336449,0.439252336,0.090342679,0.339563863,Matches
693,Leander Dendoncker,BEL,MF,"Aston Villa,Wolves","Premier League,Premier League",27,1995,24,9,911,10.1,0,0,0,0,0,0,0,0,0.8,0.8,0.5,1.2,2,24,5,0,0,0,0,0,0.079207921,0.04950495,0.128712871,0.079207921,0.118811881,Matches
695,Emmanuel Dennis,NGA,"FW,MF",Nott'ham Forest,Premier League,24,1997,19,6,720,8,2,2,4,2,0,0,3,0,1.9,1.9,0.6,2.4,24,17,63,0.25,0.25,0.5,0.25,0.5,0.2375,0.075,0.3125,0.2375,0.3,Matches
696,Fabio Depaoli,ITA,DF,"Hellas Verona,Sampdoria","Serie A,Serie A",25,1997,34,25,2309,25.6,2,2,4,2,0,0,8,0,1.9,1.9,1.6,3.5,30,76,82,0.078125,0.078125,0.15625,0.078125,0.15625,0.07421875,0.0625,0.13671875,0.07421875,0.13671875,Matches
698,Kastriot Dermaku,ALB,DF,Lecce,Serie A,30,1992,1,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
699,Halil Dervişoğlu,TUR,MF,Brentford,Premier League,22,1999,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
700,Rémy Descamps,FRA,GK,Nantes,Ligue 1,26,1996,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
701,Mikkel Desler,DEN,DF,Toulouse,Ligue 1,27,1995,27,26,2257,25.1,1,2,3,1,0,0,5,1,0.8,0.8,1.9,2.7,59,136,127,0.039840637,0.079681275,0.119521912,0.039840637,0.119521912,0.03187251,0.075697211,0.107569721,0.03187251,0.107569721,Matches
702,Cyriel Dessers,NGA,FW,Cremonese,Serie A,27,1994,26,19,1587,17.6,6,1,7,6,0,1,3,0,7.1,6.4,1.6,8,21,27,110,0.340909091,0.056818182,0.397727273,0.340909091,0.397727273,0.403409091,0.090909091,0.494318182,0.363636364,0.454545455,Matches
703,Sergiño Dest,USA,DF,Milan,Serie A,21,2000,8,2,329,3.7,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,11,14,12,0,0,0,0,0,0.081081081,0.081081081,0.162162162,0.081081081,0.162162162,Matches
704,Mattia Destro,ITA,"FW,MF",Empoli,Serie A,31,1991,17,6,572,6.4,1,0,1,1,0,0,3,0,1.4,1.4,0.4,1.8,4,4,20,0.15625,0,0.15625,0.15625,0.15625,0.21875,0.0625,0.28125,0.21875,0.28125,Matches
705,Gerard Deulofeu,ESP,FW,Udinese,Serie A,28,1994,16,15,1211,13.5,2,6,8,2,0,0,1,0,5.1,5.1,4.4,9.5,72,82,118,0.148148148,0.444444444,0.592592593,0.148148148,0.592592593,0.377777778,0.325925926,0.703703704,0.377777778,0.703703704,Matches
706,Kiernan Dewsbury-Hall,ENG,MF,Leicester City,Premier League,23,1998,31,28,2306,25.6,2,2,4,2,0,0,5,1,2.4,2.4,3.3,5.6,68,132,91,0.078125,0.078125,0.15625,0.078125,0.15625,0.09375,0.12890625,0.22265625,0.09375,0.21875,Matches
707,Samuel Di Carmine,ITA,"FW,MF",Cremonese,Serie A,33,1988,2,0,28,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,1,2,0,0,0,0,0,0.333333333,0,0.333333333,0.333333333,0.333333333,Matches
708,Federico Di Francesco,ITA,"FW,MF",Lecce,Serie A,28,1994,36,23,2031,22.6,2,2,4,2,0,0,5,0,3.3,3.3,2.7,6,50,60,177,0.088495575,0.088495575,0.17699115,0.088495575,0.17699115,0.146017699,0.119469027,0.265486726,0.146017699,0.265486726,Matches
709,Michele Di Gregorio,ITA,GK,Monza,Serie A,25,1997,37,37,3330,37,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027027027,0.027027027,0,0.027027027,0,0,0,0,0,Matches
710,Giovanni Di Lorenzo,ITA,DF,Napoli,Serie A,28,1993,37,36,3257,36.2,3,4,7,3,0,0,2,0,2.7,2.7,4.7,7.4,73,256,182,0.082872928,0.110497238,0.193370166,0.082872928,0.193370166,0.074585635,0.129834254,0.20441989,0.074585635,0.20441989,Matches
711,Ángel Di María,ARG,"FW,MF",Juventus,Serie A,34,1988,26,15,1363,15.1,4,4,8,3,1,1,1,1,3.1,2.3,4.5,6.7,56,96,95,0.264900662,0.264900662,0.529801325,0.198675497,0.463576159,0.205298013,0.298013245,0.503311258,0.152317881,0.443708609,Matches
712,Boulaye Dia,SEN,"FW,MF",Salernitana,Serie A,25,1996,33,27,2518,28,16,6,22,15,1,1,4,0,8.8,8,3.1,11.1,48,50,140,0.571428571,0.214285714,0.785714286,0.535714286,0.75,0.314285714,0.110714286,0.425,0.285714286,0.396428571,Matches
713,Moussa Diaby,FRA,"FW,MF",Leverkusen,Bundesliga,23,1999,33,33,2699,30,9,8,17,9,0,1,4,0,11,10.3,8.2,18.5,125,104,258,0.3,0.266666667,0.566666667,0.3,0.566666667,0.366666667,0.273333333,0.64,0.343333333,0.616666667,Matches
714,Mouctar Diakhaby,GUI,DF,Valencia,La Liga,25,1996,29,28,2446,27.2,3,0,3,3,0,0,7,1,2.7,2.7,0.3,3,19,86,11,0.110294118,0,0.110294118,0.110294118,0.110294118,0.099264706,0.011029412,0.110294118,0.099264706,0.110294118,Matches
715,Mamadou Diakhon,FRA,FW,Reims,Ligue 1,16,2005,2,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Matches
716,Bafodé Diakité,FRA,DF,Lille,Ligue 1,21,2001,33,29,2653,29.5,3,0,3,3,0,0,6,0,1.7,1.7,0.7,2.4,43,179,67,0.101694915,0,0.101694915,0.101694915,0.101694915,0.057627119,0.023728814,0.081355932,0.057627119,0.081355932,Matches
717,Ibrahim Diakité,GUI,DF,Reims,Ligue 1,18,2003,3,1,131,1.5,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,0,2,6,0,0,0,0,0,0.133333333,0,0.133333333,0.133333333,0.133333333,Matches
718,Abdou Diallo,SEN,"DF,MF",RB Leipzig,Bundesliga,26,1996,8,5,478,5.3,1,0,1,1,0,0,2,0,0.4,0.4,0.1,0.5,11,24,3,0.188679245,0,0.188679245,0.188679245,0.188679245,0.075471698,0.018867925,0.094339623,0.075471698,0.094339623,Matches
719,Baila Diallo,FRA,"DF,MF",Clermont Foot,Ligue 1,21,2001,6,0,89,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,9,0,0,0,0,0,0,0,0,0,0,Matches
720,Habib Diallo,SEN,FW,Strasbourg,Ligue 1,27,1995,37,32,2879,32,20,1,21,17,3,4,4,1,17.8,14.5,3.5,18,40,41,203,0.625,0.03125,0.65625,0.53125,0.5625,0.55625,0.109375,0.665625,0.453125,0.5625,Matches
721,Ibrahima Diallo,FRA,MF,Southampton,Premier League,23,1999,18,11,819,9.1,0,0,0,0,0,0,4,0,0.2,0.2,0.1,0.3,9,28,6,0,0,0,0,0,0.021978022,0.010989011,0.032967033,0.021978022,0.032967033,Matches
