Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SGls,SSh,SSoT,SSoTp,SSh_p90,SSoT_90,SG_Sh,SG_SoT,SFK,SPK,SPKatt,xG,npxG,npxG/Sh,G-xG,npG-xG,SDist
30,Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,25,1997,26.5,0,22,3,13.636363636363635,0.8301886792452831,0.11320754716981132,0.0,0.0,15.8,0,0,0,1.7,1.7,0.07727272727272727,-1.7,-1.7
31,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,21,2000,7.5,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
32,Lucien Agoume,FRA,MF,Troyes,Ligue 1,20,2002,12.2,0,9,3,33.33333333333333,0.7377049180327869,0.24590163934426232,0.0,0.0,15.6,0,0,0,0.8,0.8,0.08888888888888889,-0.8,-0.8
33,Felix Agu,GER,"DF,FW",Werder Bremen,Bundesliga,22,1999,0.5,0,1,0,0.0,2.0,0.0,0.0,0.0,15.9,0,0,0,0.0,0.0,0.0,0.0,0.0
34,Álvaro Aguado,ESP,MF,Valladolid,La Liga,26,1996,21.0,1,20,6,30.0,0.9523809523809523,0.2857142857142857,0.05,0.17,24.6,1,0,0,1.0,1.0,0.05,0.0,0.0
35,Kevin Agudelo,COL,"MF,FW",Spezia,Serie A,23,1998,23.7,0,28,7,25.0,1.1814345991561181,0.29535864978902954,0.0,0.0,21.4,0,0,0,1.5,1.5,0.05357142857142857,-1.5,-1.5
36,Nayef Aguerd,MAR,DF,West Ham,Premier League,26,1996,17.7,2,12,2,16.666666666666664,0.6779661016949153,0.11299435028248588,0.17,1.0,9.9,0,0,0,2.2,2.2,0.18333333333333335,-0.2,-0.2
37,Ruben Aguilar,FRA,DF,Monaco,Ligue 1,29,1993,13.0,0,4,2,50.0,0.3076923076923077,0.15384615384615385,0.0,0.0,17.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2
38,Naouirou Ahamada,FRA,"MF,FW","Crystal Palace,Stuttgart","Premier League,Bundesliga",20,2002,16.5,2,19,5,31.25,1.1515151515151516,0.30303030303030304,0.13,0.4,19.0,0,0,0,1.0,1.0,0.05263157894736842,1.0,1.0
40,Amar Ahmed,SWE,FW,Troyes,Ligue 1,18,2004,0.2,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
41,Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,28,1994,14.4,3,21,8,38.095238095238095,1.4583333333333333,0.5555555555555556,0.14,0.38,25.0,0,0,0,1.2,1.2,0.05714285714285714,1.8,1.8
42,Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,26,1995,34.7,3,14,3,21.428571428571427,0.4034582132564841,0.08645533141210374,0.21,1.0,13.2,0,0,0,1.0,1.0,0.07142857142857142,2.0,2.0
43,Ola Aina,NGA,DF,Torino,Serie A,25,1996,9.7,1,8,3,37.5,0.8247422680412372,0.30927835051546393,0.13,0.33,15.2,0,0,0,0.8,0.8,0.1,0.2,0.2
44,Rayan Aït Nouri,ALG,DF,Wolves,Premier League,21,2001,12.0,1,10,5,50.0,0.8333333333333334,0.4166666666666667,0.1,0.2,14.1,0,0,0,0.7,0.7,0.06999999999999999,0.3,0.3
45,Emanuel Aiwum,AUT,DF,Cremonese,Serie A,21,2000,18.4,0,3,1,33.33333333333333,0.16304347826086957,0.05434782608695653,0.0,0.0,17.7,0,0,0,0.2,0.2,0.06666666666666667,-0.2,-0.2
46,Kristoffer Ajer,NOR,DF,Brentford,Premier League,24,1998,8.5,0,1,0,0.0,0.11764705882352941,0.0,0.0,0.0,6.0,0,0,0,0.0,0.0,0.0,0.0,0.0
47,Ludovic Ajorque,FRA,FW,"Strasbourg,Mainz 05","Ligue 1,Bundesliga",28,1994,22.1,7,54,21,75.56818181818181,2.443438914027149,0.9502262443438914,0.19,0.43,14.95,1,1,1,8.0,7.199999999999999,0.13333333333333333,-1.0,-1.2000000000000002
49,Manuel Akanji,SUI,DF,Manchester City,Premier League,27,1995,25.4,0,15,2,13.333333333333334,0.5905511811023623,0.07874015748031496,0.0,0.0,15.9,0,0,0,1.3,1.3,0.08666666666666667,-1.3,-1.3
50,Nathan Aké,NED,DF,Manchester City,Premier League,27,1995,20.8,1,9,2,22.22222222222222,0.43269230769230765,0.09615384615384615,0.11,0.5,10.5,0,0,0,1.6,1.6,0.17777777777777778,-0.6,-0.6
51,Sergio Akieme,ESP,DF,Almería,La Liga,24,1997,25.5,1,23,7,30.434782608695656,0.9019607843137255,0.27450980392156865,0.04,0.14,20.2,0,0,0,1.5,1.5,0.06521739130434782,-0.5,-0.5
52,Babatunde Akinsola,NGA,FW,Valladolid,La Liga,19,2003,0.1,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
53,Maghnes Akliouche,FRA,"MF,FW",Monaco,Ligue 1,20,2002,4.5,0,5,2,40.0,1.1111111111111112,0.4444444444444444,0.0,0.0,14.9,0,0,0,0.5,0.5,0.1,-0.5,-0.5
54,Paul Akouokou,CIV,"MF,DF",Betis,La Liga,24,1997,5.0,0,3,1,33.33333333333333,0.6,0.2,0.0,0.0,19.2,0,0,0,0.2,0.2,0.06666666666666667,-0.2,-0.2
55,Jean-Daniel Akpa-Akpro,CIV,"MF,FW",Empoli,Serie A,29,1992,15.1,1,14,5,35.714285714285715,0.9271523178807948,0.33112582781456956,0.07,0.2,19.5,0,0,0,1.5,1.5,0.10714285714285714,-0.5,-0.5
56,Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,27,1995,21.7,0,8,1,12.5,0.3686635944700461,0.04608294930875576,0.0,0.0,19.3,0,0,0,0.6,0.6,0.075,-0.6,-0.6
57,David Alaba,AUT,DF,Real Madrid,La Liga,30,1992,20.4,1,14,3,21.428571428571427,0.6862745098039216,0.14705882352941177,0.07,0.33,19.8,5,0,0,0.8,0.8,0.05714285714285715,0.2,0.2
58,Ángel Alarcón,ESP,FW,Barcelona,La Liga,18,2004,0.3,0,1,1,100.0,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
59,Tomás Alarcón,CHI,MF,Cádiz,La Liga,23,1999,2.5,0,2,1,50.0,0.8,0.4,0.0,0.0,36.4,0,0,0,0.0,0.0,0.0,0.0,0.0
60,Lucas Alario,ARG,"FW,MF",Eint Frankfurt,Bundesliga,29,1992,3.7,1,11,4,36.36363636363637,2.972972972972973,1.081081081081081,0.09,0.25,14.7,0,0,0,1.4,1.4,0.12727272727272726,-0.4,-0.4
61,Jordi Alba,ESP,DF,Barcelona,La Liga,33,1989,15.8,2,13,4,30.76923076923077,0.8227848101265822,0.2531645569620253,0.15,0.5,23.3,0,0,0,0.8,0.8,0.06153846153846154,1.2,1.2
62,Luis Alberto,ESP,MF,Lazio,Serie A,29,1992,27.1,6,45,17,37.77777777777778,1.6605166051660516,0.6273062730627306,0.11,0.29,23.2,4,1,2,4.4,2.7,0.060000000000000005,1.6,2.3
