Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SGls,SSh,SSoT,SSoTp,SSh_p90,SSoT_90,SG_Sh,SG_SoT,SFK,SPK,SPKatt,xG,npxG,npxG/Sh,G-xG,npG-xG,SDist
855,Sergio Escudero,ESP,DF,Valladolid,La Liga,32,1989,16.0,1,27,7,25.925925925925924,1.6875,0.4375,0.04,0.14,23.4,3,0,0,1.5,1.5,0.05555555555555555,-0.5,-0.5
856,Alfonso Espino,URU,DF,Cádiz,La Liga,30,1992,34.7,0,20,1,5.0,0.5763688760806917,0.02881844380403458,0.0,0.0,28.9,0,0,0,1.5,1.5,0.075,-1.5,-1.5
857,Bernardo Espinosa,COL,DF,Girona,La Liga,33,1989,13.6,1,11,5,45.45454545454545,0.8088235294117647,0.36764705882352944,0.09,0.2,10.7,0,0,0,1.2,1.2,0.10909090909090909,-0.2,-0.2
858,Salvatore Esposito,ITA,MF,Spezia,Serie A,21,2000,10.8,1,14,2,14.285714285714285,1.2962962962962963,0.18518518518518517,0.07,0.5,28.5,11,0,0,0.7,0.7,0.049999999999999996,0.3,0.3
859,Maxime Estève,FRA,DF,Montpellier,Ligue 1,20,2002,18.3,0,6,0,0.0,0.32786885245901637,0.0,0.0,0.0,9.5,0,0,0,0.6,0.6,0.09999999999999999,-0.6,-0.6
860,Pervis Estupiñán,ECU,DF,Brighton,Premier League,24,1998,29.7,1,29,4,13.793103448275861,0.9764309764309764,0.13468013468013468,0.03,0.25,19.3,0,0,0,1.7,1.7,0.05862068965517241,-0.7,-0.7
861,Jonny Evans,NIR,DF,Leicester City,Premier League,34,1988,11.7,0,1,1,100.0,0.08547008547008547,0.08547008547008547,0.0,0.0,3.8,0,0,0,0.2,0.2,0.2,-0.2,-0.2
862,Edu Expósito,ESP,MF,Espanyol,La Liga,25,1996,12.9,2,19,7,36.84210526315789,1.4728682170542635,0.5426356589147286,0.11,0.29,24.7,2,0,0,0.9,0.9,0.04736842105263158,1.1,1.1
863,Eberechi Eze,ENG,"MF,FW",Crystal Palace,Premier League,24,1998,29.3,10,70,25,35.714285714285715,2.3890784982935154,0.8532423208191126,0.13,0.36,21.9,14,1,1,7.3,6.5,0.09285714285714286,2.7,2.5
864,Kimberly Ezekwem,GER,DF,Freiburg,Bundesliga,21,2001,0.1,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
865,Nicolás Ezequiel Fernández,ARG,"MF,DF",Elche,La Liga,22,2000,5.7,0,5,2,40.0,0.8771929824561403,0.3508771929824561,0.0,0.0,14.7,0,0,0,0.4,0.4,0.08,-0.4,-0.4
866,Abdessamad Ezzalzouli,MAR,"FW,MF",Osasuna,La Liga,20,2001,16.7,4,40,16,40.0,2.3952095808383236,0.9580838323353293,0.1,0.25,19.1,2,0,0,2.7,2.7,0.0675,1.3,1.3
867,Łukasz Fabiański,POL,GK,West Ham,Premier League,37,1985,34.6,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
868,Fabinho,BRA,MF,Liverpool,Premier League,28,1993,29.7,0,18,4,22.22222222222222,0.6060606060606061,0.13468013468013468,0.0,0.0,22.0,0,0,0,0.7,0.7,0.03888888888888889,-0.7,-0.7
869,Fábio,BRA,"DF,MF",Nantes,Ligue 1,32,1990,2.5,0,3,2,66.66666666666666,1.2,0.8,0.0,0.0,13.9,0,0,0,0.2,0.2,0.06666666666666667,-0.2,-0.2
870,Noah Fadiga,SEN,DF,Brest,Ligue 1,22,1999,14.5,1,11,3,27.27272727272727,0.7586206896551724,0.20689655172413793,0.09,0.33,18.3,0,0,0,0.7,0.7,0.06363636363636363,0.3,0.3
871,Wout Faes,BEL,DF,"Leicester City,Reims","Premier League,Ligue 1",24,1998,34.0,1,13,3,,0.38235294117647056,0.08823529411764706,0.08,0.33,5.9,0,0,0,1.2,1.2,0.0923076923076923,-0.2,-0.2
873,Nicolò Fagioli,ITA,MF,Juventus,Serie A,21,2001,16.9,3,13,8,61.53846153846154,0.7692307692307693,0.4733727810650888,0.23,0.38,19.7,0,0,0,1.5,1.5,0.11538461538461539,1.5,1.5
874,Ralf Fährmann,GER,GK,Schalke 04,Bundesliga,33,1988,11.4,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
875,Romain Faivre,FRA,"MF,FW","Lorient,Lyon","Ligue 1,Ligue 1",24,1998,17.1,5,30,16,96.0,1.7543859649122806,0.935672514619883,0.2,0.36,20.3,0,0,0,2.9000000000000004,2.9000000000000004,0.09666666666666668,2.0999999999999996,2.0999999999999996
877,Radamel Falcao,COL,"FW,MF",Rayo Vallecano,La Liga,36,1986,6.8,2,20,4,20.0,2.9411764705882355,0.5882352941176471,0.05,0.25,16.2,0,1,1,2.9,2.1,0.10500000000000001,-0.9,-1.1
878,Wladimiro Falcone,ITA,GK,Lecce,Serie A,27,1995,38.0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
879,Fali,ESP,"DF,MF",Cádiz,La Liga,28,1993,19.0,0,9,0,0.0,0.47368421052631576,0.0,0.0,0.0,16.6,0,0,0,0.6,0.6,0.06666666666666667,-0.6,-0.6
880,Fallou Fall,SEN,DF,Reims,Ligue 1,18,2004,0.4,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
881,Mamadou Fall,SEN,DF,Villarreal,La Liga,19,2002,0.3,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
882,Davide Faraoni,ITA,DF,Hellas Verona,Serie A,30,1991,16.5,2,20,5,25.0,1.2121212121212122,0.30303030303030304,0.1,0.4,18.6,0,0,0,2.7,2.7,0.135,-0.7,-0.7
883,Ansu Fati,ESP,FW,Barcelona,La Liga,19,2002,15.5,7,61,18,29.508196721311474,3.935483870967742,1.1612903225806452,0.11,0.39,15.0,3,0,0,9.1,9.1,0.14918032786885246,-2.1,-2.1
884,Khalil Fayad,FRA,MF,Montpellier,Ligue 1,18,2004,8.0,0,8,3,37.5,1.0,0.375,0.0,0.0,21.8,0,0,0,0.5,0.5,0.0625,-0.5,-0.5
885,Cheikh Faye,SEN,FW,Montpellier,Ligue 1,23,1999,0.4,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
886,Federico Fazio,ARG,DF,Salernitana,Serie A,35,1987,11.9,1,11,2,18.181818181818183,0.9243697478991596,0.1680672268907563,0.09,0.5,10.7,0,0,0,0.7,0.7,0.06363636363636363,0.3,0.3
887,Jacopo Fazzini,ITA,MF,Empoli,Serie A,19,2003,9.2,0,14,1,7.142857142857142,1.5217391304347827,0.10869565217391305,0.0,0.0,20.5,1,0,0,1.0,1.0,0.07142857142857142,-1.0,-1.0
888,Zouhair Feddal,MAR,DF,Valladolid,La Liga,33,1989,4.2,0,1,0,0.0,0.23809523809523808,0.0,0.0,0.0,3.5,0,0,0,0.2,0.2,0.2,-0.2,-0.2
889,Nabil Fekir,FRA,MF,Betis,La Liga,29,1993,10.7,2,24,6,25.0,2.2429906542056077,0.5607476635514019,0.04,0.17,21.5,9,1,1,2.4,1.6,0.06666666666666667,-0.4,-0.6
890,Felipe,BRA,DF,"Nott'ham Forest,Atlético Madrid","Premier League,La Liga",33,1989,18.0,0,14,1,7.6923076923076925,0.7777777777777778,0.05555555555555555,0.0,0.0,9.8,0,0,0,1.2,1.2,0.08571428571428572,-1.2,-1.2
892,Luiz Felipe,ITA,DF,Betis,La Liga,25,1997,19.6,0,3,1,33.33333333333333,0.1530612244897959,0.0510204081632653,0.0,0.0,11.2,0,0,0,0.2,0.2,0.06666666666666667,-0.2,-0.2
893,João Félix,POR,"FW,MF","Chelsea,Atlético Madrid","Premier League,La Liga",22,1999,17.7,8,72,28,80.93645484949832,4.067796610169491,1.5819209039548023,0.24,0.5800000000000001,18.45,4,0,0,7.7,7.7,0.10694444444444445,0.29999999999999993,0.29999999999999993
895,Ohis Felix Uduokhai,GER,DF,Augsburg,Bundesliga,24,1997,16.1,0,4,1,25.0,0.24844720496894407,0.06211180124223602,0.0,0.0,9.5,0,0,0,0.3,0.3,0.075,-0.3,-0.3
896,Kiko Femenía,ESP,DF,Villarreal,La Liga,31,1991,12.6,0,2,0,0.0,0.15873015873015872,0.0,0.0,0.0,23.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1
897,Evan Ferguson,IRL,FW,Brighton,Premier League,17,2004,10.6,6,36,17,47.22222222222222,3.3962264150943398,1.6037735849056605,0.17,0.35,15.2,0,0,0,5.3,5.3,0.14722222222222223,0.7,0.7
898,Lewis Ferguson,SCO,"MF,FW",Bologna,Serie A,22,1999,25.7,7,43,18,41.86046511627907,1.6731517509727627,0.7003891050583658,0.16,0.39,15.5,0,0,0,4.7,4.7,0.10930232558139535,2.3,2.3
899,Bruno Fernandes,POR,"MF,FW",Manchester Utd,Premier League,27,1994,36.8,8,90,32,35.55555555555556,2.4456521739130435,0.8695652173913044,0.07,0.19,20.8,6,2,2,9.3,7.7,0.08555555555555555,-1.3,-1.7
900,Edimilson Fernandes,SUI,DF,Mainz 05,Bundesliga,26,1996,27.1,0,15,3,20.0,0.5535055350553505,0.11070110701107011,0.0,0.0,25.0,4,0,0,0.7,0.7,0.04666666666666666,-0.7,-0.7
901,Aitor Fernández,ESP,GK,Osasuna,La Liga,31,1991,21.0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
902,Álex Fernández,ESP,"MF,FW",Cádiz,La Liga,29,1992,17.5,3,16,8,50.0,0.9142857142857143,0.45714285714285713,0.13,0.25,12.9,0,1,1,2.7,1.9,0.11875,0.3,0.1
903,Álvaro Fernández,ESP,GK,Espanyol,La Liga,24,1998,11.0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
904,Carlos Fernández,ESP,FW,Real Sociedad,La Liga,26,1996,7.0,1,21,5,23.809523809523807,3.0,0.7142857142857143,0.05,0.2,13.1,0,0,0,2.4,2.4,0.11428571428571428,-1.4,-1.4
905,Enzo Fernández,ARG,MF,Chelsea,Premier League,21,2001,17.2,0,20,3,15.0,1.1627906976744187,0.1744186046511628,0.0,0.0,25.7,2,0,0,0.8,0.8,0.04,-0.8,-0.8
906,Federico Fernández,ARG,DF,Elche,La Liga,33,1989,1.0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
907,Joaquín Fernández,ESP,DF,Valladolid,La Liga,26,1996,24.0,1,10,1,10.0,0.4166666666666667,0.041666666666666664,0.1,1.0,13.5,0,0,0,0.6,0.6,0.06,0.4,0.4
908,Valery Fernández,ESP,"MF,DF",Girona,La Liga,22,1999,10.7,0,7,0,0.0,0.6542056074766356,0.0,0.0,0.0,16.6,0,0,0,0.7,0.7,0.09999999999999999,-0.7,-0.7
909,Fernando,ESP,GK,Almería,La Liga,32,1990,36.5,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
910,Fernando,BRA,"MF,DF",Sevilla,La Liga,35,1987,17.5,0,6,0,0.0,0.34285714285714286,0.0,0.0,0.0,24.7,0,0,0,0.2,0.2,0.03333333333333333,-0.2,-0.2
911,Alex Ferrari,ITA,DF,"Sampdoria,Cremonese","Serie A,Serie A",28,1994,20.799999999999997,0,5,0,,0.24038461538461542,0.0,0.0,0.0,10.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2
913,Salvador Ferrer,ESP,DF,Spezia,Serie A,24,1998,1.5,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
914,Jordan Ferri,FRA,MF,Montpellier,Ligue 1,30,1992,30.4,1,14,2,14.285714285714285,0.46052631578947373,0.06578947368421052,0.07,0.5,24.1,0,0,0,0.8,0.8,0.05714285714285715,0.2,0.2
915,Fidel,ESP,"MF,FW",Elche,La Liga,32,1989,19.0,3,13,2,15.384615384615385,0.6842105263157895,0.10526315789473684,0.15,1.0,15.6,0,1,1,2.3,1.5,0.11538461538461539,0.7,0.5
916,Karol Fila,POL,DF,Strasbourg,Ligue 1,24,1998,0.5,0,1,0,0.0,2.0,0.0,0.0,0.0,20.7,0,0,0,0.1,0.1,0.1,-0.1,-0.1
917,Vincenzo Fiorillo,ITA,GK,Salernitana,Serie A,32,1990,1.0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
918,Roberto Firmino,BRA,"FW,MF",Liverpool,Premier League,30,1991,13.5,11,39,25,64.1025641025641,2.888888888888889,1.8518518518518519,0.28,0.44,12.3,0,0,0,5.5,5.5,0.14102564102564102,5.5,5.5
919,Junior Firpo,ESP,DF,Leeds United,Premier League,25,1996,15.2,1,2,1,50.0,0.13157894736842105,0.06578947368421052,0.5,1.0,12.2,0,0,0,0.1,0.1,0.05,0.9,0.9
920,Kilian Fischer,GER,"DF,FW",Wolfsburg,Bundesliga,21,2000,5.6,0,3,1,33.33333333333333,0.5357142857142857,0.17857142857142858,0.0,0.0,19.8,0,0,0,0.3,0.3,0.09999999999999999,-0.3,-0.3
921,Mark Flekken,NED,GK,Freiburg,Bundesliga,29,1993,34.0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
922,Florian Flick,GER,MF,Schalke 04,Bundesliga,22,2000,5.7,0,2,1,50.0,0.3508771929824561,0.17543859649122806,0.0,0.0,24.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1
923,Alexis Flips,FRA,"FW,MF",Reims,Ligue 1,22,2000,22.0,4,53,20,37.735849056603776,2.409090909090909,0.9090909090909091,0.08,0.2,24.1,9,0,0,3.9,3.9,0.07358490566037736,0.1,0.1
924,Alessandro Florenzi,ITA,DF,Milan,Serie A,31,1991,2.3,0,5,1,20.0,2.173913043478261,0.4347826086956522,0.0,0.0,16.2,1,0,0,0.8,0.8,0.16,-0.8,-0.8
925,Phil Foden,ENG,FW,Manchester City,Premier League,22,2000,20.5,11,46,22,47.82608695652174,2.2439024390243905,1.0731707317073171,0.24,0.5,15.3,1,0,0,5.9,5.9,0.1282608695652174,5.1,5.1
926,Seko Fofana,CIV,MF,Lens,Ligue 1,27,1995,34.1,7,82,22,26.82926829268293,2.404692082111437,0.6451612903225806,0.07,0.27,19.9,0,1,2,9.3,7.7,0.09390243902439024,-2.3,-1.7
927,Wesley Fofana,FRA,DF,"Leicester City,Chelsea","Premier League,Premier League",21,2000,15.1,1,8,3,83.33333333333333,0.5298013245033113,0.19867549668874174,0.17,0.5,10.75,0,0,0,0.7999999999999999,0.7999999999999999,0.09999999999999999,0.19999999999999998,0.19999999999999998
929,Yahia Fofana,CIV,GK,Angers,Ligue 1,21,2000,11.0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
930,Youssouf Fofana,FRA,MF,Monaco,Ligue 1,23,1999,34.3,2,42,10,23.809523809523807,1.2244897959183674,0.2915451895043732,0.05,0.2,22.9,1,0,0,2.8,2.8,0.06666666666666667,-0.8,-0.8
931,Thomas Foket,BEL,DF,Reims,Ligue 1,27,1994,22.0,0,2,1,50.0,0.09090909090909091,0.045454545454545456,0.0,0.0,11.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1
932,José Fonte,POR,DF,Lille,Ligue 1,38,1983,28.8,1,14,2,14.285714285714285,0.4861111111111111,0.06944444444444445,0.07,0.5,12.3,0,0,0,1.4,1.4,0.09999999999999999,-0.4,-0.4
933,Pablo Fornals,ESP,"FW,MF",West Ham,Premier League,26,1996,16.7,3,27,7,25.925925925925924,1.6167664670658684,0.4191616766467066,0.11,0.43,22.6,0,0,0,2.2,2.2,0.08148148148148149,0.8,0.8
934,Emil Forsberg,SWE,"MF,FW",RB Leipzig,Bundesliga,30,1991,16.5,6,21,9,42.857142857142854,1.2727272727272727,0.5454545454545454,0.19,0.44,18.1,1,2,2,4.9,3.3,0.15714285714285714,1.1,0.7
935,Adam Forshaw,ENG,MF,Leeds United,Premier League,30,1991,5.3,0,1,0,0.0,0.18867924528301888,0.0,0.0,0.0,26.4,0,0,0,0.0,0.0,0.0,0.0,0.0
936,Fraser Forster,ENG,GK,Tottenham,Premier League,34,1988,13.5,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
937,Philipp Förster,GER,MF,Bochum,Bundesliga,27,1995,14.5,3,17,6,35.294117647058826,1.1724137931034482,0.41379310344827586,0.18,0.5,20.2,2,0,0,1.4,1.4,0.08235294117647059,1.6,1.6
938,Steven Fortes,CPV,DF,Lens,Ligue 1,30,1992,0.1,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
939,Timothy Fosu-Mensah,NED,DF,Leverkusen,Bundesliga,24,1998,2.1,0,3,2,66.66666666666666,1.4285714285714286,0.9523809523809523,0.0,0.0,24.5,0,0,0,0.1,0.1,0.03333333333333333,-0.1,-0.1
940,Dimitri Foulquier,FRA,DF,Valencia,La Liga,29,1993,19.3,0,3,0,0.0,0.15544041450777202,0.0,0.0,0.0,13.3,0,0,0,0.2,0.2,0.06666666666666667,-0.2,-0.2
941,Juan Foyth,ARG,DF,Villarreal,La Liga,24,1998,21.8,1,14,4,28.57142857142857,0.6422018348623852,0.18348623853211007,0.07,0.25,13.7,0,0,0,1.1,1.1,0.07857142857142858,-0.1,-0.1
942,Raphael Framberger,GER,"DF,FW",Augsburg,Bundesliga,26,1995,2.0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
943,Tyrese Francois,AUS,FW,Fulham,Premier League,22,2000,0.0,0,0,0,,,,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
944,Bartol Franjić,CRO,MF,Wolfsburg,Bundesliga,22,2000,2.5,0,2,2,100.0,0.8,0.8,0.0,0.0,11.6,0,0,0,0.3,0.3,0.15,-0.3,-0.3
945,Przemysław Frankowski,POL,"DF,MF",Lens,Ligue 1,27,1995,31.5,5,28,6,21.428571428571427,0.8888888888888888,0.19047619047619047,0.07,0.33,22.1,2,3,3,4.2,1.8,0.0642857142857143,0.8,0.2
946,Ryan Fraser,SCO,FW,Newcastle Utd,Premier League,28,1994,3.5,0,6,1,16.666666666666664,1.7142857142857142,0.2857142857142857,0.0,0.0,16.6,0,0,0,0.3,0.3,0.049999999999999996,-0.3,-0.3
947,Davide Frattesi,ITA,MF,Sassuolo,Serie A,22,1999,31.9,7,64,24,37.5,2.0062695924764893,0.7523510971786834,0.11,0.29,13.9,0,0,0,7.8,7.8,0.121875,-0.8,-0.8
948,Oscar Fraulo,DEN,"FW,MF",M'Gladbach,Bundesliga,18,2003,0.1,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
949,Fred,BRA,MF,Manchester Utd,Premier League,29,1993,13.9,2,26,5,19.230769230769234,1.870503597122302,0.3597122302158273,0.08,0.4,19.5,0,0,0,2.0,2.0,0.07692307692307693,0.0,0.0
950,Ryan Fredericks,ENG,DF,Bournemouth,Premier League,29,1992,5.9,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
951,Iván Fresneda,ESP,DF,Valladolid,La Liga,17,2004,19.4,0,4,0,0.0,0.2061855670103093,0.0,0.0,0.0,17.8,0,0,0,0.6,0.6,0.15,-0.6,-0.6
952,Remo Freuler,SUI,MF,Nott'ham Forest,Premier League,30,1992,24.0,0,8,1,12.5,0.3333333333333333,0.041666666666666664,0.0,0.0,20.0,0,0,0,0.4,0.4,0.05,-0.4,-0.4
953,Michael Frey,SUI,FW,Schalke 04,Bundesliga,28,1994,9.6,0,27,9,33.33333333333333,2.8125,0.9375,0.0,0.0,15.8,0,0,0,1.7,1.7,0.06296296296296296,-1.7,-1.7
954,Marco Friedl,AUT,DF,Werder Bremen,Bundesliga,24,1998,28.8,0,6,1,16.666666666666664,0.20833333333333331,0.034722222222222224,0.0,0.0,20.8,0,0,0,0.5,0.5,0.08333333333333333,-0.5,-0.5
955,Marvin Friedrich,GER,DF,M'Gladbach,Bundesliga,26,1995,13.9,1,9,4,44.44444444444444,0.6474820143884892,0.28776978417266186,0.11,0.25,12.9,0,0,0,0.9,0.9,0.1,0.1,0.1
956,Jeremie Frimpong,NED,"DF,MF",Leverkusen,Bundesliga,21,2000,30.1,8,38,19,50.0,1.2624584717607972,0.6312292358803986,0.21,0.42,11.9,0,0,0,7.6,7.6,0.19999999999999998,0.4,0.4
957,Chris Führich,GER,"FW,MF",Stuttgart,Bundesliga,24,1998,20.9,5,43,13,30.23255813953488,2.057416267942584,0.6220095693779905,0.09,0.31,18.5,0,1,1,3.6,2.9,0.06744186046511627,1.4,1.1
958,Angelo Fulgini,FRA,"MF,FW","Lens,Mainz 05","Ligue 1,Bundesliga",25,1996,15.3,1,20,12,116.66666666666666,1.3071895424836601,0.7843137254901961,0.08,0.13,17.15,0,0,0,1.9,1.9,0.095,-0.8999999999999999,-0.8999999999999999
960,Niclas Füllkrug,GER,FW,Werder Bremen,Bundesliga,29,1993,27.5,16,74,32,43.24324324324324,2.690909090909091,1.1636363636363636,0.15,0.34,16.0,0,5,5,12.8,8.6,0.11621621621621621,3.2,2.4
961,Matteo Gabbia,ITA,DF,Milan,Serie A,22,1999,6.8,0,1,0,0.0,0.14705882352941177,0.0,0.0,0.0,19.8,0,0,0,0.0,0.0,0.0,0.0,0.0
962,Manolo Gabbiadini,ITA,"FW,MF",Sampdoria,Serie A,30,1991,26.2,7,72,28,38.88888888888889,2.7480916030534353,1.0687022900763359,0.1,0.25,19.3,6,0,0,7.4,7.4,0.10277777777777779,-0.4,-0.4
963,Gianluca Gaetano,ITA,MF,Napoli,Serie A,22,2000,0.8,1,7,5,71.42857142857143,8.75,6.25,0.14,0.2,18.3,0,0,0,1.1,1.1,0.15714285714285717,-0.1,-0.1
964,Roberto Gagliardini,ITA,MF,Inter,Serie A,28,1994,8.7,0,16,2,12.5,1.8390804597701151,0.2298850574712644,0.0,0.0,16.1,0,0,0,0.9,0.9,0.05625,-0.9,-0.9
965,Adolfo Gaich,ARG,FW,Hellas Verona,Serie A,23,1999,8.1,2,24,8,33.33333333333333,2.9629629629629632,0.9876543209876544,0.08,0.25,16.8,0,0,0,2.5,2.5,0.10416666666666667,-0.5,-0.5
966,Cody Gakpo,NED,"FW,MF",Liverpool,Premier League,23,1999,16.2,7,39,12,30.76923076923077,2.4074074074074074,0.7407407407407408,0.18,0.58,14.8,0,0,0,6.2,6.2,0.158974358974359,0.8,0.8
967,Javi Galán,ESP,DF,Celta Vigo,La Liga,27,1994,35.1,0,13,1,7.6923076923076925,0.37037037037037035,0.02849002849002849,0.0,0.0,22.4,0,0,0,0.6,0.6,0.04615384615384615,-0.6,-0.6
968,Iñigo Ruiz de Galarreta,ESP,MF,Mallorca,La Liga,28,1993,27.2,0,10,2,20.0,0.36764705882352944,0.07352941176470588,0.0,0.0,25.3,0,0,0,0.3,0.3,0.03,-0.3,-0.3
969,Pablo Galdames Millán,CHI,MF,Cremonese,Serie A,25,1996,8.2,1,7,4,57.14285714285714,0.853658536585366,0.48780487804878053,0.14,0.25,23.3,1,0,0,0.3,0.3,0.04285714285714286,0.7,0.7
970,Conor Gallagher,ENG,MF,Chelsea,Premier League,22,2000,18.0,3,28,11,39.285714285714285,1.5555555555555556,0.6111111111111112,0.11,0.27,17.9,0,0,0,2.5,2.5,0.08928571428571429,0.5,0.5
971,Antonino Gallo,ITA,DF,Lecce,Serie A,22,2000,27.6,0,10,2,20.0,0.36231884057971014,0.07246376811594203,0.0,0.0,25.8,0,0,0,0.6,0.6,0.06,-0.6,-0.6
972,Gauthier Gallon,FRA,GK,Troyes,Ligue 1,29,1993,29.6,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
973,Cristian Gamboa,CRC,DF,Bochum,Bundesliga,32,1989,16.4,0,8,1,12.5,0.48780487804878053,0.06097560975609757,0.0,0.0,29.6,0,0,0,0.2,0.2,0.025,-0.2,-0.2
974,Kévin Gameiro,FRA,FW,Strasbourg,Ligue 1,35,1987,23.3,10,44,22,50.0,1.888412017167382,0.944206008583691,0.2,0.41,13.0,0,1,2,8.0,6.3,0.1431818181818182,2.0,2.7
975,Idrissa Gana Gueye,SEN,MF,Everton,Premier League,32,1989,28.6,0,15,6,40.0,0.5244755244755245,0.2097902097902098,0.0,0.0,25.1,1,0,0,0.7,0.7,0.04666666666666666,-0.7,-0.7
976,Ignatius Ganago,CMR,"FW,MF","Nantes,Lens","Ligue 1,Ligue 1",23,1999,17.599999999999998,5,34,14,42.42424242424242,1.931818181818182,0.7954545454545455,0.15,0.36,18.05,0,0,0,3.7,3.7,0.10882352941176471,1.3,1.3
978,Silvère Ganvoula M'Boussy,CGO,"FW,MF",Bochum,Bundesliga,26,1996,2.7,0,9,3,33.33333333333333,3.333333333333333,1.111111111111111,0.0,0.0,20.2,0,0,0,0.5,0.5,0.05555555555555555,-0.5,-0.5
979,Aleix García,ESP,MF,Girona,La Liga,25,1997,26.0,1,32,14,43.75,1.2307692307692308,0.5384615384615384,0.03,0.07,23.2,4,0,0,1.8,1.8,0.05625,-0.8,-0.8
980,Álvaro García,ESP,"FW,MF",Rayo Vallecano,La Liga,29,1992,31.9,5,52,21,40.38461538461539,1.6300940438871474,0.658307210031348,0.1,0.24,17.7,0,0,0,3.6,3.6,0.06923076923076923,1.4,1.4
981,Borja García,ESP,"MF,FW",Girona,La Liga,31,1990,7.5,1,8,3,37.5,1.0666666666666667,0.4,0.13,0.33,20.9,0,0,0,0.7,0.7,0.0875,0.3,0.3
982,Carlos García,ESP,DF,Cádiz,La Liga,22,2000,0.3,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
983,Dani García,ESP,MF,Athletic Club,La Liga,32,1990,16.5,0,9,0,0.0,0.5454545454545454,0.0,0.0,0.0,18.2,0,0,0,1.4,1.4,0.15555555555555556,-1.4,-1.4
984,David García,ESP,DF,Osasuna,La Liga,28,1994,29.8,2,15,3,20.0,0.5033557046979865,0.10067114093959731,0.13,0.67,10.2,0,0,0,0.7,0.7,0.04666666666666666,1.3,1.3
985,Eric García,ESP,"DF,MF",Barcelona,La Liga,21,2001,15.7,1,7,1,14.285714285714285,0.445859872611465,0.06369426751592357,0.14,1.0,12.9,0,0,0,1.6,1.6,0.2285714285714286,-0.6,-0.6
986,Fran Garcia,ESP,DF,Rayo Vallecano,La Liga,22,1999,37.9,2,30,11,36.666666666666664,0.79155672823219,0.29023746701846964,0.07,0.18,27.9,0,0,0,1.2,1.2,0.04,0.8,0.8
987,Joan García,ESP,GK,Espanyol,La Liga,21,2001,1.0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
988,Raúl García,ESP,"FW,MF",Athletic Club,La Liga,36,1986,10.7,2,52,14,26.923076923076923,4.85981308411215,1.3084112149532712,0.04,0.14,14.6,0,0,0,5.2,5.2,0.1,-3.2,-3.2
989,Rubén García,ESP,"FW,MF",Osasuna,La Liga,29,1993,12.9,2,20,4,20.0,1.5503875968992247,0.31007751937984496,0.1,0.5,19.1,1,0,0,1.8,1.8,0.09,0.2,0.2
990,Unai García,ESP,DF,Osasuna,La Liga,30,1992,19.0,0,5,2,40.0,0.2631578947368421,0.10526315789473684,0.0,0.0,12.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2
