Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,ADWon,ADLost,ADWonp
1,Brenden Aaronson,USA,"MF,FW",Leeds United,Premier League,21,2000,26.4,2,0,0,16,55,6,72,5,18,0,0,0,128,8,39,17.02127659574468
2,Paxten Aaronson,USA,"MF,DF",Eint Frankfurt,Bundesliga,18,2003,1.9,1,0,0,5,3,1,7,0,5,0,0,0,8,1,1,50.0
3,James Abankwah,IRL,DF,Udinese,Serie A,18,2004,0.7,0,0,0,2,1,0,0,0,1,0,0,0,2,2,0,100.0
4,George Abbott,ENG,MF,Tottenham,Premier League,16,2005,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
5,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,34,1987,37.0,6,0,0,49,28,2,5,64,50,0,0,0,263,93,51,64.58333333333334
6,Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,22,1999,23.7,3,0,0,43,31,1,35,28,38,0,0,0,180,18,23,43.90243902439025
7,Salis Abdul Samed,GHA,MF,Lens,Ligue 1,22,2000,32.2,6,1,0,71,38,0,10,36,26,0,0,1,213,14,17,45.16129032258064
8,Laurent Abergel,FRA,MF,Lorient,Ligue 1,29,1993,26.0,7,1,1,28,29,0,6,34,52,0,0,0,193,8,15,34.78260869565217
9,Oliver Abildgaard,DEN,MF,Hellas Verona,Serie A,26,1996,6.6,2,0,0,13,7,0,5,5,6,0,0,0,37,50,21,70.4225352112676
10,Matthis Abline,FRA,"FW,MF","Auxerre,Rennes",Ligue 1,19,2003,10.2,1,0,0,17,15,6,8,3,3,1,0,0,15,13,34,27.659574468085108
12,Abner,BRA,DF,Betis,La Liga,22,2000,6.7,2,0,0,8,2,0,13,8,9,0,1,0,43,9,16,36.0
13,Zakaria Aboukhlal,MAR,"FW,MF",Toulouse,Ligue 1,22,2000,27.5,4,0,0,41,46,20,29,22,23,0,0,0,130,12,31,27.906976744186046
14,Tammy Abraham,ENG,FW,Roma,Serie A,24,1997,24.3,2,0,0,33,48,11,11,3,10,1,0,0,46,80,74,51.94805194805194
15,Christian Acella,ITA,MF,Cremonese,Serie A,20,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
16,Francesco Acerbi,ITA,DF,Inter,Serie A,34,1988,26.9,4,0,0,17,13,2,22,41,19,0,0,0,151,78,42,65.0
17,Álvaro Aceves,ESP,GK,Valladolid,La Liga,19,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50.0
18,Mohamed Achi,FRA,FW,Nantes,Ligue 1,20,2002,0.4,0,0,0,2,0,0,1,0,1,0,0,0,2,0,0,
19,Marcos Acuña,ARG,DF,Sevilla,La Liga,30,1991,21.2,10,3,0,32,34,1,147,23,36,0,1,0,141,30,18,62.5
20,Che Adams,SCO,FW,Southampton,Premier League,26,1996,22.1,1,0,0,38,27,14,12,4,13,0,0,0,53,61,103,37.19512195121951
21,Tyler Adams,USA,MF,Leeds United,Premier League,23,1999,24.0,6,1,1,37,21,1,2,35,46,0,0,0,199,25,15,62.5
22,Sargis Adamyan,ARM,"FW,MF",Köln,Bundesliga,29,1993,7.2,3,0,0,17,6,4,13,4,7,0,0,0,40,12,25,32.432432432432435
23,Tosin Adarabioyo,ENG,DF,Fulham,Premier League,24,1997,23.2,4,0,0,17,5,3,2,26,13,0,0,0,110,59,26,69.41176470588235
24,Martin Adeline,FRA,"MF,FW",Reims,Ligue 1,18,2003,1.2,2,0,0,5,0,0,0,3,3,0,0,0,11,6,5,54.54545454545454
25,Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,20,2002,15.4,9,0,0,21,30,1,25,7,11,0,0,0,66,10,4,71.42857142857143
26,Amine Adli,MAR,"FW,MF",Leverkusen,Bundesliga,22,2000,15.9,2,2,0,39,47,4,18,6,10,2,1,0,61,29,41,41.42857142857143
27,Yacine Adli,FRA,"MF,FW",Milan,Serie A,22,2000,1.6,1,0,0,4,1,1,6,1,3,0,0,0,8,1,3,25.0
28,Michel Aebischer,SUI,"FW,MF",Bologna,Serie A,25,1997,17.1,4,0,0,22,22,7,21,7,6,1,1,0,68,10,25,28.57142857142857
29,Felix Afena-Gyan,GHA,"FW,MF",Cremonese,Serie A,19,2003,9.1,4,0,0,18,11,6,4,1,3,0,0,0,39,17,42,28.8135593220339
30,Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,25,1997,26.5,5,3,0,29,6,0,2,32,49,0,1,1,248,60,36,62.5
31,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,21,2000,7.5,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,100.0
32,Lucien Agoume,FRA,MF,Troyes,Ligue 1,20,2002,12.2,5,0,0,30,8,1,9,27,25,0,0,0,84,31,18,63.26530612244898
33,Felix Agu,GER,"DF,FW",Werder Bremen,Bundesliga,22,1999,0.5,0,0,0,3,3,0,1,0,0,0,1,0,3,1,1,50.0
34,Álvaro Aguado,ESP,MF,Valladolid,La Liga,26,1996,21.0,4,0,0,13,33,0,57,13,15,0,1,0,130,15,17,46.875
35,Kevin Agudelo,COL,"MF,FW",Spezia,Serie A,23,1998,23.7,5,0,0,34,35,2,34,10,38,0,0,0,140,17,27,38.63636363636363
36,Nayef Aguerd,MAR,DF,West Ham,Premier League,26,1996,17.7,4,0,0,8,8,2,0,18,18,0,1,0,105,32,31,50.79365079365079
37,Ruben Aguilar,FRA,DF,Monaco,Ligue 1,29,1993,13.0,3,0,0,15,14,1,39,18,9,0,0,0,80,12,14,46.15384615384615
38,Naouirou Ahamada,FRA,"MF,FW","Crystal Palace,Stuttgart","Premier League,Bundesliga",20,2002,16.5,5,1,1,18,17,3,8,8,13,0,1,0,96,7,17,29.166666666666668
40,Amar Ahmed,SWE,FW,Troyes,Ligue 1,18,2004,0.2,0,0,0,1,1,0,0,1,1,0,0,0,2,0,3,0.0
41,Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,28,1994,14.4,4,1,0,39,23,1,5,24,20,0,0,0,91,26,18,59.09090909090909
42,Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,26,1995,34.7,6,1,1,18,18,0,2,31,36,0,1,0,214,63,63,50.0
43,Ola Aina,NGA,DF,Torino,Serie A,25,1996,9.7,5,0,0,16,16,1,35,11,13,0,1,0,62,12,10,54.54545454545454
44,Rayan Aït Nouri,ALG,DF,Wolves,Premier League,21,2001,12.0,4,0,0,15,11,3,21,9,20,0,1,1,61,14,17,45.16129032258064
45,Emanuel Aiwum,AUT,DF,Cremonese,Serie A,21,2000,18.4,3,0,0,21,15,0,4,25,34,0,0,0,121,28,17,62.22222222222222
46,Kristoffer Ajer,NOR,DF,Brentford,Premier League,24,1998,8.5,0,0,0,5,8,0,6,7,8,0,1,0,36,15,11,57.692307692307686
47,Ludovic Ajorque,FRA,FW,"Strasbourg,Mainz 05","Ligue 1,Bundesliga",28,1994,22.1,6,0,0,37,27,6,4,3,9,0,0,0,71,141,118,54.440154440154444
49,Manuel Akanji,SUI,DF,Manchester City,Premier League,27,1995,25.4,2,0,0,24,12,0,6,16,25,0,0,0,136,23,34,40.35087719298245
50,Nathan Aké,NED,DF,Manchester City,Premier League,27,1995,20.8,2,0,0,12,14,1,15,20,12,0,0,0,96,36,23,61.016949152542374
51,Sergio Akieme,ESP,DF,Almería,La Liga,24,1997,25.5,5,0,0,20,18,0,70,14,16,0,0,0,127,14,15,48.275862068965516
52,Babatunde Akinsola,NGA,FW,Valladolid,La Liga,19,2003,0.1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
53,Maghnes Akliouche,FRA,"MF,FW",Monaco,Ligue 1,20,2002,4.5,3,0,0,7,4,1,10,3,4,0,0,0,23,2,6,25.0
54,Paul Akouokou,CIV,"MF,DF",Betis,La Liga,24,1997,5.0,3,0,0,7,4,0,0,12,9,0,0,0,27,6,7,46.15384615384615
55,Jean-Daniel Akpa-Akpro,CIV,"MF,FW",Empoli,Serie A,29,1992,15.1,9,2,1,31,18,0,11,13,37,0,0,0,76,16,18,47.05882352941176
56,Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,27,1995,21.7,11,0,0,33,19,0,8,24,44,0,0,0,131,57,45,55.88235294117647
57,David Alaba,AUT,DF,Real Madrid,La Liga,30,1992,20.4,3,0,0,9,3,0,26,14,11,0,1,0,94,11,8,57.89473684210527
58,Ángel Alarcón,ESP,FW,Barcelona,La Liga,18,2004,0.3,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,
59,Tomás Alarcón,CHI,MF,Cádiz,La Liga,23,1999,2.5,2,1,1,4,3,0,6,2,2,0,0,0,14,3,1,75.0
60,Lucas Alario,ARG,"FW,MF",Eint Frankfurt,Bundesliga,29,1992,3.7,0,0,0,9,2,5,0,2,2,0,0,0,10,21,23,47.72727272727273
61,Jordi Alba,ESP,DF,Barcelona,La Liga,33,1989,15.8,6,1,1,11,4,10,91,11,18,0,0,0,118,8,15,34.78260869565217
62,Luis Alberto,ESP,MF,Lazio,Serie A,29,1992,27.1,4,0,0,15,13,2,147,9,29,0,0,0,162,8,13,38.095238095238095
63,Raúl Albiol,ESP,DF,Villarreal,La Liga,36,1985,23.5,6,0,0,17,13,1,1,14,17,0,0,0,108,38,25,60.317460317460316
64,Marc Albrighton,ENG,"FW,MF",Leicester City,Premier League,32,1989,2.6,0,0,0,2,2,1,28,1,1,0,0,0,13,1,1,50.0
65,Thiago Alcántara,ESP,MF,Liverpool,Premier League,31,1991,13.9,2,0,0,18,25,0,3,21,24,0,1,0,111,14,24,36.84210526315789
66,Carlos Alcaraz,ARG,"MF,FW",Southampton,Premier League,19,2002,11.4,3,0,0,16,17,2,4,1,5,0,0,0,53,7,27,20.588235294117645
67,Rubén Alcaraz,ESP,MF,Cádiz,La Liga,31,1991,22.7,11,1,1,45,33,0,44,19,31,0,1,0,159,30,29,50.847457627118644
68,Omar Alderete,PAR,DF,Getafe,La Liga,25,1996,22.7,9,0,0,35,10,0,7,26,20,0,0,0,141,61,31,66.30434782608695
69,Iván Alejo,ESP,"MF,FW",Cádiz,La Liga,27,1995,14.6,13,1,1,38,44,2,108,5,21,0,1,0,76,25,17,59.523809523809526
70,Doğan Alemdar,TUR,GK,Rennes,Ligue 1,19,2002,4.5,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0,100.0
71,Carles Aleñá,ESP,"MF,FW",Getafe,La Liga,24,1998,23.5,12,1,1,60,50,3,43,4,10,0,1,0,120,15,38,28.30188679245283
72,Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,23,1998,32.5,5,0,0,22,6,5,252,43,40,0,0,0,239,20,13,60.60606060606061
73,Alejandro Alfaro,ESP,MF,Elche,La Liga,20,2002,0.2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
74,Ángel Algobia,ESP,MF,Getafe,La Liga,23,1999,12.6,3,0,0,31,10,0,11,3,13,0,0,0,68,7,21,25.0
75,Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,La Liga,18,2004,6.5,1,0,0,11,12,3,30,2,10,1,0,0,34,5,15,25.0
76,Faride Alidou,GER,"DF,MF",Eint Frankfurt,Bundesliga,21,2001,2.0,0,0,0,8,1,2,7,1,5,0,0,0,16,2,7,22.22222222222222
77,Alisson,BRA,GK,Liverpool,Premier League,29,1992,37.0,1,0,0,1,5,0,0,0,0,0,0,0,71,11,1,91.66666666666666
78,Jim Allevinah,GAB,"DF,FW",Clermont Foot,Ligue 1,27,1995,24.9,2,0,0,22,53,1,65,24,24,0,0,0,153,12,17,41.37931034482759
79,Dele Alli,ENG,MF,Everton,Premier League,26,1996,0.4,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,33.33333333333333
80,Domingos André Ribeiro Almeida,POR,MF,Valencia,La Liga,22,2000,28.2,3,0,0,31,40,1,127,20,42,0,0,0,161,14,29,32.55813953488372
81,Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,28,1994,27.7,2,0,0,22,33,9,26,10,30,0,0,0,139,6,10,37.5
82,Marcos Alonso,ESP,DF,Barcelona,La Liga,31,1990,13.0,3,0,0,10,8,0,23,11,10,0,1,0,85,26,10,72.22222222222221
83,Mickaël Alphonse,GLP,DF,Ajaccio,Ligue 1,33,1989,15.1,2,1,0,19,15,0,27,35,23,0,1,1,89,32,27,54.23728813559322
84,Éder Álvarez Balanta,COL,"MF,FW",Schalke 04,Bundesliga,29,1993,2.6,3,0,0,5,0,0,2,3,4,0,0,0,18,4,1,80.0
85,Carlos Álvarez,ESP,MF,Sevilla,La Liga,18,2003,0.1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,
86,Gastón Álvarez,URU,DF,Getafe,La Liga,22,2000,16.7,7,1,0,27,12,0,23,15,30,0,1,0,53,31,31,50.0
87,Julián Álvarez,ARG,"FW,MF",Manchester City,Premier League,22,2000,16.3,0,0,0,21,14,3,26,2,16,1,0,0,44,8,23,25.806451612903224
88,Agustín Álvarez Martínez,URU,"FW,MF",Sassuolo,Serie A,21,2001,4.1,1,0,0,8,4,2,4,3,3,0,0,0,20,8,12,40.0
89,Yeray Álvarez,ESP,DF,Athletic Club,La Liga,27,1995,25.9,7,1,0,22,22,1,9,48,23,0,2,0,194,55,39,58.51063829787234
90,Ibrahim Amadou,FRA,"DF,MF",Angers,Ligue 1,29,1993,4.7,2,0,0,4,3,0,1,10,7,0,2,0,29,6,5,54.54545454545454
91,Selim Amallah,MAR,"MF,FW",Valladolid,La Liga,25,1996,3.0,2,1,0,10,8,1,2,5,9,0,0,0,10,7,8,46.666666666666664
92,Daniel Amartey,GHA,DF,Leicester City,Premier League,27,1994,17.9,1,0,0,7,3,0,0,8,8,0,1,0,108,34,26,56.666666666666664
93,Amath,SEN,"MF,FW",Mallorca,La Liga,26,1996,13.6,2,1,0,35,24,7,16,5,19,1,0,0,62,8,19,29.629629629629626
94,Jordan Amavi,FRA,DF,Getafe,La Liga,28,1994,2.2,2,1,1,3,2,1,6,4,2,0,0,0,15,8,3,72.72727272727273
95,Lukáš Ambros,CZE,MF,Wolfsburg,Bundesliga,18,2004,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
96,Kelvin Amian,FRA,DF,Spezia,Serie A,24,1998,26.4,7,1,1,37,5,1,39,22,32,0,2,0,107,34,35,49.275362318840585
97,Bruno Amione,ARG,DF,"Hellas Verona,Sampdoria",Serie A,20,2002,23.8,11,1,1,27,16,0,5,25,34,0,1,0,126,69,43,61.60714285714286
99,Nadiem Amiri,GER,"MF,FW",Leverkusen,Bundesliga,25,1996,10.9,6,0,0,14,25,4,16,6,6,0,0,0,75,1,10,9.090909090909092
100,Samuel Amo-Ameyaw,ENG,MF,Southampton,Premier League,16,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
101,Ethan Ampadu,WAL,"DF,MF",Spezia,Serie A,21,2000,29.3,10,1,1,44,20,1,11,36,37,0,2,0,203,61,40,60.396039603960396
102,Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,25,1996,22.2,11,0,0,54,28,0,26,21,24,0,2,0,157,11,13,45.83333333333333
103,Ayoub Amraoui,MAR,"DF,FW",Nice,Ligue 1,18,2004,3.3,1,0,0,5,2,0,14,4,5,0,0,0,12,0,1,0.0
104,Joachim Andersen,DEN,DF,Crystal Palace,Premier League,26,1996,30.9,8,0,0,27,16,2,10,24,22,0,0,2,180,87,34,71.900826446281
105,Elliot Anderson,SCO,"MF,FW",Newcastle Utd,Premier League,19,2002,4.6,0,0,0,6,10,1,9,6,5,0,0,0,29,11,5,68.75
106,Felipe Anderson,BRA,FW,Lazio,Serie A,29,1993,32.9,3,0,0,40,33,7,50,31,50,1,0,0,142,14,21,40.0
107,Benjamin André,FRA,MF,Lille,Ligue 1,31,1990,32.4,12,0,0,57,39,1,14,47,74,1,0,0,278,91,61,59.86842105263158
108,Marcos André,BRA,"FW,MF",Valencia,La Liga,25,1996,5.0,2,1,0,9,12,1,1,0,1,0,0,0,9,10,15,40.0
109,Komnen Andrić,SRB,FW,Clermont Foot,Ligue 1,27,1995,16.1,4,0,0,16,41,7,1,8,5,1,1,0,37,45,59,43.269230769230774
110,Robert Andrich,GER,MF,Leverkusen,Bundesliga,27,1994,26.7,7,0,0,35,20,0,4,42,38,0,0,1,153,56,43,56.56565656565656
111,Angeliño,ESP,DF,Hoffenheim,Bundesliga,25,1997,29.1,2,0,0,12,29,7,179,25,24,0,0,0,148,15,27,35.714285714285715
112,Fabrizio Angileri,ARG,DF,Getafe,La Liga,28,1994,6.5,2,1,0,7,1,0,12,7,9,0,1,0,19,17,10,62.96296296296296
113,Jaidon Anthony,ENG,"MF,FW",Bournemouth,Premier League,22,1999,14.0,2,0,0,9,12,5,43,10,17,0,0,0,80,10,12,45.45454545454545
114,Janis Antiste,FRA,FW,Sassuolo,Serie A,19,2002,0.6,0,0,0,4,0,0,0,0,0,0,0,0,4,2,1,66.66666666666666
115,Waldemar Anton,GER,DF,Stuttgart,Bundesliga,26,1996,32.6,4,0,0,31,31,1,31,38,27,0,0,0,231,55,50,52.38095238095239
116,Josep Antoni Gayá,ESP,"DF,MF",Mallorca,La Liga,22,2000,1.1,0,0,0,0,0,0,0,1,0,0,0,0,5,1,1,50.0
117,José Antonio,ESP,"MF,DF",Cádiz,La Liga,18,2004,0.5,0,0,0,0,4,0,1,0,1,0,0,0,2,0,0,
118,Marcos Antônio,BRA,MF,Lazio,Serie A,22,2000,6.6,2,0,0,9,15,0,0,11,6,0,0,0,42,0,4,0.0
119,Michail Antonio,JAM,FW,West Ham,Premier League,32,1990,20.3,2,0,0,28,44,12,35,5,7,0,1,0,43,50,88,36.231884057971016
120,Antony,BRA,FW,Manchester Utd,Premier League,22,2000,20.0,5,0,0,15,25,2,32,11,9,0,0,0,99,5,19,20.833333333333336
121,Valentin Antov,BUL,DF,Monza,Serie A,21,2000,3.4,2,0,0,4,2,0,2,4,5,0,0,0,24,6,11,35.294117647058826
122,Christopher Antwi-Adjei,GHA,"FW,MF",Bochum,Bundesliga,28,1994,22.0,2,0,0,24,40,15,63,5,15,1,0,0,109,16,45,26.229508196721312
123,Anuar,MAR,"MF,FW",Valladolid,La Liga,27,1995,2.3,1,0,0,3,6,1,1,3,4,0,0,0,10,2,5,28.57142857142857
124,Houssem Aouar,ALG,MF,Lyon,Ligue 1,24,1998,5.8,2,0,0,7,5,0,6,8,5,0,0,0,35,6,4,60.0
125,Adil Aouchiche,FRA,MF,Lorient,Ligue 1,20,2002,2.8,0,0,0,4,5,0,17,4,2,0,0,0,14,0,3,0.0
126,Dennis Appiah,FRA,"DF,MF",Nantes,Ligue 1,30,1992,8.8,1,0,0,16,1,1,21,10,11,0,1,0,50,16,16,50.0
127,Stredair Appuah,FRA,"DF,MF",Nantes,Ligue 1,18,2004,0.7,0,0,0,0,2,0,2,1,1,0,0,0,5,1,3,25.0
128,Mauro Arambarri,URU,MF,Getafe,La Liga,26,1995,11.0,5,1,1,21,11,0,42,14,6,0,0,1,63,15,12,55.55555555555556
129,Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,33,1989,5.5,1,0,0,7,10,0,12,7,7,0,0,0,33,2,7,22.22222222222222
130,Ronald Araújo,URU,DF,Barcelona,La Liga,23,1999,20.0,5,1,0,16,17,1,5,12,18,0,0,1,94,46,27,63.013698630136986
131,Cameron Archer,ENG,"FW,MF",Aston Villa,Premier League,21,2001,0.5,0,0,0,2,1,1,1,0,0,0,0,0,2,0,0,
132,Taïryk Arconte,FRA,FW,Brest,Ligue 1,18,2003,1.4,0,0,0,1,2,1,1,0,1,0,0,0,3,3,3,50.0
133,Alphonse Areola,FRA,GK,West Ham,Premier League,29,1993,3.4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,
134,Adu Ares,ESP,"FW,MF",Athletic Club,La Liga,20,2001,0.9,0,0,0,2,8,0,8,2,2,0,0,0,7,3,0,100.0
135,Joe Aribo,NGA,"MF,FW",Southampton,Premier League,26,1996,13.6,2,0,0,10,13,0,8,10,20,0,0,0,76,30,43,41.0958904109589
136,Adam Armstrong,ENG,"FW,MF",Southampton,Premier League,25,1997,14.8,2,0,0,17,9,2,14,5,9,0,0,0,54,5,21,19.230769230769234
137,Stuart Armstrong,SCO,"MF,FW",Southampton,Premier League,30,1992,15.6,6,0,0,17,20,1,37,10,21,0,0,0,83,6,8,42.857142857142854
138,Marko Arnautović,AUT,FW,Bologna,Serie A,33,1989,17.0,5,0,0,22,20,11,9,2,6,0,0,0,36,10,12,45.45454545454545
139,Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,28,1994,30.7,5,0,0,33,64,0,154,26,31,0,0,1,225,30,30,50.0
140,Mohamed El Arouch,FRA,MF,Lyon,Ligue 1,18,2004,0.0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,
141,Sergio Arribas,ESP,"MF,FW",Real Madrid,La Liga,20,2001,0.2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,
142,Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,27,1994,28.5,1,0,0,0,8,0,0,1,2,0,0,0,42,11,1,91.66666666666666
143,Roberto Arroyo,ESP,MF,Valladolid,La Liga,18,2003,0.2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,
144,Tolgay Arslan,GER,MF,Udinese,Serie A,31,1990,13.5,3,0,0,15,35,0,28,12,18,0,0,0,78,8,4,66.66666666666666
145,Ricard Artero,ESP,"MF,FW",Girona,La Liga,19,2003,1.5,0,0,0,2,1,0,0,1,3,0,0,0,8,2,2,50.0
146,Arthur,BRA,FW,Fiorentina,Serie A,24,1998,15.9,4,0,0,26,18,2,4,1,2,0,1,0,39,49,49,50.0
147,Santiago Arzamendia,PAR,"DF,MF",Cádiz,La Liga,24,1998,5.4,0,0,0,4,2,1,14,2,8,0,0,0,46,6,6,50.0
148,Takuma Asano,JPN,"FW,MF",Bochum,Bundesliga,27,1994,19.0,1,0,0,10,24,7,28,8,9,0,0,0,82,19,28,40.42553191489361
149,Santiago Ascacíbar,ARG,MF,Cremonese,Serie A,25,1997,8.1,1,0,0,11,9,0,5,13,14,0,0,0,62,10,20,33.33333333333333
150,Sergio Asenjo,ESP,GK,Valladolid,La Liga,33,1989,10.0,0,0,0,0,4,0,0,0,0,0,0,0,22,0,0,
151,Marco Asensio,ESP,"FW,MF",Real Madrid,La Liga,26,1996,16.0,1,0,0,10,16,4,82,5,10,1,1,0,45,3,2,60.0
152,Kristoffer Askildsen,NOR,MF,Lecce,Serie A,21,2001,8.1,3,0,0,20,7,1,19,11,3,0,1,0,45,21,19,52.5
153,Fisnik Asllani,KVX,FW,Hoffenheim,Bundesliga,19,2002,1.9,0,0,0,2,3,2,3,3,0,0,0,0,4,6,7,46.15384615384615
154,Kristjan Asllani,ALB,MF,Inter,Serie A,20,2002,6.6,2,0,0,5,7,0,21,6,5,0,0,0,37,0,4,0.0
155,Iago Aspas,ESP,FW,Celta Vigo,La Liga,34,1987,31.9,6,0,0,16,59,12,45,7,4,0,0,0,103,31,45,40.78947368421053
156,Lorenz Assignon,TOG,DF,Rennes,Ligue 1,22,2000,2.9,3,0,0,4,4,0,4,2,2,0,0,0,19,8,4,66.66666666666666
157,Youcef Atal,ALG,"DF,MF",Nice,Ligue 1,26,1996,8.7,1,0,0,9,15,3,40,14,22,0,0,0,51,9,7,56.25
158,Valentin Atangana Edoa,FRA,MF,Reims,Ligue 1,16,2005,1.9,0,0,0,7,8,2,1,0,3,0,0,0,10,3,0,100.0
159,Pierre-Emerick Aubameyang,GAB,FW,"Chelsea,Barcelona","Premier League,La Liga",33,1989,6.3,1,0,0,5,1,0,3,2,0,0,0,0,12,3,11,21.428571428571427
161,Emil Audero,ITA,GK,Sampdoria,Serie A,25,1997,25.0,1,0,0,0,2,0,0,0,0,0,0,1,41,6,0,100.0
162,Tommaso Augello,ITA,DF,Sampdoria,Serie A,27,1994,34.0,3,0,0,14,26,1,170,17,14,0,1,0,183,38,32,54.285714285714285
163,Ludwig Augustinsson,SWE,DF,"Aston Villa,Mallorca","Premier League,La Liga",28,1994,2.4,1,0,0,1,4,0,11,1,1,0,0,0,22,4,1,80.0
165,Serge Aurier,CIV,DF,Nott'ham Forest,Premier League,29,1992,21.6,2,0,0,18,19,0,40,29,41,0,0,0,126,46,32,58.97435897435898
166,Mathias Autret,FRA,"MF,FW",Auxerre,Ligue 1,31,1991,14.3,0,0,0,7,4,2,65,12,10,0,0,0,73,5,13,27.77777777777778
167,Ezequiel Ávila,ARG,"FW,MF",Osasuna,La Liga,28,1994,19.0,7,1,0,25,35,14,81,8,5,0,0,0,54,35,50,41.17647058823529
168,Cédric Avinel,GLP,DF,Ajaccio,Ligue 1,35,1986,19.9,2,1,0,12,2,0,0,15,7,0,2,0,93,38,15,71.69811320754717
169,Taiwo Awoniyi,NGA,FW,Nott'ham Forest,Premier League,24,1997,15.6,2,0,0,24,19,15,3,4,10,0,0,0,56,20,61,24.691358024691358
170,Yasin Ayari,SWE,MF,Brighton,Premier League,18,2003,0.7,0,0,0,0,3,0,0,0,2,0,0,0,3,0,1,0.0
171,Mehmet Aydin,GER,"DF,FW",Schalke 04,Bundesliga,20,2002,6.3,0,0,0,6,6,0,23,10,18,0,0,0,49,13,17,43.333333333333336
172,André Ayew,GHA,"FW,MF",Nott'ham Forest,Premier League,32,1989,3.5,1,0,0,3,8,1,1,0,3,0,0,0,9,14,22,38.88888888888889
173,Jordan Ayew,GHA,"FW,MF",Crystal Palace,Premier League,30,1991,30.2,5,0,0,48,90,4,43,15,41,0,0,0,166,50,92,35.2112676056338
174,Kaan Ayhan,TUR,DF,Sassuolo,Serie A,27,1994,6.1,1,0,0,4,8,0,0,5,4,0,0,0,28,2,7,22.22222222222222
175,Luke Ayling,ENG,DF,Leeds United,Premier League,30,1991,22.8,3,0,0,15,35,1,62,26,37,0,1,0,152,47,57,45.19230769230769
176,Ayman Azhil,MAR,MF,Leverkusen,Bundesliga,21,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
177,Sardar Azmoun,IRN,"FW,MF",Leverkusen,Bundesliga,27,1995,10.3,1,0,0,17,1,8,0,2,3,1,0,0,33,22,46,32.35294117647059
178,César Azpilicueta,ESP,DF,Chelsea,Premier League,32,1989,17.0,3,0,0,27,7,2,26,19,25,0,0,1,59,29,19,60.416666666666664
179,Sanoussy Ba,GER,DF,RB Leipzig,Bundesliga,18,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
180,Iddrisu Baba,GHA,"MF,DF",Mallorca,La Liga,26,1996,18.9,5,0,0,31,30,0,0,11,17,0,0,0,122,37,28,56.92307692307692
181,Srđan Babić,SRB,DF,Almería,La Liga,26,1996,33.3,5,0,0,24,9,2,2,29,18,0,0,0,136,71,46,60.68376068376068
182,Loïc Bade,FRA,DF,"Sevilla,Rennes","La Liga,Ligue 1",22,2000,17.1,5,0,0,16,5,0,4,24,21,0,0,0,101,36,29,55.38461538461539
184,Édgar Badía,ESP,GK,Elche,La Liga,30,1992,36.0,2,0,0,1,6,0,0,0,0,0,1,0,33,8,1,88.88888888888889
185,Benoît Badiashile,FRA,DF,"Chelsea,Monaco","Premier League,Ligue 1",21,2001,19.4,5,0,0,19,10,0,2,33,8,0,0,0,143,56,21,72.72727272727273
187,Alex Baena,ESP,"MF,FW",Villarreal,La Liga,21,2001,21.6,13,1,1,58,56,3,26,7,17,1,1,0,100,1,26,3.7037037037037033
188,Jaime Báez,URU,DF,Cremonese,Serie A,27,1995,1.1,0,0,0,1,1,1,9,0,2,0,0,0,5,1,0,100.0
