Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,ADWon,ADLost,ADWonp
2431,Stephan El Shaarawy,ITA,"DF,MF",Roma,Serie A,29,1992,16.9,3,0,0,16,18,9,23,15,9,1,0,0,96,16,18,47.05882352941176
2432,Eniss Shabani,GER,MF,Mainz 05,Bundesliga,19,2003,0.1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
2433,Luke Shaw,ENG,DF,Manchester Utd,Premier League,27,1995,28.4,8,0,0,46,27,1,89,36,36,0,1,0,189,46,29,61.33333333333333
2434,Jonjo Shelvey,ENG,MF,"Newcastle Utd,Nott'ham Forest",Premier League,30,1992,6.4,2,0,0,10,1,0,13,5,1,0,1,0,36,4,1,80.0
2436,Eldor Shomurodov,UZB,FW,"Spezia,Roma",Serie A,27,1995,10.3,2,0,0,10,9,2,3,4,5,0,0,0,32,22,37,37.28813559322034
2438,Kaj Sierhuis,NED,"FW,MF",Reims,Ligue 1,24,1998,2.4,0,0,0,5,4,0,6,1,3,0,0,0,9,2,8,20.0
2439,Vincent Sierro,SUI,MF,Toulouse,Ligue 1,26,1995,7.4,3,0,0,19,8,0,25,4,11,0,0,0,50,9,9,50.0
2440,Kiliann Sildillia,FRA,"DF,MF",Freiburg,Bundesliga,20,2002,22.0,4,1,1,38,6,2,26,21,20,0,0,0,107,42,43,49.411764705882355
2441,André Silva,POR,FW,RB Leipzig,Bundesliga,26,1995,19.3,3,0,0,32,44,10,4,3,6,0,0,0,48,20,35,36.36363636363637
2442,Bernardo Silva,POR,"MF,FW",Manchester City,Premier League,27,1994,24.5,5,0,0,31,15,2,75,16,23,1,0,0,122,4,13,23.52941176470588
2443,Caio Henrique Oliveira Silva,BRA,DF,Monaco,Ligue 1,25,1997,32.2,3,0,0,15,25,1,169,26,51,0,0,1,208,16,27,37.2093023255814
2444,David Silva,ESP,MF,Real Sociedad,La Liga,36,1986,21.5,3,0,0,30,33,3,20,15,21,0,0,0,137,10,12,45.45454545454545
2445,Rui Silva,POR,GK,Betis,La Liga,28,1994,26.0,2,0,0,0,2,0,0,0,1,0,0,0,43,6,1,85.71428571428571
2446,Thiago Silva,BRA,DF,Chelsea,Premier League,37,1984,26.1,2,0,0,10,13,0,2,34,27,0,0,0,148,61,23,72.61904761904762
2447,Marco Silvestri,ITA,GK,Udinese,Serie A,31,1991,38.0,0,0,0,0,4,0,0,1,1,0,0,0,39,9,0,100.0
2448,Abdallah Sima,SEN,FW,Angers,Ligue 1,21,2001,20.4,0,0,0,32,24,12,16,4,13,1,1,1,52,43,63,40.56603773584906
2449,Mohamed Simakan,FRA,DF,RB Leipzig,Bundesliga,22,2000,16.2,2,0,0,24,25,2,14,16,14,0,1,0,92,38,25,60.317460317460316
2450,Giovanni Simeone,ARG,FW,Napoli,Serie A,27,1995,4.5,1,0,0,7,9,1,2,1,3,0,0,0,15,6,19,24.0
2451,Ellis Simms,ENG,FW,Everton,Premier League,21,2001,2.5,0,0,0,0,1,1,1,0,0,0,0,0,6,11,20,35.483870967741936
2452,Simo,ESP,DF,Espanyol,La Liga,17,2005,1.6,0,0,0,2,0,0,0,0,1,0,1,0,6,2,4,33.33333333333333
2453,Moses Simon,NGA,"FW,MF",Nantes,Ligue 1,27,1995,26.1,3,0,0,11,32,4,140,11,9,0,0,0,114,11,39,22.0
2454,Unai Simón,ESP,GK,Athletic Club,La Liga,25,1997,30.5,2,0,0,0,1,0,0,0,0,0,0,0,36,0,0,
2455,Lassine Sinayoko,MLI,"MF,FW",Auxerre,Ligue 1,22,1999,17.4,2,1,1,31,22,5,30,18,15,1,0,0,112,22,39,36.0655737704918
2456,Wilfried Singo,CIV,DF,Torino,Serie A,21,2000,22.7,8,0,0,42,35,1,56,12,17,0,0,0,116,53,23,69.73684210526315
2457,Luis Sinisterra,COL,FW,Leeds United,Premier League,23,1999,9.6,3,1,1,14,12,5,7,8,14,0,1,0,65,18,18,50.0
2458,Daley Sinkgraven,NED,"DF,MF",Leverkusen,Bundesliga,27,1995,3.8,1,0,0,6,4,0,3,5,7,0,0,0,17,3,5,37.5
2459,Tobias Sippel,GER,GK,M'Gladbach,Bundesliga,34,1988,5.7,1,0,0,0,0,0,0,0,0,0,0,0,7,2,1,66.66666666666666
2460,Hugo Siquet,BEL,DF,Freiburg,Bundesliga,20,2002,0.2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,
